contrast,optimizer_step,checkpoint_cell,mean_normalized_loss_delta,mean_heldout_loss_delta
delayed_down_refresh_vs_production,112,early_muon,-0.0007454512166143642,-0.002642949422200521
delayed_down_refresh_vs_production,112,early_newton_full,-0.0006405074170222255,-0.00226465861002619
delayed_down_refresh_vs_production,112,late_muon,-0.0008391911247440653,-0.0025255680084231478
delayed_down_refresh_vs_production,112,late_newton_full,-0.00045327762042809044,-0.0013761520385742188
delayed_down_refresh_vs_production,128,early_muon,-0.00010121140420908208,-0.0003639062245686849
delayed_down_refresh_vs_production,128,early_newton_full,5.783415239901668e-05,0.00020384788513168792
delayed_down_refresh_vs_production,128,late_muon,-0.0004949218293989569,-0.0014906724294028173
delayed_down_refresh_vs_production,128,late_newton_full,-7.862092180806653e-05,-0.00024445851643909816
frozen_down_refresh_vs_production,0,early_muon,0.0,0.0
frozen_down_refresh_vs_production,0,early_newton_full,0.0,0.0
frozen_down_refresh_vs_production,0,late_muon,0.0,0.0
frozen_down_refresh_vs_production,0,late_newton_full,0.0,0.0
frozen_down_refresh_vs_production,16,early_muon,0.0,0.0
frozen_down_refresh_vs_production,16,early_newton_full,0.0,0.0
frozen_down_refresh_vs_production,16,late_muon,0.0,0.0
frozen_down_refresh_vs_production,16,late_newton_full,0.0,0.0
frozen_down_refresh_vs_production,32,early_muon,-0.0002616567062465232,-0.0009250640869139145
frozen_down_refresh_vs_production,32,early_newton_full,-0.0004865618280146533,-0.0017201900482177734
frozen_down_refresh_vs_production,32,late_muon,-0.00014076879703857811,-0.00042366981506347656
frozen_down_refresh_vs_production,32,late_newton_full,-0.00024126553129621975,-0.0007306734720865885
frozen_down_refresh_vs_production,48,early_muon,-0.0053160469816928195,-0.01879390080769842
frozen_down_refresh_vs_production,48,early_newton_full,-0.006880371185604102,-0.02429032325744629
frozen_down_refresh_vs_production,48,late_muon,-0.0034282650909193504,-0.01029499371846517
frozen_down_refresh_vs_production,48,late_newton_full,-0.004226161373932798,-0.012740691502888998
frozen_down_refresh_vs_production,64,early_muon,-0.005308522702317038,-0.018768866856892757
frozen_down_refresh_vs_production,64,early_newton_full,-0.006726295735474452,-0.023752133051554363
frozen_down_refresh_vs_production,64,late_muon,-0.003924172190229669,-0.011787811915079901
frozen_down_refresh_vs_production,64,late_newton_full,-0.004434719045130449,-0.013372182846069336
frozen_down_refresh_vs_production,80,early_muon,-0.005191903820113401,-0.018357674280802556
frozen_down_refresh_vs_production,80,early_newton_full,-0.006414977400369522,-0.022653261820474817
frozen_down_refresh_vs_production,80,late_muon,-0.004212718230606797,-0.01265255610148112
frozen_down_refresh_vs_production,80,late_newton_full,-0.004422338167954454,-0.013331731160481622
frozen_down_refresh_vs_production,96,early_muon,-0.003988892917997385,-0.014106114705403497
frozen_down_refresh_vs_production,96,early_newton_full,-0.004735589865619912,-0.016721566518148084
frozen_down_refresh_vs_production,96,late_muon,-0.003523792960809254,-0.01058332125345851
frozen_down_refresh_vs_production,96,late_newton_full,-0.0037047082278603614,-0.011171420415242364
frozen_down_refresh_vs_production,112,early_muon,-0.003117406414190745,-0.011023918787638642
frozen_down_refresh_vs_production,112,early_newton_full,-0.0035895893918057955,-0.012675046920776367
frozen_down_refresh_vs_production,112,late_muon,-0.0029632457977556057,-0.008899609247843424
frozen_down_refresh_vs_production,112,late_newton_full,-0.002951572969998928,-0.008904377619425308
frozen_down_refresh_vs_production,128,early_muon,-0.002010159418211884,-0.007108529408772639
frozen_down_refresh_vs_production,128,early_newton_full,-0.002334007696783158,-0.008235136667887518
frozen_down_refresh_vs_production,128,late_muon,-0.002287749812225274,-0.006870905558268525
frozen_down_refresh_vs_production,128,late_newton_full,-0.0021898124079574957,-0.006604830423991033
