method,run_name,seed,validation_points,initial_val_loss,final_val_loss,best_val_loss,best_val_step,tail3_val_loss_mean,tail5_val_loss_mean,tail5_val_loss_sd,normalized_val_auc,final_train_loss,final_tokens,quality_usable_from_wandb,timing_usable,train_time_s_diagnostic_only,final_step_avg_ms_diagnostic_only,peak_allocated_mib,optimizer_state_mib,k_state_mib,step_to_3p5,interpolated_step_to_3p5,tokens_to_3p5,step_to_3p3,interpolated_step_to_3p3,tokens_to_3p3,step_to_3p2771,interpolated_step_to_3p2771,tokens_to_3p2771
diag,mainconf_gpt_r1_host_bridge_diag_seed2026_20260721T072708+0000,2026,63,10.979,3.262,3.262,6200,3.265233,3.27028,0.007687,3.616995,3.3521,3250585600,True,False,7464.534,1210.2,38304.0,780.755863,162.28125,2400,2392.207792,1258291200,5600,5529.166667,2936012800,5900,5862.295082,3093299200
none,mainconf_gpt_r1_host_bridge_none_seed2026_20260721T072708+0000,2026,63,10.979,3.2669,3.2669,6200,3.270133,3.27522,0.007736,3.625623,3.3588,3250585600,True,False,7454.18,1208.52,38304.0,780.474613,162.0,2500,2493.975904,1310720000,5700,5604.109589,2988441600,6000,5947.368421,3145728000
