scale,method,seed,final_val_loss,best_val_loss,tail5_mean,normalized_auc,k_state_bytes,source_certificate
275m,global_diag,2024,3.277095079421997,3.277095079421997,3.295616292953491,3.7684781213777256,503808,PRIVATE_PATH_REDACTED
275m,global_diag,2025,3.2804291248321533,3.2804291248321533,3.2986231803894044,3.7702937527040463,503808,PRIVATE_PATH_REDACTED
275m,global_diag,2026,3.2760448455810547,3.2760448455810547,3.2945530891418455,3.764652395318743,503808,PRIVATE_PATH_REDACTED
275m,global_diag,2027,3.2778091430664062,3.2778091430664062,3.29646520614624,3.7680338033884326,503808,PRIVATE_PATH_REDACTED
455m,global_diag,2024,2.922461748123169,2.922461748123169,2.929015016555786,3.25667385596957,901120,PRIVATE_PATH_REDACTED
455m,global_diag,2025,2.9211432933807373,2.9211432933807373,2.9277017593383787,3.2559014687802166,901120,PRIVATE_PATH_REDACTED
455m,global_diag,2026,2.9239957332611084,2.9239957332611084,2.930585527420044,3.2572870275518238,901120,PRIVATE_PATH_REDACTED
