origin,data_replica,event_id,relative_k_fro_change_layer_median,relative_k_fro_change_layer_mean,relative_k_fro_change_layer_p90,relative_k_fro_change_layer_max,relative_a_fro_change_layer_median,relative_a_fro_change_layer_mean,relative_a_fro_change_layer_p90,relative_a_fro_change_layer_max,relative_runtime_inverse_fro_change_layer_median,relative_runtime_inverse_fro_change_layer_mean,relative_runtime_inverse_fro_change_layer_p90,relative_runtime_inverse_fro_change_layer_max,condition_proxy_after_layer_median,condition_proxy_after_layer_mean,condition_proxy_after_layer_p90,condition_proxy_after_layer_max,runtime_resolvent_relative_residual_layer_median,runtime_resolvent_relative_residual_layer_mean,runtime_resolvent_relative_residual_layer_p90,runtime_resolvent_relative_residual_layer_max,matched_g_preconditioned_relative_change_layer_median,matched_g_preconditioned_relative_change_layer_mean,matched_g_preconditioned_relative_change_layer_p90,matched_g_preconditioned_relative_change_layer_max,runtime_ns5_update_relative_change_layer_median,runtime_ns5_update_relative_change_layer_mean,runtime_ns5_update_relative_change_layer_p90,runtime_ns5_update_relative_change_layer_max,matched_g_preconditioned_pooled_fro_ratio,matched_g_preconditioned_pooled_cosine,runtime_ns5_update_pooled_fro_ratio,runtime_ns5_update_pooled_cosine,oriented_endpoint_loss_harm,oriented_auc_harm
early_muon,3,production_refresh_32,0.3545670207461496,0.3864430763765034,0.6226893964620492,0.7955489301089288,0.36421328636806505,0.3916516638021289,0.6227527156318481,0.7955550722642719,0.7443264102700897,0.6982634495682092,0.7806550515715821,0.7863509962973858,1203.114384539279,5152.997501426898,14978.571469288956,24053.172186095086,0.00040338656168018873,0.000737909023181106,0.0013740493324616724,0.002826512322112874,0.8405866218307376,0.8120506102431561,0.8593564024912423,0.8637054486117668,0.5501837781192642,0.5320445236814991,0.5787828446780094,0.5901466008829706,0.8214058904215252,0.823024174662646,0.5340464260804669,0.8571772560872051,0.004615606183379639,0.002441505825237278
early_muon,3,delayed_refresh_64,0.38128616001021653,0.4461347724436682,0.7443093921256629,0.873172860300787,0.3889251559624132,0.44963213702820215,0.744396085619013,0.8733758081950876,0.7378004061689665,0.6882307793023337,0.7716244622842368,0.7771883137713697,1408.5786952866695,5193.355606425994,14974.225619842062,23749.7806042682,0.000532181957578994,0.0007818864662528955,0.0015373975223583526,0.0028073039363560124,0.8573932211283789,0.845249609739509,0.9061304946953106,0.9152393348966184,0.5370182705983857,0.5185154491801864,0.5655455313301481,0.5702419158012205,0.8426838910838993,0.7862611023146522,0.5207643614290717,0.8637555468728355,0.002390951728343471,0.0012849651841646548
early_muon,4,production_refresh_32,0.30432994866788876,0.3791919232186016,0.641889294930429,0.8050191166413577,0.31212913406051207,0.3838009891007985,0.6419571253325447,0.805021586395071,0.7349637613066835,0.693588974117016,0.7683902663863731,0.7712613069156578,1318.393372407474,5030.592167957287,14760.538369904356,23850.62727735172,0.00041603684923329523,0.0007630711878759096,0.0014488820132726634,0.0030362059564976165,0.8406287317030505,0.8197438226426615,0.8584655424496164,0.8623338156988273,0.5418606811638673,0.5273684861846551,0.5656961149734765,0.5775783491701129,0.8314214000926239,0.8051245629495803,0.5289031443459405,0.8599205471484764,0.005368421619428965,0.0028199987546443372
early_muon,4,delayed_refresh_64,0.3445675658322277,0.3979358943905742,0.5954034624798767,0.7528411770741142,0.3523695999329825,0.40242807039939943,0.597565432421252,0.7528570104326393,0.740466655711711,0.6980291226043803,0.7781180264119623,0.7821877630386236,1310.3716325249402,4982.276993864316,14322.20941238277,23301.234649984435,0.000445311371019086,0.0007475552638313575,0.0014934166947292186,0.002474614386004757,0.8403715543624072,0.8222216229399908,0.8623276117447105,0.8675173143478129,0.5251831471631268,0.5134602932278267,0.5613179133434782,0.5746843550069942,0.8303526021830092,0.8079875469783322,0.5154339908706057,0.8670433500757315,0.002550700954353835,0.0013796593662410706
early_muon,5,production_refresh_32,0.2931203905640639,0.3310828845701071,0.5314172771124527,0.6646380033303537,0.3000595074411959,0.3351146242621659,0.5314360465371989,0.6646539125230536,0.7369547310540939,0.6938703932762746,0.7672345298540975,0.7706406572303972,1584.3273615432322,5199.25564944177,15013.296367184896,24110.814789602082,0.00042958060260647415,0.0007865592131041625,0.0015393820122666197,0.002959635603613166,0.8384182091460377,0.818737365911089,0.8564634339027473,0.8635181677005418,0.5477716319552423,0.5324899614482632,0.5736763900049624,0.5837957345860455,0.8325225018969503,0.8073792764140272,0.5337969010178192,0.8572736219638789,0.00496867743354068,0.0026443914537818136
early_muon,5,delayed_refresh_64,0.3016173917967835,0.3388288342669161,0.47228368708188234,0.6232615196105312,0.3064980262837559,0.342643336788768,0.47514830454452595,0.6232816524300056,0.7388236702888078,0.6913609373142848,0.7671682269755844,0.7705946105372137,1640.6305990411356,5180.4479985207045,14787.380553299485,23629.108596302925,0.0004545112967385156,0.0007992100934238022,0.0017871024854075965,0.0023622787141199864,0.8422279513869086,0.8243958876548383,0.8597866713781486,0.8702368903483361,0.531342150762321,0.5157935820754225,0.5579890501763715,0.5663604876024463,0.8395933014405533,0.7997434030765068,0.5173831341302324,0.8659531932001856,0.0023267774607211855,0.0012746084405129698
early_newton_full,3,production_refresh_32,0.4413131262018254,0.4434129472958718,0.6494564920740886,0.7930970464423375,0.4469986509744803,0.44584150744723416,0.6495712159293645,0.7931002432412823,0.7145761486297594,0.6886133877055383,0.7485053151027162,0.7517395941047396,2285.073187178751,3504.8476533433036,8239.974748484292,13063.393636798635,0.0005121490341932432,0.0007104479338470983,0.0010675659290006723,0.002541746784513647,0.8448463732070908,0.8361806513152972,0.8598914845138697,0.8660964746162083,0.5621960219091378,0.5551710413183417,0.5932193221945048,0.5981375555607008,0.8129851970309775,0.8062929597652716,0.5563067707846243,0.8449155108843798,0.0057871225018777395,0.003107736300919317
early_newton_full,3,delayed_refresh_64,0.7183596761879617,0.6301662305933127,0.8602255836798175,1.681352298920812,0.7188766663042576,0.6308939028145161,0.8603557803087039,1.6751698986168109,0.70857806944596,0.6855390031381666,0.7475597363849192,0.7503985899634458,2509.3691825165342,3732.6613921385983,8643.311924696944,13817.69633923447,0.000686597887242198,0.0008051347600532699,0.0011339551956441388,0.0025444228101723755,0.8668051570660975,0.8616754661060411,0.9131044269702182,0.9324800079508447,0.5436430835447689,0.5362421001662511,0.5650291286221382,0.570937398041306,0.8256822991480713,0.7879013732215259,0.5373261680320909,0.8547929764098564,0.0029006363087158427,0.0015618018317531401
early_newton_full,4,production_refresh_32,0.38120830713207177,0.43140781562751496,0.6493202649837615,0.7739266189136723,0.385344405503374,0.43361460500554394,0.6494318594415431,0.7739338671188705,0.702133526038422,0.677742458089075,0.7286269493423283,0.7327580836932875,2049.457546444999,3305.684574351734,8029.146827105271,12766.454607353624,0.000536125191270485,0.0007328973990865467,0.0010797040459479541,0.0025604937247466243,0.8478792070891611,0.8464207111731356,0.8659443294459626,0.8671952675320896,0.5437977216370289,0.5431697922702184,0.5737663907589426,0.5749762563712015,0.8310034309068293,0.7740999002499875,0.5439140543888272,0.8517158693868818,0.006509468106853156,0.0035092406122553266
early_newton_full,4,delayed_refresh_64,0.44191887589039314,0.47878873096726454,0.698113818983633,0.7893739865588038,0.44500051087408893,0.4810834117176793,0.6982450599041083,0.7893796422975099,0.7189299271350595,0.6934444424628112,0.745687723265526,0.7496209441050399,2056.3957535075406,3298.044086153508,7955.6659669243,12861.165917805556,0.0005447176650193454,0.000743072735712905,0.0010978105947522378,0.0025760892681148014,0.8480177159102902,0.8413954258438925,0.8646987696627869,0.8668741636367047,0.5332347208927073,0.5290407513064013,0.5683480477186775,0.5714570810115553,0.8176316256843572,0.8035473046966378,0.5301987959024302,0.8593032967111709,0.003087791844031962,0.0016590939911926839
