checkpoint_stage,priority,contrast,metric,optimizer_step,clusters,paired_units,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,origin_means_left_better,origin_means_left_worse,classification,bootstrap_samples,bootstrap_seed_base,negative_delta_means
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,112,2,6,-0.0027603465764176973,-0.0029998399692564206,-0.002459262160867078,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,128,2,6,-0.0015518871503029663,-0.0018571069702143506,-0.001312734086079829,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,16,2,6,0.0008927908240953056,0.0005956381816331254,0.0013081277077269433,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,32,2,6,0.00020016254127079117,-7.200279641848366e-05,0.0006042563063892911,1,1,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,48,2,6,-0.005578388460224348,-0.006433192056947072,-0.004965689197024984,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,64,2,6,-0.005558108316623955,-0.0063747152450532125,-0.005037621632505929,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,80,2,6,-0.005330997244341144,-0.006148308037172072,-0.004781144360078982,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,96,2,6,-0.0037999932273781365,-0.004286451451993578,-0.003425838544493206,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_original_newton_muon,normalized_loss_auc,AUC_0_128,2,6,-0.00283885300434635,-0.003260862849653138,-0.0025306400273184906,2,0,left_better,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,112,2,6,0.005348501548543365,0.0029160959559624833,0.0073244024736301245,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,128,2,6,0.0033502971476812395,0.0016544974491128535,0.005097898998248529,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,16,2,6,-0.009070958885977328,-0.014161605241984843,-0.004747499744749417,2,0,left_better,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,32,2,6,-0.007137286043341258,-0.011081939464593646,-0.003501587745688428,2,0,left_better,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,48,2,6,0.005179250905415378,0.0019427934024797884,0.007984373637549447,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,64,2,6,0.006842850136256647,0.003571850594117243,0.009601217986986654,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,80,2,6,0.008461704010065981,0.006081316255356535,0.010721550120677917,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,96,2,6,0.006495974816295953,0.004223157820870645,0.00863162873359132,0,2,left_worse,5000,20260729,left algorithm is better
early,baseline,original_newton_muon_vs_muon,normalized_loss_auc,AUC_0_128,2,6,0.0022243981326373987,-0.0006204088800489208,0.004832523122294837,0,2,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,112,2,6,0.0024865677413783796,-0.0006244136121263214,0.005536262390705741,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,128,2,6,0.0019095441798062291,-0.000989082845906819,0.0044074726759322225,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,16,2,6,-0.006826599091843392,-0.01190477967806114,-0.0025031462009632954,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,32,2,6,-0.006073393263581879,-0.01035762850057346,-0.001738184567269559,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,48,2,6,2.886687128459779e-05,-0.004052914972833888,0.004092825226612695,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,64,2,6,0.0010497482584368816,-0.0032509632560468273,0.005063868863908194,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,80,2,6,0.0029163553736583823,-0.0005286595475074338,0.006423186934127356,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_heldout_loss,96,2,6,0.0025884960366715504,-0.00039792771266122795,0.005639211649946589,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_muon,normalized_loss_auc,AUC_0_128,2,6,-0.0003593982480115665,-0.003741290637715,0.00305916262676198,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,112,2,6,0.0016589301440240733,-0.0008592955060052384,0.004081225589077975,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,128,2,6,0.0013675276815644881,-0.001049918374197586,0.0033693212308709697,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,16,2,6,-0.006522821374756645,-0.01127957895071896,-0.002458907088142485,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,32,2,6,-0.0059477058873057915,-0.010005621568895617,-0.0018349372424015058,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,48,2,6,-0.0015663952307073032,-0.005362877630912218,0.0022720055153897523,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,64,2,6,-0.0004243173729526391,-0.004506611762998085,0.003230991808445216,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,80,2,6,0.0014281822269838207,-0.0015625019543843433,0.004507025240466644,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_heldout_loss,96,2,6,0.0014958053498852857,-0.0009050352226120939,0.004238175574221126,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_muon,normalized_loss_auc,AUC_0_128,2,6,-0.0011493197880058832,-0.004119218083702192,0.0019898312478543456,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
