dataset,architecture,contrast,seeds,seed_list,cproj_only_mean_final_val_loss,none_mean_final_val_loss,paired_delta_mean,paired_delta_sample_sd,paired_delta_ci95_low_t_df2,paired_delta_ci95_high_t_df2,cproj_only_worse_seeds,cproj_only_better_seeds,cproj_only_mean_k_state_mib,none_mean_k_state_mib,cproj_only_mean_peak_memory_mib,none_mean_peak_memory_mib,classification,evidence_level,interpretation
OWT,24L_GPT,cproj_only_minus_none,3,"2024,2025,2026",5.8977913856506365,5.4708248774210615,0.4269665082295753,0.03439630381243711,0.3415213527853375,0.5124116636738132,3,0,4608.0,864.0,9755.732421875,6203.732421875,cproj_only_worse_all_seeds,supportive,useful historical K contribution resides outside c_proj; c_proj-only curvature is insufficient
WikiText-103,24L_GPT,cproj_only_minus_none,3,"2024,2025,2026",5.390637874603273,4.924531777699788,0.46610609690348515,0.04558044075415808,0.3528780051092826,0.5793341886976877,3,0,4608.0,864.0,9755.78515625,6203.6796875,cproj_only_worse_all_seeds,supportive,useful historical K contribution resides outside c_proj; c_proj-only curvature is insufficient
