checkpoint_label,checkpoint_step,layer,n,preconditioner_drift_median,update_cosine_median,update_drift_maximum,update_drift_median,update_drift_minimum
early,1000,0,8,0.58933163168352,0.8491842760326864,0.5522371548439557,0.5491137141103967,0.5467474079430115
early,1000,8,8,0.5911957525507331,0.9518029105426591,0.3124912816203363,0.3105255208424539,0.3088311590011162
early,1000,17,8,0.5138823088091251,0.9759127842986748,0.22031408578842088,0.21947910576487684,0.21869613584368292
late,6200,0,8,0.554738070904115,0.8341323917662975,0.5841121276728609,0.5757703639773231,0.5697584575342531
late,6200,8,8,0.57786676331347,0.9230412614580121,0.4085245324520142,0.39217420020354976,0.37695447056097825
late,6200,17,8,0.5435920461229959,0.9795015030353793,0.2090971035652986,0.20238113347733278,0.19505939284108892
