best_relative_loss_delta_maximum,best_relative_loss_delta_minimum,best_relative_loss_delta_range,checkpoint_label,direction,partition_candidates
-6.431862913948488e-06,-0.0006236359754088866,0.0006172041124949381,early,A_to_B,6
0.0,-0.0002322475009174293,0.0002322475009174293,early,B_to_A,6
0.0,-0.000541042673641799,0.000541042673641799,late,A_to_B,6
-0.0004045866765158086,-0.0008390748121749811,0.0004344881356591725,late,B_to_A,6
