contrast,final_delta_mean,final_delta_sd,tail5_delta_mean,tail5_delta_sd,auc_delta_mean,auc_delta_sd,final_negative_seeds,final_positive_seeds,tail5_negative_seeds,tail5_positive_seeds,auc_negative_seeds,auc_positive_seeds
down_diag-down_none,0.001151720999999828,0.0003147384389172232,0.0011186760666664537,0.0002591662355294519,-0.0015265518306450214,0.0006036206336994264,0,3,0,3,3,0
down_diag-muon,0.005622625333333205,0.0009435683157283535,0.005639966399999974,0.0008784579418425606,-0.0010038313279575977,0.0019279437569431504,0,3,0,3,2,1
down_diag-newton_full,-0.0009641643333334985,0.00033028399291737485,-0.0009083428000002947,0.00037294117459947345,-0.0027457155134412345,0.0010593342519869256,3,0,3,0,3,0
down_none-muon,0.004470904333333377,0.0008051432618499653,0.00452129033333352,0.0007953203042018561,0.0005227205026874238,0.002526848374207548,0,3,0,3,2,1
down_none-newton_full,-0.0021158853333333263,0.000644806441594417,-0.0020270188666667486,0.0006290995957006901,-0.0012191636827962131,0.0009317527374437686,3,0,3,0,3,0
newton_full-muon,0.006586789666666704,0.0011761416368111224,0.0065483092000002685,0.001147602664559167,0.0017418841854836369,0.0025066741402462174,0,3,0,3,1,2
