method,final_mean,final_sd,tail5_mean,tail5_sd_between,auc_mean,auc_sd,val_step1000_mean,val_step2000_mean,val_step3000_mean,val_step4400_mean,final_seed_wins,auc_seed_wins
muon,2.970124880666667,0.000953950573651627,2.9782236894,0.0009192955814185049,3.370644107983871,0.0015495605278615522,3.512883822333334,3.300365766,3.201512098333333,3.1166028976666666,3,1
down_none,2.974595785,0.0008482832913826027,2.9827449797333334,0.000841146854291833,3.3711668284865586,0.0019454919691904297,3.507651488,3.3010220526666667,3.2046732903333335,3.1218808493333334,0,0
down_diag,2.975747506,0.0006216862144915778,2.9838636558,0.0006356258759778676,3.3696402766559133,0.001465494131056661,3.505825043,3.300034602666667,3.2052816550000003,3.1226203443333334,0,2
newton_full,2.9767116703333336,0.0005170627373678109,2.9847719986,0.000524215339892735,3.3723859921693546,0.002497515294301002,3.507273435666667,3.3015116053333333,3.206506332,3.123730023666667,0,0
