seed,method,run_name,initial_val_loss,val_loss_step1000,val_loss_step2000,val_loss_step3000,val_loss_step4400,final_val_loss,best_val_loss,tail3_val_loss_mean,tail5_val_loss_mean,tail5_within_run_sd,normalized_val_auc_0_6200,post_initial_auc_100_6200,final_train_loss_step,final_tokens,train_time_s_descriptive_only,final_step_avg_ms_descriptive_only,expected_k_state_mib_from_preflight,memory_usable_from_wandb_export,timing_usable_for_paper,final_rank_within_seed,auc_rank_within_seed
2024,muon,llama_swiglu_muon_seed2024,11.240580559,3.514077902,3.302527666,3.202850103,3.117663622,2.971026421,2.971026421,2.9739956856666665,2.9791041374,0.0077366492111914115,3.372391339322582,3.289530355475411,2.877129555,3250585600,45769.476446781,7381.691208,0.0,False,False,1,3
2024,down_none,llama_swiglu_down_none_seed2024,11.240580559,3.50689292,3.301643133,3.205102921,3.122307539,2.975529432,2.975529432,2.978532155,2.9836603640000003,0.007776697293912218,3.3715783492016125,3.289326990213114,2.888063908,3250585600,46384.367351759,7480.355308,1728.0,False,False,2,2
2024,down_diag,llama_swiglu_down_diag_seed2024,11.240580559,3.507557631,3.300171614,3.205840826,3.123445034,2.976336241,2.976336241,2.9792968433333336,2.9844865799999996,0.007864946730283527,3.3703014562580638,3.2882266846229506,2.884832859,3250585600,46446.459573187,7490.409606,1728.755859375,False,False,3,1
2024,newton_full,llama_swiglu_newton_full_seed2024,11.240580559,3.507593632,3.30240941,3.206499577,3.123552322,2.976945162,2.976945162,2.979878823,2.9850003242,0.007772703688265462,3.3738349772661294,3.291362256336065,2.885131359,3250585600,48301.276353121,7789.529968,5888.25,False,False,4,4
2025,muon,llama_swiglu_muon_seed2025,11.243918419,3.512379885,3.298633337,3.200973511,3.116211176,2.970222235,2.970222235,2.973195950333333,2.9782969952,0.007728286817463518,3.3701044456290323,3.287336304606558,2.883423805,3250585600,45579.404669264,7351.078326,0.0,False,False,1,4
2025,down_none,llama_swiglu_down_none_seed2025,11.243918419,3.507499456,3.298719406,3.203492403,3.121195078,2.973872423,2.973872423,2.9768632250000002,2.9820060728,0.007802308272528427,3.369048497338709,3.287011461147541,2.88256526,3250585600,46274.998411553,7462.715459,1728.0,False,False,2,2
2025,down_diag,llama_swiglu_down_diag_seed2025,11.243918419,3.503074646,3.299243927,3.204318285,3.121504784,2.975097418,2.975097418,2.9780760606666665,2.9832160474,0.007809039243373444,3.3679606856693547,3.2861683778934423,2.89043808,3250585600,46262.555328082,7460.657299,1728.755859375,False,False,3,1
2025,newton_full,llama_swiglu_newton_full_seed2025,11.243918419,3.504727602,3.299590826,3.205522299,3.123099566,2.976119041,2.976119041,2.9790321983333334,2.984172344,0.007781069723055037,3.369502121403225,3.2877045811229504,2.880159378,3250585600,48106.523995018,7758.056615,5888.25,False,False,4,3
2026,muon,llama_swiglu_muon_seed2026,11.223670006,3.51219368,3.299936295,3.200712681,3.115933895,2.969125986,2.969125986,2.9721337953333333,2.9772699356,0.007801016169482316,3.3694365389999996,3.2869974101311468,2.88446188,3250585600,45574.787874797,7350.246978,0.0,False,False,1,1
2026,down_none,llama_swiglu_down_none_seed2026,11.223670006,3.508562088,3.302703619,3.205424547,3.122139931,2.9743855,2.9743855,2.9773857593333335,2.9825685024,0.007867517070731325,3.3728736389193545,3.290641110459016,2.882314205,3250585600,46828.943988005,7482.063821,1728.0,False,False,2,3
2026,down_diag,llama_swiglu_down_diag_seed2026,11.223670006,3.506842852,3.300688267,3.205685854,3.122911215,2.975808859,2.975808859,2.9787484009999994,2.98388834,0.007794468278180841,3.3706586880403226,3.288732632295082,2.885752201,3250585600,46438.58948154,7483.882823,1728.755859375,False,False,3,2
2026,newton_full,llama_swiglu_newton_full_seed2026,11.223670006,3.509499073,3.30253458,3.20749712,3.124538183,2.977070808,2.977070808,2.980040947333334,2.9851433276000003,0.007733123453054294,3.3738208778387104,3.2916725815245904,2.886394262,3250585600,48731.783060901,7755.690938,5888.25,False,False,4,4
