event_id,origin,data_replica,endpoint_step,endpoint_normalized_loss_harm,endpoint_raw_loss_harm,norm_only_predictor,first_order_predictor,full_taylor_predictor,local_exact_delta_loss,local_first_relative_error,local_taylor_relative_error,local_first_sign_match,local_taylor_sign_match
delayed_refresh_64,early_muon,9,80,0.0024227367305894587,0.008496999740600586,0.002301907266958242,0.0005926874000579119,0.0006325861722871196,0.0006327629089355469,0.0633341624670309,0.00027930943159205446,True,True
delayed_refresh_64,early_muon,10,80,0.0025736623526524394,0.00887155532836914,0.0023298135072933553,0.0006855691317468882,0.0007270343267009594,0.0007271766662597656,0.0572179175204918,0.0001957427478227459,True,True
delayed_refresh_64,early_muon,11,80,0.002513941344278736,0.008925199508666992,0.002210417830416402,0.001073538325726986,0.0011151590624649543,0.0011153221130371094,0.03746342587644293,0.00014619146365801356,True,True
delayed_refresh_64,early_newton_full,9,80,0.003229759787551245,0.011316776275634766,0.0022775800961730456,0.0005322572542354465,0.0005977226683171466,0.0005977153778076172,0.1095138689793578,1.2197292892401276e-05,True,True
delayed_refresh_64,early_newton_full,10,80,0.0030665894434984686,0.010539531707763672,0.002267597761910647,0.0016395626589655876,0.0017323388019576669,0.0017323493957519531,0.0535612140448665,6.115275770712909e-06,True,True
delayed_refresh_64,early_newton_full,11,80,0.0029664702801481813,0.010503292083740234,0.002191118165262799,0.0005623504985123873,0.0006321945547824726,0.0006318092346191406,0.10993624705188679,0.0006098678876768868,True,True
delayed_refresh_64,late_muon,9,80,0.0018238084191402049,0.005402088165283203,0.001187758521910253,0.00010911806020885706,0.00012138792772020679,0.00012135505676269531,0.10083631354371317,0.0002708659893403119,True,True
delayed_refresh_64,late_muon,10,80,0.001805784592161075,0.005238771438598633,0.0011902888322916046,-4.5177916035754606e-05,-3.1839012081036344e-05,-3.1948089599609375e-05,0.41410383537634093,0.003414210988514459,True,True
delayed_refresh_64,late_muon,11,80,0.0017700769719275478,0.0052950382232666016,0.0011764267423543659,0.0007444233051501215,0.0007597007424919866,0.0007596015930175781,0.019981906313755494,0.00013052826023520872,True,True
delayed_refresh_64,late_newton_full,9,80,0.0022585918085833434,0.006701946258544922,0.0011394678103525072,0.0008528946782462299,0.0008845762313285377,0.0008842945098876953,0.035508341723678886,0.0003185832747939977,True,True
delayed_refresh_64,late_newton_full,10,80,0.0021507712717765415,0.006253957748413086,0.001140756081416675,6.656571349594742e-05,0.00010171182657359168,0.00010132789611816406,0.34306626263786766,0.0037889906939338235,True,True
delayed_refresh_64,late_newton_full,11,80,0.0021742157906587956,0.006517648696899414,0.001104396360192939,0.00031775946263223886,0.0003494466691336129,0.00034999847412109375,0.09211186297258174,0.0015765925519148076,True,True
production_refresh_32,early_muon,9,48,0.00531317538060605,0.018634319305419922,0.00236619315535975,0.0015860276762396097,0.0016394170015701093,0.0016391277313232422,0.0323953125,0.00017647816051136363,True,True
production_refresh_32,early_muon,10,48,0.005150298838096257,0.01775336265563965,0.00239673019786169,0.00211183144710958,0.0021782805997645482,0.0021784305572509766,0.03057206020165262,6.88373957706304e-05,True,True
production_refresh_32,early_muon,11,48,0.004750667519085372,0.016866207122802734,0.0023224088340390715,0.0016073433216661215,0.0016650051802571397,0.001664876937866211,0.034557278614134324,7.702815025665008e-05,True,True
production_refresh_32,early_newton_full,9,48,0.006554576551111246,0.022966623306274414,0.0023358697722004637,0.003198749851435423,0.0033333236642647535,0.003333568572998047,0.04044276234623087,7.346743525157345e-05,True,True
production_refresh_32,early_newton_full,10,48,0.006469902977816133,0.022236347198486328,0.0023796136522179546,0.0028425445780158043,0.0030689445848111063,0.0030717849731445312,0.07462774807901273,0.0009246703002512807,True,True
production_refresh_32,early_newton_full,11,48,0.00604478754661586,0.021402597427368164,0.002295497875812683,0.0019913718570023775,0.0021002212743042037,0.002100229263305664,0.05183120157651266,3.8038711296685206e-06,True,True
production_refresh_32,late_muon,9,48,0.003150814580228589,0.009332656860351562,0.00120914097145578,0.0006218441412784159,0.0006394435149559285,0.0006394386291503906,0.027515522318931767,7.640773195726137e-06,True,True
production_refresh_32,late_muon,10,48,0.0032558034036158645,0.009445428848266602,0.001239151186357043,0.00027068911003880203,0.00029001284201513045,0.0002903938293457031,0.06785515846290024,0.0013119677213220956,True,True
production_refresh_32,late_muon,11,48,0.0029177697269255898,0.008728265762329102,0.0011892994600811889,0.0007862355560064316,0.0008040529919526307,0.0008039474487304688,0.022031157325029655,0.00013128124522144685,True,True
production_refresh_32,late_newton_full,9,48,0.0036322270116975197,0.010777950286865234,0.001162727576549083,1.8475133401807398e-05,6.948365626158193e-05,6.937980651855469e-05,0.733710220179607,0.0014968295277598797,True,True
production_refresh_32,late_newton_full,10,48,0.0043017885240268505,0.012508630752563477,0.0011795954783340046,0.0009954613633453846,0.0010485033999430016,0.0010485649108886719,0.050644024982946796,5.866202943809686e-05,True,True
production_refresh_32,late_newton_full,11,48,0.0034173292562180713,0.010244131088256836,0.0011343824330531758,0.0011743978830054402,0.0012187702559458558,0.001218557357788086,0.03623914336113285,0.00017471328403963267,True,True
