effect,n,mean,sample_sd,ci95_low,ci95_high,negative_seed_count,positive_seed_count,zero_seed_count
c_fc_main_effect,3,-0.0009166666666668247,0.00041633319989330516,-0.0019508956692143673,0.00011756233588071797,3,0,0
c_proj_main_effect,3,-0.004716666666666702,0.0002886751345947811,-0.005433775454985169,-0.003999557878348235,3,0,0
factorial_interaction,3,-0.0002333333333332336,0.00011547005383804064,-0.0005201768486609388,5.35101819944716e-05,3,0,0
