method,metric,eligible_seeds,n_seeds,mean,sample_sd,ci95_low_t_df2,ci95_high_t_df2,negative_seeds,positive_seeds,zero_seeds,complete
muon,final_val_loss,3,3,2.9198108514149985,0.0008125844304760254,2.917792279787196,2.921829423042801,0,3,0,True
muon,normalized_auc,3,3,3.260497638143149,0.0008273320613058974,3.2584424313694416,3.2625528449168564,0,3,0,True
muon,tail5_mean,3,3,2.9268242994944256,0.0008098315894640508,2.9248125663027955,2.9288360326860556,0,3,0,True
muon,best_val_loss,3,3,2.9198108514149985,0.0008125844304760254,2.917792279787196,2.921829423042801,0,3,0,True
muon,steps_to_target,3,3,5268.377070697397,14.67597339705904,5231.919931723747,5304.834209671048,0,3,0,True
muon,tokens_to_target,3,3,2762146877.641797,7694436.74039729,2743032837.16358,2781260918.120014,0,3,0,True
muon,peak_memory_allocated_bytes,3,3,55271687168.0,0.0,55271687168.0,55271687168.0,0,3,0,True
muon,peak_memory_reserved_bytes,3,3,57092166997.333336,24215825.434631243,57032011552.14774,57152322442.51893,0,3,0,True
muon,k_state_bytes,3,3,0.0,0.0,0.0,0.0,0,0,3,True
muon,optimizer_state_bytes,3,3,2418295448.0,0.0,2418295448.0,2418295448.0,0,3,0,True
original_newton_muon,final_val_loss,3,3,2.918296734491984,0.0003248045469945492,2.9174898752678162,2.9191035937161516,0,3,0,True
original_newton_muon,normalized_auc,3,3,3.2507352972657357,0.0006157361281698504,3.2492057239292045,3.252264870602267,0,3,0,True
original_newton_muon,tail5_mean,3,3,2.9248942057291667,0.00037857387107830887,2.923953776099302,2.925834635359031,0,3,0,True
original_newton_muon,best_val_loss,3,3,2.918296734491984,0.0003248045469945492,2.9174898752678162,2.9191035937161516,0,3,0,True
original_newton_muon,steps_to_target,3,3,5217.008602024426,10.12425552122268,5191.858557079815,5242.158646969037,0,3,0,True
original_newton_muon,tokens_to_target,3,3,2735215005.9381824,5308025.678710797,2722029139.174262,2748400872.7021027,0,3,0,True
original_newton_muon,peak_memory_allocated_bytes,3,3,58748796928.0,0.0,58748796928.0,58748796928.0,0,3,0,True
original_newton_muon,peak_memory_reserved_bytes,3,3,60552467797.333336,12107912.717315622,60522390074.74054,60582545519.92613,0,3,0,True
original_newton_muon,k_state_bytes,3,3,1174405120.0,0.0,1174405120.0,1174405120.0,0,3,0,True
original_newton_muon,optimizer_state_bytes,3,3,4968432280.0,0.0,4968432280.0,4968432280.0,0,3,0,True
selective_none,final_val_loss,3,3,2.917475859324137,0.0006589485967850543,2.915838940264697,2.9191127783835773,0,3,0,True
selective_none,normalized_auc,3,3,3.25405921758688,0.000554284773864269,3.2526822978770227,3.255436137296737,0,3,0,True
selective_none,tail5_mean,3,3,2.924401569366455,0.000664064475702159,2.9227519417592673,2.9260511969736425,0,3,0,True
selective_none,best_val_loss,3,3,2.917475859324137,0.0006589485967850543,2.915838940264697,2.9191127783835773,0,3,0,True
selective_none,steps_to_target,3,3,5225.593637288263,11.996524643555823,5195.792618010143,5255.394656566384,0,3,0,True
selective_none,tokens_to_target,3,3,2739716036.906589,6289633.912320595,2724091720.111302,2755340353.701876,0,3,0,True
selective_none,peak_memory_allocated_bytes,3,3,57138176000.0,0.0,57138176000.0,57138176000.0,0,3,0,True
selective_none,peak_memory_reserved_bytes,3,3,58623087957.333336,593658257.8300419,57148359091.11027,60097816823.556404,0,3,0,True
selective_none,k_state_bytes,3,3,637534208.0,0.0,637534208.0,637534208.0,0,3,0,True
selective_none,optimizer_state_bytes,3,3,3894690456.0,0.0,3894690456.0,3894690456.0,0,3,0,True
selective_diag,final_val_loss,3,3,2.9189104239145913,0.0008640966027504601,2.9167638889570227,2.92105695887216,0,3,0,True
selective_diag,normalized_auc,3,3,3.2508474259368527,0.0002163730425568269,3.250309925502011,3.2513849263716943,0,3,0,True
selective_diag,tail5_mean,3,3,2.9255204836527504,0.0009267617326616651,2.923218279882752,2.927822687422749,0,3,0,True
selective_diag,best_val_loss,3,3,2.9189104239145913,0.0008640966027504601,2.9167638889570227,2.92105695887216,0,3,0,True
selective_diag,steps_to_target,3,3,5229.907343833267,18.793546827339522,5183.221585420171,5276.593102246363,0,3,0,True
selective_diag,tokens_to_target,3,3,2741977661.483656,9853231.079012183,2717500878.576771,2766454444.390541,0,3,0,True
selective_diag,peak_memory_allocated_bytes,3,3,57407406080.0,0.0,57407406080.0,57407406080.0,0,3,0,True
selective_diag,peak_memory_reserved_bytes,3,3,58888727210.666664,569071897.7138342,57475074248.80524,60302380172.52809,0,3,0,True
selective_diag,k_state_bytes,3,3,638058496.0,0.0,638058496.0,638058496.0,0,3,0,True
selective_diag,optimizer_state_bytes,3,3,4163650200.0,0.0,4163650200.0,4163650200.0,0,3,0,True
