checkpoint_cell,checkpoint_stage,checkpoint_method,source_method,data_replica,trajectory_node,optimizer_step,heldout_loss,normalized_loss,loss_delta_from_step0,relative_loss_delta_from_step0,arm,source_trajectory_node
early_muon,early,muon,newton_full,0,shared_all,0,3.516336441040039,1.0,0.0,0.0,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,0,shared_all,16,3.486025333404541,0.9913799182348624,-0.030311107635498047,-0.008620081765137589,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,0,shared_no_down,32,3.483818531036377,0.9907523325629091,-0.03251791000366211,-0.00924766743709091,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,0,shared_no_down,48,3.4994075298309326,0.9951856395163088,-0.016928911209106445,-0.00481436048369118,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,0,delayed,64,3.4978508949279785,0.9947429529506019,-0.018485546112060547,-0.005257047049398098,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,0,delayed,80,3.509370803833008,0.9980190640674386,-0.00696563720703125,-0.00198093593256139,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,0,delayed,96,3.504152536392212,0.9965350571959993,-0.012183904647827148,-0.0034649428040007097,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,0,delayed,112,3.4971351623535156,0.9945394079865565,-0.019201278686523438,-0.00546059201344346,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,0,delayed,128,3.4905385971069336,0.9926634312826235,-0.02579784393310547,-0.007336568717376529,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,0,shared_all,0,3.516336441040039,1.0,0.0,0.0,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,0,shared_all,16,3.486025333404541,0.9913799182348624,-0.030311107635498047,-0.008620081765137589,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,0,shared_no_down,32,3.483818531036377,0.9907523325629091,-0.03251791000366211,-0.00924766743709091,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,0,shared_no_down,48,3.4994075298309326,0.9951856395163088,-0.016928911209106445,-0.00481436048369118,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,0,frozen,64,3.4971542358398438,0.994544832236098,-0.019182205200195312,-0.005455167763901945,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,0,frozen,80,3.500878095626831,0.9956038491559597,-0.015458345413208008,-0.0043961508440403495,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,0,frozen,96,3.4957942962646484,0.994158083243788,-0.020542144775390625,-0.005841916756211986,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,0,frozen,112,3.4884860515594482,0.9920797142288371,-0.02785038948059082,-0.007920285771162845,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,0,frozen,128,3.483659505844116,0.9907071078823567,-0.03267693519592285,-0.009292892117643293,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,0,shared_all,0,3.516336441040039,1.0,0.0,0.0,production_newton_muon,shared_all
early_muon,early,muon,newton_full,0,shared_all,16,3.486025333404541,0.9913799182348624,-0.030311107635498047,-0.008620081765137589,production_newton_muon,shared_all
early_muon,early,muon,newton_full,0,production,32,3.484654664993286,0.9909901181021853,-0.03168177604675293,-0.009009881897814733,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,48,3.5173165798187256,1.0002787386233145,0.0009801387786865234,0.00027873862331461786,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,64,3.514730215072632,0.9995432103854851,-0.0016062259674072266,-0.0004567896145148578,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,80,3.517771005630493,1.0004079713686411,0.0014345645904541016,0.00040797136864122006,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,96,3.5090441703796387,0.9979261737940401,-0.007292270660400391,-0.00207382620595984,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,112,3.498845100402832,0.9950256919579534,-0.01749134063720703,-0.004974308042046613,production_newton_muon,production
early_muon,early,muon,newton_full,0,production,128,3.490368604660034,0.9926150876585847,-0.025967836380004883,-0.0073849123414152845,production_newton_muon,production
early_muon,early,muon,newton_full,1,shared_all,0,3.5758631229400635,1.0,0.0,0.0,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,1,shared_all,16,3.5574705600738525,0.9948564689883631,-0.018392562866210938,-0.005143531011636886,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,1,shared_no_down,32,3.5569987297058105,0.9947245203225948,-0.01886439323425293,-0.005275479677405181,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,1,shared_no_down,48,3.5749878883361816,0.9997552382253484,-0.0008752346038818359,-0.00024476177465154785,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,1,delayed,64,3.5740232467651367,0.9994854735453593,-0.0018398761749267578,-0.0005145264546406959,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,1,delayed,80,3.5848262310028076,1.002506557928698,0.00896310806274414,0.0025065579286979813,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,1,delayed,96,3.5782036781311035,1.0006545427245312,0.002340555191040039,0.0006545427245312572,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,1,delayed,112,3.573800802230835,0.9994232663168794,-0.0020623207092285156,-0.0005767336831206453,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,1,delayed,128,3.5634658336639404,0.9965330638086812,-0.012397289276123047,-0.0034669361913187645,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,1,shared_all,0,3.5758631229400635,1.0,0.0,0.0,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,1,shared_all,16,3.5574705600738525,0.9948564689883631,-0.018392562866210938,-0.005143531011636886,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,1,shared_no_down,32,3.5569987297058105,0.9947245203225948,-0.01886439323425293,-0.005275479677405181,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,1,shared_no_down,48,3.5749878883361816,0.9997552382253484,-0.0008752346038818359,-0.00024476177465154785,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,1,frozen,64,3.573190689086914,0.9992526464908555,-0.002672433853149414,-0.0007473535091444293,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,1,frozen,80,3.5754475593566895,0.9998837864959909,-0.00041556358337402344,-0.00011621350400916587,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,1,frozen,96,3.5692648887634277,0.9981547855860851,-0.006598234176635742,-0.001845214413914897,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,1,frozen,112,3.5654306411743164,0.9970825276563804,-0.01043248176574707,-0.0029174723436196618,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,1,frozen,128,3.556779623031616,0.9946632465359141,-0.019083499908447266,-0.0053367534640858605,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,1,shared_all,0,3.5758631229400635,1.0,0.0,0.0,production_newton_muon,shared_all
early_muon,early,muon,newton_full,1,shared_all,16,3.5574705600738525,0.9948564689883631,-0.018392562866210938,-0.005143531011636886,production_newton_muon,shared_all
early_muon,early,muon,newton_full,1,production,32,3.5580215454101562,0.995010553559657,-0.017841577529907227,-0.004989446440343034,production_newton_muon,production
early_muon,early,muon,newton_full,1,production,48,3.5955774784088135,1.005513173964148,0.01971435546875,0.005513173964147968,production_newton_muon,production
early_muon,early,muon,newton_full,1,production,64,3.5940370559692383,1.0050823905737847,0.018173933029174805,0.005082390573784673,production_newton_muon,production
