method,display_name,n_seeds,final_val_mean,final_val_sample_sd
diag,Newton-Muon diag,3,3.2611,0.001113552872566081
block4,Newton-Muon block4,3,3.2622,0.0011357816691601056
none,Newton-Muon none,3,3.2666666666666666,0.0006658328118480661
mousse,Mousse-R1,3,3.2680333333333333,0.0002516611478424483
moonlight,Moonlight Muon,3,3.274966666666667,0.00045092497528212487
muon,Muon,3,3.2771333333333335,0.0002516611478424483
normuon,NorMuon,3,3.3344666666666667,0.0009237604307032996
adamw,AdamW,3,3.4004333333333334,0.004691836882643361
