run_name,metric,points,max_abs_difference,exact_match
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,val/loss,63,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,train/loss_step,310,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,tokens/seen,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,lr/auxiliary,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2024_20260731T073826+0000,lr/matrix,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,val/loss,63,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,train/loss_step,310,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,tokens/seen,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,lr/auxiliary,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2025_20260731T112529+0000,lr/matrix,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,val/loss,63,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,train/loss_step,310,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,tokens/seen,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,lr/auxiliary,311,0.0,True
mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,lr/matrix,311,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,val/loss,11,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,train/loss_step,50,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,tokens/seen,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,lr/auxiliary,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr080_seed2026_20260731T053958+0000,lr/matrix,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,val/loss,11,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,train/loss_step,50,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,tokens/seen,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,lr/auxiliary,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr100_seed2026_20260731T053958+0000,lr/matrix,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,val/loss,11,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,train/loss_step,50,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,tokens/seen,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,memory/optimizer_state_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,memory/peak_allocated_mib,1,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,lr/auxiliary,51,0.0,True
mainconf_r1_mousse_pilot_mousse_lr120_seed2026_20260731T053958+0000,lr/matrix,51,0.0,True
