experiment,scale,method,seed,step,val_loss,local_match
50,r1_124m,global_diag,2025,3200,3.4527000000000001,true
50,r1_124m,global_diag,2025,3300,3.4466999999999999,true
50,r1_124m,global_diag,2025,3400,3.4438,true
50,r1_124m,global_diag,2025,3500,3.4369999999999998,true
50,r1_124m,global_diag,2025,3600,3.4321000000000002,true
50,r1_124m,global_diag,2025,3700,3.4278,true
50,r1_124m,global_diag,2025,3800,3.4241000000000001,true
50,r1_124m,global_diag,2025,3900,3.4199999999999999,true
50,r1_124m,global_diag,2025,4000,3.4159999999999999,true
50,r1_124m,global_diag,2025,4100,3.4119999999999999,true
50,r1_124m,global_diag,2025,4200,3.4077000000000002,true
50,r1_124m,global_diag,2025,4300,3.4041999999999999,true
50,r1_124m,global_diag,2025,4400,3.4013,true
50,r1_124m,global_diag,2025,4500,3.395,true
50,r1_124m,global_diag,2025,4600,3.3856000000000002,true
50,r1_124m,global_diag,2025,4700,3.3767,true
50,r1_124m,global_diag,2025,4800,3.3656000000000001,true
50,r1_124m,global_diag,2025,4900,3.3565,true
50,r1_124m,global_diag,2025,5000,3.3491,true
50,r1_124m,global_diag,2025,5100,3.3409,true
50,r1_124m,global_diag,2025,5200,3.3313999999999999,true
50,r1_124m,global_diag,2025,5300,3.3237999999999999,true
50,r1_124m,global_diag,2025,5400,3.3165,true
50,r1_124m,global_diag,2025,5500,3.3092999999999999,true
50,r1_124m,global_diag,2025,5600,3.3022,true
50,r1_124m,global_diag,2025,5700,3.2949999999999999,true
50,r1_124m,global_diag,2025,5800,3.2879999999999998,true
50,r1_124m,global_diag,2025,5900,3.282,true
50,r1_124m,global_diag,2025,6000,3.2763,true
50,r1_124m,global_diag,2025,6100,3.2715999999999998,true
50,r1_124m,global_diag,2025,6200,3.2690999999999999,true
50,r1_124m,global_diag,2026,0,10.978999999999999,true
50,r1_124m,global_diag,2026,100,5.3879999999999999,true
50,r1_124m,global_diag,2026,200,4.7267999999999999,true
50,r1_124m,global_diag,2026,300,4.3501000000000003,true
50,r1_124m,global_diag,2026,400,4.1078000000000001,true
50,r1_124m,global_diag,2026,500,3.9842,true
50,r1_124m,global_diag,2026,600,3.9022000000000001,true
50,r1_124m,global_diag,2026,700,3.8397000000000001,true
50,r1_124m,global_diag,2026,800,3.7965,true
50,r1_124m,global_diag,2026,900,3.7585999999999999,true
50,r1_124m,global_diag,2026,1000,3.7250000000000001,true
50,r1_124m,global_diag,2026,1100,3.6972999999999998,true
50,r1_124m,global_diag,2026,1200,3.6720000000000002,true
50,r1_124m,global_diag,2026,1300,3.6507999999999998,true
50,r1_124m,global_diag,2026,1400,3.6326999999999998,true
50,r1_124m,global_diag,2026,1500,3.6109,true
50,r1_124m,global_diag,2026,1600,3.5962999999999998,true
50,r1_124m,global_diag,2026,1700,3.5819000000000001,true
50,r1_124m,global_diag,2026,1800,3.5697000000000001,true
50,r1_124m,global_diag,2026,1900,3.556,true
50,r1_124m,global_diag,2026,2000,3.5436999999999999,true
50,r1_124m,global_diag,2026,2100,3.5354999999999999,true
50,r1_124m,global_diag,2026,2200,3.5242,true
50,r1_124m,global_diag,2026,2300,3.5158999999999998,true
50,r1_124m,global_diag,2026,2400,3.5085000000000002,true
50,r1_124m,global_diag,2026,2500,3.5011999999999999,true
50,r1_124m,global_diag,2026,2600,3.4929999999999999,true
50,r1_124m,global_diag,2026,2700,3.4868999999999999,true
50,r1_124m,global_diag,2026,2800,3.4788000000000001,true
50,r1_124m,global_diag,2026,2900,3.4748999999999999,true
50,r1_124m,global_diag,2026,3000,3.4683000000000002,true
50,r1_124m,global_diag,2026,3100,3.4607000000000001,true
50,r1_124m,global_diag,2026,3200,3.4531999999999998,true
50,r1_124m,global_diag,2026,3300,3.4479000000000002,true
50,r1_124m,global_diag,2026,3400,3.4437000000000002,true
50,r1_124m,global_diag,2026,3500,3.4378000000000002,true
50,r1_124m,global_diag,2026,3600,3.4340000000000002,true
50,r1_124m,global_diag,2026,3700,3.4300000000000002,true
50,r1_124m,global_diag,2026,3800,3.4264999999999999,true
50,r1_124m,global_diag,2026,3900,3.4222999999999999,true
50,r1_124m,global_diag,2026,4000,3.4176000000000002,true
50,r1_124m,global_diag,2026,4100,3.4127000000000001,true
50,r1_124m,global_diag,2026,4200,3.4097,true
50,r1_124m,global_diag,2026,4300,3.4051999999999998,true
