seed,rule,selected_layer_count,diag_val_step4500,none_val_step4500,diag_minus_none_step4500,diag_minus_none_late3,diag_minus_none_auc,diag_minus_none_best,diag_minus_none_train_late,diag_minus_none_peak_memory_mib,diag_minus_none_elapsed_s,diag_minus_full_step4500,none_minus_full_step4500,diag_k_state_bytes,none_k_state_bytes,diag_release_fraction,none_release_fraction,interaction_vs_all
2024,all,12,4.4568305015563965,4.471680641174316,-0.014850139617919922,-0.017007033030191465,-0.012297285927666657,-0.014850139617919922,-0.017831020355224325,-0.8564453125,3.9465231895446777,-0.00821828842163086,0.0066318511962890625,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2025,all,12,4.507858276367188,4.522022247314453,-0.014163970947264737,-0.016504764556884766,-0.008801884121364623,-0.014163970947264737,-0.02098104476928686,-4.11572265625,4.057165145874023,-0.009104251861571377,0.005059719085693359,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2026,all,12,4.491850852966309,4.504626750946045,-0.012775897979736328,-0.014543374379475615,-0.012820164362589814,-0.012775897979736328,-0.016047801971435405,-2.25048828125,2.1265547275543213,-0.012440681457519531,0.0003352165222167969,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2024,center,8,4.458364486694336,4.464659214019775,-0.006294727325439453,-0.011602401733398438,-0.008825116687351198,-0.006294727325439453,-0.00526531219482429,3.052734375,0.8138539791107178,-0.006684303283691406,-0.0003895759582519531,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.008555412292480469
2025,center,8,4.499454498291016,4.510823249816895,-0.011368751525879794,-0.00555976231892874,-0.004361205630832643,-0.011368751525879794,-0.006208591461181356,-8.787109375,1.093601942062321,-0.01750802993774414,-0.006139278411864346,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.0027952194213849424
2026,center,8,4.493495464324951,4.496314525604248,-0.002819061279296875,-0.0005122820536298534,-0.0015113088819713738,-0.002819061279296875,-0.009580345153808345,2.9560546875,0.6905198097229004,-0.010796070098876953,-0.007977008819580078,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.009956836700439453
2024,early,8,4.453708171844482,4.474650859832764,-0.02094268798828125,-0.018109003702799775,-0.011170334286160433,-0.02094268798828125,-0.018638668060302344,-13.22509765625,-0.8675947189331055,-0.011340618133544922,0.009602069854736328,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.006092548370361328
2025,early,8,4.498393535614014,4.504911422729492,-0.006517887115478516,-0.0060742696126308005,-0.0029687616560201135,-0.006517887115478516,-0.008041572570800959,0.921875,0.8402240276336101,-0.018568992614746094,-0.012051105499267578,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.007646083831786221
2026,early,8,4.483283519744873,4.496788024902344,-0.013504505157470703,-0.012938658396402403,-0.007743650012545622,-0.013504505157470703,-0.016130676269530575,3.82763671875,-1.3415842056274414,-0.021008014678955078,-0.007503509521484375,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.000728607177734375
2024,edge,8,4.462707042694092,4.479923248291016,-0.017216205596923828,-0.015946706136067412,-0.011229965421888366,-0.017216205596923828,-0.02150026321411147,0.552734375,1.0265672206878662,-0.002341747283935547,0.014874458312988281,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.0023660659790039062
2025,edge,8,4.502964973449707,4.52342700958252,-0.020462036132813388,-0.016154766082763672,-0.013186189863416686,-0.020462036132813388,-0.018202857971191477,2.306640625,-2.5383083820343018,-0.013997554779052734,0.006464481353760654,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.006298065185548651
2026,edge,8,4.4913201332092285,4.509165287017822,-0.01784515380859375,-0.013922055562336944,-0.007525920867919922,-0.01784515380859375,-0.02501470565795838,7.15576171875,3.258065938949585,-0.01297140121459961,0.004873752593994141,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.005069255828857422
2024,late,8,4.461050987243652,4.469820976257324,-0.008769989013671875,-0.0063317616780596,-0.009109073215061159,-0.008769989013671875,-0.0011476135253900566,1.583984375,0.30135202407836914,-0.003997802734375,0.004772186279296875,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.006080150604248047
2025,late,8,4.503420829772949,4.511233329772949,-0.0078125,-0.004541079203287168,-0.0027382108900280144,-0.0078125,-0.0024715423583980822,3.8310546875,1.9081268310546875,-0.013541698455810547,-0.005729198455810547,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.006351470947264737
2026,late,8,4.498002052307129,4.51029634475708,-0.012294292449951172,-0.006011644999185606,-0.004676792356702819,-0.012294292449951172,-0.014562168121337926,-0.0908203125,0.38202667236328125,-0.006289482116699219,0.006004810333251953,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.00048160552978515625
