method,seeds,final_val_mean,final_val_sd,tail5_mean,tail5_between_seed_sd,normalized_auc_mean,normalized_auc_sd,peak_memory_mib,k_state_mib,optimizer_state_mib
diag,3,3.2611000000000003,0.001113552872566081,3.2693,0.0011594826432508836,3.6151591397849465,0.00214579822179763,38304.0,162.28125,780.7558631896973
block4,3,3.2622,0.0011357816691601056,3.2704799999999996,0.0012229472596965393,3.6159680107526886,0.0020853591780531267,39168.0,378.0,996.4746131896972
none,3,3.266666666666667,0.0006658328118480661,3.274993333333333,0.00066161418767567,3.6241255376344093,0.0015663101481047837,38304.0,162.0,780.4746131896973
muon,3,3.277133333333333,0.0002516611478424483,3.28574,0.00029051678092679377,3.633385752688172,8.198219606551589e-05,37703.0,0.0,618.4746131896973
