checkpoint_cell,checkpoint_stage,checkpoint_method,data_replica,contrast,contrast_class,left,right,metric,optimizer_step,left_value,right_value,delta_left_minus_right
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,48,0.9955377411146724,1.0002917568222143,-0.004754015707541859
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,64,0.9947522419779418,0.9995603645746601,-0.004808122596718367
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,80,0.9958593991124843,1.0003926478636864,-0.00453324875120209
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,96,0.9944225154089369,0.9979194612852326,-0.003496945876295676
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,112,0.9923304501638937,0.995010978681072,-0.002680528517178371
early_muon,early,muon,0,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,128,0.9910436825664077,0.9926061376468412,-0.0015624550804335113
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_loss_auc,AUC_0_128,0.9964808528398387,0.9926632744879101,0.00381757835192853
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,16,0.9914028356891753,0.9963719906941575,-0.004969155004982184
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,32,0.9909657089792484,0.9954542076717331,-0.004488498692484688
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,48,1.0002917568222143,0.993735534204504,0.006556222617710272
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,64,0.9995603645746601,0.991675811047352,0.007884553527308102
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,80,1.0003926478636864,0.9910230026150307,0.00936964524865569
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,96,0.9979194612852326,0.9903130361531656,0.007606425132066996
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,112,0.995010978681072,0.9883746127763858,0.006636365904686192
early_muon,early,muon,0,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,128,0.9926061376468412,0.988716001481905,0.0038901361649362753
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_loss_auc,AUC_0_128,0.9989009181200188,0.9956349761175582,0.0032659420024605534
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,16,0.9948557355698066,0.9994993418235198,-0.004643606253713295
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,32,0.9947833271559489,0.9982388620224337,-0.003455534866484866
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,48,1.0022243251332472,0.9968303650217488,0.005393960111498397
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,64,1.001348623376703,0.9945473664039761,0.006801256972726932
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,80,1.0019566273600993,0.9941419192910216,0.007814708069077692
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,96,0.9997331689942371,0.9934533726152313,0.006279796379005886
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,112,0.9985188278878006,0.9927690931019518,0.005749734785848726
early_muon,early,muon,1,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,128,0.995573418964617,0.9911989773211647,0.004374441643452354
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_loss_auc,AUC_0_128,0.9978464455903109,0.9956349761175582,0.0022114694727526363
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,16,0.9954348028574254,0.9994993418235198,-0.004064538966094489
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,32,0.994889539497823,0.9982388620224337,-0.0033493225246107317
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,48,0.9997600387831733,0.9968303650217488,0.0029296737614245005
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,64,0.9992128418655581,0.9945473664039761,0.004665475461582025
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,80,1.0000129348363613,0.9941419192910216,0.005871015545339753
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,96,0.9984594876591326,0.9934533726152313,0.00500611504390136
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,112,0.9975289128596743,0.9927690931019518,0.004759819757722439
early_muon,early,muon,1,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,128,0.9949460127266788,0.9911989773211647,0.003747035405514132
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_loss_auc,AUC_0_128,0.9989009181200188,1.0009749716250362,-0.002074053505017437
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,16,0.9948557355698066,0.9948626697088868,-6.9341390802613034e-06
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,32,0.9947833271559489,0.9950228216518759,-0.00023949449592708394
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,48,1.0022243251332472,1.005484904012513,-0.0032605788792656742
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,64,1.001348623376703,1.0050851908991825,-0.003736567522479417
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,80,1.0019566273600993,1.0056201863989929,-0.0036635590388935935
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,96,0.9997331689942371,1.002678644591835,-0.0029454755975978353
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,112,0.9985188278878006,1.0005701329161114,-0.002051305028310857
early_muon,early,muon,1,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,128,0.995573418964617,0.9969504456417836,-0.0013770266771665485
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_loss_auc,AUC_0_128,0.9978464455903109,1.0009749716250362,-0.003128526034725354
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,16,0.9954348028574254,0.9948626697088868,0.000572133148538545
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,32,0.994889539497823,0.9950228216518759,-0.0001332821540529494
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,48,0.9997600387831733,1.005484904012513,-0.005724865229339571
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,64,0.9992128418655581,1.0050851908991825,-0.0058723490336243245
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,80,1.0000129348363613,1.0056201863989929,-0.005607251562631532
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,96,0.9984594876591326,1.002678644591835,-0.0042191569327023615
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,112,0.9975289128596743,1.0005701329161114,-0.003041220056437144
early_muon,early,muon,1,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,128,0.9949460127266788,0.9969504456417836,-0.00200443291510477
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_loss_auc,AUC_0_128,1.0009749716250362,0.9956349761175582,0.00533999550747799
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,16,0.9948626697088868,0.9994993418235198,-0.004636672114633034
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,32,0.9950228216518759,0.9982388620224337,-0.0032160403705577822
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,48,1.005484904012513,0.9968303650217488,0.008654538990764071
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,64,1.0050851908991825,0.9945473664039761,0.01053782449520635
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,80,1.0056201863989929,0.9941419192910216,0.011478267107971285
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,96,1.002678644591835,0.9934533726152313,0.009225271976603722
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,112,1.0005701329161114,0.9927690931019518,0.007801039814159583
early_muon,early,muon,1,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,128,0.9969504456417836,0.9911989773211647,0.005751468320618902
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_loss_auc,AUC_0_128,0.9949797850649023,0.9928235493885571,0.002156235676345153
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,16,0.9926753266345488,0.9974956517248187,-0.004820325090269861
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,32,0.9927954712021694,0.996650698357288,-0.0038552271551186568
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,48,0.998619968394096,0.9944715830575773,0.004148385336518623
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,64,0.9974288518888622,0.992212688503123,0.005216163385739159
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,80,0.9967473984250053,0.9909616356242233,0.005785762800781913
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,96,0.9943265669335376,0.9895338316025742,0.00479273533096336
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,112,0.9928827255148531,0.9885445416617258,0.004338183853127342
early_muon,early,muon,2,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,128,0.9887239430522904,0.9854355291542549,0.0032884138980354694
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_loss_auc,AUC_0_128,0.9941978515324379,0.9928235493885571,0.00137430214388079
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,16,0.9933536541650853,0.9974956517248187,-0.004141997559733435
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,32,0.9929409630117144,0.996650698357288,-0.003709735345573617
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,48,0.9967325842192692,0.9944715830575773,0.0022610011616919223
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,64,0.9957564096073522,0.992212688503123,0.0035437211042291805
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,80,0.9951886449792584,0.9909616356242233,0.004227009355035061
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,96,0.9934260263169608,0.9895338316025742,0.00389219471438651
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,112,0.9920538095443578,0.9885445416617258,0.003509267882632061
early_muon,early,muon,2,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,128,0.988261440831009,0.9854355291542549,0.002825911676754056
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_loss_auc,AUC_0_128,0.9949797850649023,0.996917226644776,-0.0019374415798737443
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,16,0.9926753266345488,0.9926773652867144,-2.0386521655257894e-06
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,32,0.9927954712021694,0.9929938320578733,-0.00019836085570390516
