check,status,severity_if_failed,evidence
normuon_r1scale seed2024 performance/step_avg_ms: finite,PASS,critical,finite=309/309
adamw_low seed2024 performance/step_avg_ms: MIN/MAX mirrors,PASS,high,points=309
adamw_low seed2024 performance/step_avg_ms: finite,PASS,critical,finite=309/309
moonlight_r1scale seed2026 performance/step_avg_ms: MIN/MAX mirrors,PASS,high,points=309
moonlight_r1scale seed2026 performance/step_avg_ms: finite,PASS,critical,finite=309/309
normuon_r1scale seed2026 performance/step_avg_ms: MIN/MAX mirrors,PASS,high,points=309
normuon_r1scale seed2026 performance/step_avg_ms: finite,PASS,critical,finite=309/309
adamw_low seed2026 performance/step_avg_ms: MIN/MAX mirrors,PASS,high,points=309
adamw_low seed2026 performance/step_avg_ms: finite,PASS,critical,finite=309/309
wandb_export_2026-07-23T10_08_54.834+08_00.csv: exactly one metric,PASS,critical,['memory/optimizer_state_mib']
memory/optimizer_state_mib: unique export file,PASS,critical,wandb_export_2026-07-23T10_08_54.834+08_00.csv
memory/optimizer_state_mib: exact nine-run coverage,PASS,critical,observed=9
memory/optimizer_state_mib: exact step coverage,PASS,critical,"observed_first_last=(6200,)...(6200,); expected_points=1"
moonlight_r1scale seed2025 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2025 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2025 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2025 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
adamw_low seed2025 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2025 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
moonlight_r1scale seed2024 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2024 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2024 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2024 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
