method,display_name,family,seeds,n_seeds,final_val_mean,final_val_sd,best_val_mean,tail3_mean,tail3_between_seed_sd,tail5_mean,tail5_between_seed_sd,normalized_auc_mean,normalized_auc_sd,peak_memory_mib_mean,optimizer_state_mib_mean,final_rank,tail3_rank,tail5_rank,auc_rank
diag,Newton–Muon diag,core_frozen,"2024,2025",2,3.2606,0.0009899494936610575,3.2606,3.2637833333333335,0.0011078006238589594,3.26881,0.0011172287142748418,3.6142762096774197,0.0021287335598135135,38304.0,780.7558631896973,1,1,1,1
block4,Newton–Muon block4,core_frozen,"2024,2025",2,3.2619499999999997,0.0014849242404917434,3.2619499999999997,3.265133333333333,0.0015556349186102332,3.2702099999999996,0.001598061325481076,3.6154306451612905,0.002639104986556691,39168.0,996.4746131896972,2,2,2,2
none,Newton–Muon none,core_frozen,"2024,2025",2,3.26645,0.0007778174593052736,3.26645,3.269683333333333,0.0007306770072261756,3.27475,0.0007212489168106072,3.6233887096774193,0.0012841971542187866,38304.0,780.4746131896973,3,3,3,3
moonlight_r1scale,Moonlight Muon,extended_pilot_tuned,"2024,2025",2,3.2752,0.00028284271247458785,3.2752,3.2798,0.0003299831645539998,3.28695,0.000381837661841039,3.6521810483870976,0.0010372800282080403,37703.0,618.4746131896973,4,4,5,5
muon,Muon,core_frozen,"2024,2025",2,3.27715,0.0003535533905933919,3.27715,3.2805166666666667,0.0004006938426724898,3.28575,0.0004101219330880582,3.633375,0.00011290898602818488,37703.0,618.4746131896973,5,5,4,4
normuon_r1scale,NorMuon,extended_pilot_tuned,"2024,2025",2,3.3342,0.0011313708498983514,3.3342,3.3374,0.0011313708498983514,3.3424700000000005,0.0011737972567695083,3.7276415322580654,0.0011536104986619212,37703.0,618.7910194396973,6,6,6,6
adamw_low,AdamW,extended_pilot_tuned,"2024,2025",2,3.403,0.002121320343559723,3.403,3.406833333333333,0.002027039439401213,3.4126900000000004,0.002050609665441233,3.872849596774193,0.0055604824381849435,38026.0,942.474796295166,7,7,7,7
