seed,rule,diag_minus_none_step6200,diag_minus_none_tail5,diag_minus_none_auc,diag_k_state_mib,none_k_state_mib,diag_optimizer_state_mib,none_optimizer_state_mib,diag_peak_mib,none_peak_mib,all_delta,interaction_vs_all
2024,early,-0.0050000000000003375,-0.004980000000000651,-0.005582258064515955,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.0052000000000003155,0.00019999999999997797
2024,center,-0.0037000000000002586,-0.0036600000000008848,-0.004860483870967602,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.0052000000000003155,0.0015000000000000568
2024,late,-0.002200000000000202,-0.002380000000000493,-0.004520967741934889,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.0052000000000003155,0.0030000000000001137
2024,edge,-0.0030999999999998806,-0.0032600000000000406,-0.004825000000000745,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.0052000000000003155,0.002100000000000435
2024,all,-0.0052000000000003155,-0.005299999999999638,-0.008719354838708782,162.28125,162.0,780.7558631896973,780.4746131896973,38304.0,38304.0,-0.0052000000000003155,0.0
2025,early,-0.005199999999999871,-0.0053400000000003445,-0.007983870967741336,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005700000000000038,0.000500000000000167
2025,center,-0.0038999999999997925,-0.0038800000000001056,-0.0050411290322576185,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005700000000000038,0.0018000000000002458
2025,late,-0.0026000000000001577,-0.0027399999999992986,-0.0047887096774195115,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005700000000000038,0.0030999999999998806
2025,edge,-0.0038999999999997925,-0.0040000000000000036,-0.006005645161290651,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005700000000000038,0.0018000000000002458
2025,all,-0.005700000000000038,-0.005880000000000329,-0.00942016129032286,162.28125,162.0,780.7558631896973,780.4746131896973,38304.0,38304.0,-0.005700000000000038,0.0
2026,early,-0.0043999999999999595,-0.004420000000000535,-0.0072467741935491325,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005199999999999871,0.0007999999999999119
2026,center,-0.0039000000000002366,-0.0039000000000002366,-0.006008870967743274,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005199999999999871,0.0012999999999996348
2026,late,-0.0026999999999999247,-0.0027400000000001867,-0.0045814516129039085,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005199999999999871,0.0024999999999999467
2026,edge,-0.0028999999999999027,-0.0029600000000002957,-0.0055701612903238384,234.1875,234.0,852.6621131896973,852.4746131896973,38592.0,38592.0,-0.005199999999999871,0.0022999999999999687
2026,all,-0.005199999999999871,-0.005300000000000082,-0.008764516129030842,162.28125,162.0,780.7558631896973,780.4746131896973,38304.0,38304.0,-0.005199999999999871,0.0
