method,method_role,cproj_k_mode,controlled_seed,init_sha256,base_learning_rate,matrix_learning_rate,final_val_step,final_val_loss,best_val_step,best_val_loss,final_train_step,final_train_loss,val_curve_mean,official_train_time_s,timed_updates,timed_tokens,timed_tokens_per_s,peak_memory_allocated_mib,k_cov_bytes,k_inv_bytes,k_state_bytes,activation_stat_bytes,precond_workspace_bytes,total_precond_bytes,optimizer_state_bytes,model_parameter_bytes,checkpoint_bytes,validation_points,train_points,evidence_profile,formal_evidence,evidence_valid,val_loss_step_1000,val_loss_step_3000,val_loss_step_4400,val_loss_step_6200,step_to_val_loss_3p6,tokens_to_val_loss_3p6,train_time_s_to_val_loss_3p6,step_to_val_loss_3p5,tokens_to_val_loss_3p5,train_time_s_to_val_loss_3p5,step_to_val_loss_3p4,tokens_to_val_loss_3p4,train_time_s_to_val_loss_3p4,step_to_val_loss_3p3,tokens_to_val_loss_3p3,train_time_s_to_val_loss_3p3,quality_usable,memory_usable,timing_usable,reason,run_name,wrapper_wall_elapsed_s,official_log_path,checkpoint_path,derived_script_sha256,r1_depth_contract,depth_rule,selected_cproj_k_mode,selected_cproj_layers,unselected_cproj_k_mode,seed,tail5_val_loss,normalized_val_auc,run_manifest_path,metrics_path,kind,rule,mode
late_diag,"depth_rule=late;selected_layers=4,5,6,7,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.262,6200,3.262,6200,3.3551,3.6159806451612906,7396.602,6168,3233808384,437201.8913549763,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7225,3.4577,3.393,3.262,1600,838860800,1880.372,2400,1258291200,2840.01,4200,2202009600,4998.372,5600,2936012800,6677.56,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_late_diag_seed2024_20260806T104711+0000,11499.508523378521,PRIVATE_PATH_REDACTED,,c6c6639cde2be5894ec4cc5b9627ba636fd423ee073d4fdba41d68d0ecaa578d,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",late,diag,"[4, 5, 6, 7, 8, 9, 10, 11]",block4,2024,3.2701599999999997,3.615980645161291,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_late_diag_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_late_diag_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,late,diag
late_none,"depth_rule=late;selected_layers=4,5,6,7,8,9,10,11;selected_mode=none;unselected_mode=block4",none,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2642,6200,3.2642,6200,3.3557,3.6205016129032255,7391.966,6168,3233808384,437476.0901227089,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7269,3.4622,3.3967,3.2642,1600,838860800,1880.614,2500,1310720000,2959.211,4300,2254438400,5115.922,5600,2936012800,6674.303,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_late_none_seed2024_20260806T104711+0000,11517.259142672643,PRIVATE_PATH_REDACTED,,0ab1cee1103a773d9e97d67d85be27e4118189a82a27829630d70f5fad1b1db6,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",late,none,"[4, 5, 6, 7, 8, 9, 10, 11]",block4,2024,3.2725400000000002,3.620501612903226,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_late_none_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_late_none_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,late,none
block4,matched_official_block4_anchor,block4,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2608,6200,3.2608,6200,3.3479,3.6134201612903216,7420.975,6168,3233808384,435765.97199155093,39168,198180864,198180864,396361728,198181056,1274019840,1868562624,1044879364,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7182,3.4566,3.3923,3.2608,1600,838860800,1884.856,2400,1258291200,2847.726,4200,2202009600,5014.843,5600,2936012800,6699.419,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_block4_seed2025_20260807T062642+0000,11547.86846459657,PRIVATE_PATH_REDACTED,,d4368715bb64d6ad89509876c4d7f28773fa4dd567accca09405ff34e74220f5,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",,,,,2025,3.26896,3.613420161290323,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_block4_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_block4_seed2025_20260807T062642+0000\r1_metrics.csv,anchor,anchor,block4
muon,matched_official_muon_anchor,muon,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.0036,0.00036,6200,3.2774,6200,3.2774,6200,3.3707,3.63356370967742,7256.823,6168,3233808384,445623.158233293,37703,0,0,0,0,0,0,648517636,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7422,3.4805,3.4147,3.2774,1700,891289600,1964.03,2700,1415577600,3141.629,4600,2411724800,5376.018,5800,3040870400,6786.633,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_muon_seed2025_20260807T062642+0000,11369.005688743666,PRIVATE_PATH_REDACTED,,4ceb0c921e9ed1bfd992aa141f7c7b1c447fde753c7f00e8a3ebe3a1165788ea,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",,,,,2025,3.2861200000000004,3.633563709677419,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_muon_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_muon_seed2025_20260807T062642+0000\r1_metrics.csv,anchor,anchor,muon
all_diag,"depth_rule=all;selected_layers=0,1,2,3,4,5,6,7,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.26,6200,3.26,6200,3.3491,3.612778225806451,7412.869,6168,3233808384,436242.4837131211,38304,85082112,85082112,170164224,85082304,707788800,963035328,818681860,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7157,3.4541,3.3909,3.26,1500,786432000,1764.507,2400,1258291200,2847.067,4200,2202009600,5011.043,5500,2883584000,6571.775,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_all_diag_seed2025_20260807T062642+0000,11534.469984766096,PRIVATE_PATH_REDACTED,,99f649d7e859362cde29a7ea73b15b77550ebf17fe7a14ae1ae4c6397e11df67,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",all,diag,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",block4,2025,3.2681799999999996,3.6127782258064514,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_all_diag_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_all_diag_seed2025_20260807T062642+0000\r1_metrics.csv,depth_rule,all,diag
all_none,"depth_rule=all;selected_layers=0,1,2,3,4,5,6,7,8,9,10,11;selected_mode=none;unselected_mode=block4",none,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2657,6200,3.2657,6200,3.3568,3.622198387096774,7363.207,6168,3233808384,439184.7715268632,38304,84934656,84934656,169869312,84934800,594542592,849346704,818386948,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7289,3.4624,3.3977,3.2657,1600,838860800,1869.836,2500,1310720000,2943.424,4400,2306867200,5211.533,5600,2936012800,6644.604,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_all_none_seed2025_20260807T062642+0000,11456.678766552359,PRIVATE_PATH_REDACTED,,ed6a89f2b7dda8727a4105d3bd3c58ff219787c94f0463fd8e1eb79dda3f7375,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",all,none,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",block4,2025,3.27406,3.622198387096774,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_all_none_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_all_none_seed2025_20260807T062642+0000\r1_metrics.csv,depth_rule,all,none
center_diag,"depth_rule=center;selected_layers=2,3,4,5,6,7,8,9;selected_mode=diag;unselected_mode=block4",diag,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2597,6200,3.2597,6200,3.3505,3.6121951612903227,7369.61,6168,3233808384,438803.19094226154,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7163,3.4543,3.3907,3.2597,1600,838860800,1877.948,2400,1258291200,2832.847,4200,2202009600,4981.662,5500,2883584000,6534.318,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_center_diag_seed2025_20260807T062642+0000,11470.515581121668,PRIVATE_PATH_REDACTED,,00fcabeda94e1ba8aa9b4be765786f5f9f4a340ad588c95184efbf4fbb5129c1,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",center,diag,"[2, 3, 4, 5, 6, 7, 8, 9]",block4,2025,3.26802,3.6121951612903227,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_center_diag_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_center_diag_seed2025_20260807T062642+0000\r1_metrics.csv,depth_rule,center,diag
center_none,"depth_rule=center;selected_layers=2,3,4,5,6,7,8,9;selected_mode=none;unselected_mode=block4",none,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2636,6200,3.2636,6200,3.3544,3.6172362903225808,7365.768,6168,3233808384,439032.0716047532,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7218,3.459,3.3953,3.2636,1600,838860800,1872.283,2400,1258291200,2828.059,4300,2254438400,5096.669,5600,2936012800,6649.055,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_center_none_seed2025_20260807T062642+0000,11463.065525833517,PRIVATE_PATH_REDACTED,,4fc159909505de20aebe3bc3bd45e50b96156a23dcdebd7451d7a5d25f4139db,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",center,none,"[2, 3, 4, 5, 6, 7, 8, 9]",block4,2025,3.2719,3.6172362903225803,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_center_none_seed2025_20260807T062642+0000\run_manifest.json,results\seed2025_shard1\20260807T062642+0000_formal_seed2025\mainconf_r1_depth_kmode_center_none_seed2025_20260807T062642+0000\r1_metrics.csv,depth_rule,center,none
early_diag,"depth_rule=early;selected_layers=0,1,2,3,4,5,6,7;selected_mode=diag;unselected_mode=block4",diag,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2595,6200,3.2595,6200,3.3483,3.6119725806451606,7386.798,6168,3233808384,437782.16001033195,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7142,3.4543,3.3905,3.2595,1500,786432000,1752.971,2400,1258291200,2832.457,4200,2202009600,4991.734,5500,2883584000,6547.228,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_early_diag_seed2025_20260807T062654+0000,11507.16877685301,PRIVATE_PATH_REDACTED,,3f7f27a18cd858cb3e3fc570bcb24120d8a1cbdd33e82d234c20655ae007c20e,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",early,diag,"[0, 1, 2, 3, 4, 5, 6, 7]",block4,2025,3.2676600000000002,3.611972580645161,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_early_diag_seed2025_20260807T062654+0000\run_manifest.json,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_early_diag_seed2025_20260807T062654+0000\r1_metrics.csv,depth_rule,early,diag
early_none,"depth_rule=early;selected_layers=0,1,2,3,4,5,6,7;selected_mode=none;unselected_mode=block4",none,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2647,6200,3.2647,6200,3.3564,3.6199564516129024,7395.484,6168,3233808384,437267.98462413007,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7254,3.4608,3.3964,3.2647,1600,838860800,1879.481,2500,1310720000,2959.334,4300,2254438400,5119.296,5600,2936012800,6678.491,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_early_none_seed2025_20260807T062654+0000,11519.326018704101,PRIVATE_PATH_REDACTED,,a2042f3eaf5d06d7ea10a10c27923adf0762c61fc6cffb2d9cda94a184eb8e37,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",early,none,"[0, 1, 2, 3, 4, 5, 6, 7]",block4,2025,3.2730000000000006,3.6199564516129024,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_early_none_seed2025_20260807T062654+0000\run_manifest.json,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_early_none_seed2025_20260807T062654+0000\r1_metrics.csv,depth_rule,early,none
edge_diag,"depth_rule=edge;selected_layers=0,1,2,3,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.261,6200,3.261,6200,3.3613,3.6140588709677433,7382.498,6168,3233808384,438037.1500269963,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7174,3.456,3.3919,3.261,1500,786432000,1760.582,2400,1258291200,2840.739,4200,2202009600,4990.478,5600,2936012800,6664.686,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_edge_diag_seed2025_20260807T062654+0000,11496.306557957083,PRIVATE_PATH_REDACTED,,3d44f091f5746b47fc51eb60917e4e5e7c636bc0db65d57cc9d925ada49705ae,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",edge,diag,"[0, 1, 2, 3, 8, 9, 10, 11]",block4,2025,3.2692,3.614058870967742,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_edge_diag_seed2025_20260807T062654+0000\run_manifest.json,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_edge_diag_seed2025_20260807T062654+0000\r1_metrics.csv,depth_rule,edge,diag
edge_none,"depth_rule=edge;selected_layers=0,1,2,3,8,9,10,11;selected_mode=none;unselected_mode=block4",none,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2649,6200,3.2649,6200,3.3579,3.6200645161290317,7370.406,6168,3233808384,438755.8004267336,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7269,3.4609,3.3967,3.2649,1600,838860800,1879.545,2500,1310720000,2954.523,4300,2254438400,5103.334,5600,2936012800,6655.027,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_edge_none_seed2025_20260807T062654+0000,11482.025768723339,PRIVATE_PATH_REDACTED,,1bfa2ebda0724eb8adc470c421e9aee7ffda4a304746a9ab6150ab9ab733a10b,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",edge,none,"[0, 1, 2, 3, 8, 9, 10, 11]",block4,2025,3.2732,3.6200645161290326,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_edge_none_seed2025_20260807T062654+0000\run_manifest.json,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_edge_none_seed2025_20260807T062654+0000\r1_metrics.csv,depth_rule,edge,none
late_diag,"depth_rule=late;selected_layers=4,5,6,7,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2025,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,0.004,0.0004,6200,3.2603,6200,3.2603,6200,3.3471,3.6128483870967734,7392.745,6168,3233808384,437429.9917013234,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7173,3.455,3.3908,3.2603,1600,838860800,1881.07,2400,1258291200,2840.985,4200,2202009600,4998.084,5600,2936012800,6674.206,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_late_diag_seed2025_20260807T062654+0000,11512.408273391426,PRIVATE_PATH_REDACTED,,c6c6639cde2be5894ec4cc5b9627ba636fd423ee073d4fdba41d68d0ecaa578d,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",late,diag,"[4, 5, 6, 7, 8, 9, 10, 11]",block4,2025,3.26852,3.6128483870967734,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_late_diag_seed2025_20260807T062654+0000\run_manifest.json,results\seed2025_shard0\20260807T062654+0000_formal_seed2025\mainconf_r1_depth_kmode_late_diag_seed2025_20260807T062654+0000\r1_metrics.csv,depth_rule,late,diag
