rule,n_seeds,mean_diag_minus_none_step6200,sd_diag_minus_none_step6200,negative_seed_count,descriptive_t95_low,descriptive_t95_high,mean_diag_minus_none_tail5,mean_diag_minus_none_auc,mean_interaction_vs_all,negative_interaction_seed_count,positive_interaction_seed_count
early,3,-0.004866666666666723,0.0004163331998932518,3,-0.0059008956692141335,-0.0038324376641193127,-0.004913333333333843,-0.006937634408602141,0.000500000000000019,0,3
center,3,-0.0038333333333334294,0.00011547005383778424,3,-0.0041201768486604975,-0.0035464898180063613,-0.0038133333333337425,-0.005303494623656165,0.0015333333333333126,0,3
late,3,-0.0025000000000000946,0.000264575131106346,3,-0.003157241060797374,-0.0018427589392028152,-0.0026199999999999926,-0.004630376344086103,0.002866666666666647,0,3
edge,3,-0.0032999999999998586,0.0005291502622128599,3,-0.0046144821215948345,-0.0019855178784048827,-0.00340666666666678,-0.005466935483871745,0.002066666666666883,0,3
all,3,-0.005366666666666742,0.0002886751345947811,3,-0.006083775454985209,-0.004649557878348275,-0.00549333333333335,-0.008968010752687494,0.0,0,0
