origin,event_id,nested_replica_count,relative_k_fro_change_layer_median_mean,relative_k_fro_change_layer_median_sd,relative_a_fro_change_layer_median_mean,relative_a_fro_change_layer_median_sd,relative_runtime_inverse_fro_change_layer_median_mean,relative_runtime_inverse_fro_change_layer_median_sd,matched_g_preconditioned_relative_change_layer_median_mean,matched_g_preconditioned_relative_change_layer_median_sd,runtime_ns5_update_relative_change_layer_median_mean,runtime_ns5_update_relative_change_layer_median_sd,runtime_resolvent_relative_residual_layer_median_mean,runtime_resolvent_relative_residual_layer_median_sd,oriented_loss_harm_mean,oriented_loss_harm_sd,oriented_auc_harm_mean,oriented_auc_harm_sd
early_muon,delayed_refresh_64,3,0.347410374057,0.0541351561693,0.355469771118,0.059067570651,0.755397734308,0.00841066487553,0.855249657181,0.00853223498706,0.539592122522,0.00673874499575,0.000452967039102,2.86352150895e-05,0.00250776906639,0.000105583469459,0.00104843910401,3.32693634114e-05
early_muon,production_refresh_32,3,0.330983398459,0.0718819313053,0.339751878666,0.072089252698,0.751641629187,0.00812970722866,0.846698961911,0.00703294709841,0.551585522403,0.0115639806738,0.000430094704906,9.72324227232e-06,0.00531604698169,0.000382692133757,0.00302368865646,0.000281723186093
early_newton_full,delayed_refresh_64,3,0.404558057737,0.048579194501,0.40988802481,0.0489353331003,0.738978940494,0.0127081275078,0.865384595271,0.0099792793226,0.556095630102,0.00800230404452,0.000572533503797,3.64252656634e-05,0.00306236649721,0.000233370246758,0.00128845727425,9.8234354166e-05
early_newton_full,production_refresh_32,3,0.397754987221,0.0515252775761,0.402156093666,0.0515130714043,0.730747574233,0.0141126714819,0.865909757257,0.0134850034946,0.577612586325,0.012002716984,0.000565684237793,2.30355059939e-05,0.0068803711856,0.000690623692555,0.00375004865691,0.000458869933816
late_muon,delayed_refresh_64,3,0.336728477608,0.0467208038923,0.347419447317,0.0492405458187,0.77358891054,0.0149231755904,0.841141231939,0.0176147733862,0.532893348807,0.0109552625771,0.000438317594927,2.6130321793e-05,0.00176174000707,6.84499086266e-05,0.000839298974815,3.20431981501e-05
late_muon,production_refresh_32,3,0.326966094846,0.0543575853601,0.335168974152,0.0572020604983,0.768261080463,0.0146820340108,0.837598363562,0.0141315207693,0.544895896881,0.00993797476326,0.000438628605426,9.13680107025e-06,0.00342826509092,0.000195610570365,0.00241710474668,0.000173526469651
late_newton_full,delayed_refresh_64,3,0.472724116311,0.0227919983628,0.474406414077,0.0234359464811,0.668856555454,0.0282894895519,0.82003702144,0.0301900113609,0.502513341537,0.021709960655,0.000897000880105,4.61986788752e-05,0.00224718561118,0.000159020174422,0.00104158150099,9.44158738615e-05
late_newton_full,production_refresh_32,3,0.47895094982,0.0399878940663,0.480387651967,0.0404613454531,0.66016721155,0.0264215414526,0.819903541584,0.0306727223704,0.51397121463,0.0213293459533,0.000870680632703,7.56403545266e-05,0.00422616137393,0.000623759431997,0.00263445894002,0.000451558110388
