stage,source_method,event_id,layer_index,nested_row_count,residual_median,residual_mean,residual_max,hard_gate,above_gate_count,condition_before_median,condition_after_median,relative_a_change_median,relative_runtime_inverse_change_median,matched_g_change_median,runtime_ns5_change_median
early,muon,delayed_refresh_64,0,3,0.00171801771905,0.001690846671,0.00177863873801,0.01,0,5331.40910916,4697.52055542,0.507840964903,0.562152195505,0.86404937947,0.530240405146
early,muon,delayed_refresh_64,1,3,0.000561122598437,0.000573308997422,0.000628946731317,0.01,0,1069.23359709,880.36119417,0.446341606223,0.674980309311,0.844983579467,0.531401533312
early,muon,delayed_refresh_64,2,3,0.000438018997675,0.00045249963488,0.000486257535863,0.01,0,1829.88074864,1321.66219264,0.296039519689,0.702526731715,0.834542071537,0.523611471806
early,muon,delayed_refresh_64,3,3,0.000817236894126,0.000762572967519,0.000838284754751,0.01,0,8259.71358797,6087.02671224,0.271470176651,0.673673900749,0.798646942583,0.492262489237
early,muon,delayed_refresh_64,4,3,0.00184861224698,0.0017760489292,0.00190374582378,0.01,0,16405.1319905,13259.0790412,0.207118922702,0.580167971411,0.708671695506,0.423452950857
early,muon,delayed_refresh_64,5,3,0.000444490639613,0.000465355541192,0.000521344005257,0.01,0,4403.84431149,2810.63375326,0.244449898567,0.73732429961,0.837064552161,0.53002331054
early,muon,delayed_refresh_64,6,3,0.000372393751393,0.000376540243432,0.000388396913847,0.01,0,1536.96913682,967.597617275,0.293958778399,0.768677842079,0.857806933443,0.545389588002
early,muon,delayed_refresh_64,7,3,0.000367248932078,0.000372161072184,0.000383892991855,0.01,0,1232.51560413,721.458886431,0.315031526719,0.772451828741,0.859362298956,0.550880552337
early,muon,delayed_refresh_64,8,3,0.00036497721069,0.000365686023036,0.000377450671717,0.01,0,1790.25991916,1022.63376093,0.321266234666,0.775706830668,0.86268301386,0.552807898342
early,muon,delayed_refresh_64,9,3,0.000368654442128,0.000366912887357,0.000370144258493,0.01,0,1120.95476228,578.453466536,0.336202459935,0.791793710595,0.870632577234,0.560266888454
early,muon,delayed_refresh_64,10,3,0.000379825520361,0.000380781137018,0.000385679915936,0.01,0,2053.66450293,1487.42484197,0.540646645921,0.793955403039,0.865831930917,0.557991428879
early,muon,delayed_refresh_64,11,3,0.000380385027836,0.000381338339214,0.000394859706393,0.01,0,1615.33421048,859.091497525,0.300889672558,0.804107548148,0.875302925322,0.565239717832
early,muon,delayed_refresh_64,12,3,0.000402029948968,0.000400689128243,0.000408712431988,0.01,0,1821.66753603,1015.60487399,0.301922786746,0.808063877159,0.882455658343,0.577076634131
early,muon,delayed_refresh_64,13,3,0.00042699608629,0.000434582618936,0.000451929115545,0.01,0,2212.89543373,1378.12089516,0.425390601142,0.805914621127,0.884287854473,0.583988840121
early,muon,delayed_refresh_64,14,3,0.000485580711652,0.00047688867552,0.000488989309729,0.01,0,2148.67687143,1296.6544054,0.364765932055,0.801053456892,0.888549243155,0.593784538021
early,muon,delayed_refresh_64,15,3,0.00120845298692,0.00121343346667,0.00123434511064,0.01,0,16147.5647273,14612.241508,0.659208686707,0.664993936239,0.820052864923,0.523962105436
early,muon,delayed_refresh_64,16,3,0.00112944210843,0.00110759274545,0.0011510599464,0.01,0,16199.2131747,14167.6581331,0.534988883704,0.630634026887,0.808343579975,0.517486392529
early,muon,delayed_refresh_64,17,3,0.00225202680097,0.00228089738537,0.00246013904591,0.01,0,24768.3280157,23352.3603693,0.374401190299,0.401647627238,0.689046921124,0.364126368098
early,muon,production_refresh_32,0,3,0.00175707502266,0.00169395740868,0.00177187304032,0.01,0,5331.41749736,4665.15428733,0.4615268249,0.553635264518,0.855180304034,0.547465729467
early,muon,production_refresh_32,1,3,0.000573369643627,0.000567309941861,0.000612419152358,0.01,0,1069.23843714,838.459094594,0.418171654691,0.667696027562,0.829145391073,0.534591202547
early,muon,production_refresh_32,2,3,0.000415021586107,0.000423568310708,0.00044268435101,0.01,0,1829.88094283,1283.21428378,0.261383543621,0.694671619512,0.820911990058,0.52431284126
early,muon,production_refresh_32,3,3,0.000583332259615,0.000618304931391,0.000733212939938,0.01,0,8259.67926465,5796.73720633,0.212390211523,0.665380724326,0.783636937763,0.50350478329
early,muon,production_refresh_32,4,3,0.00142403899598,0.0013885857859,0.00160901647367,0.01,0,16405.1535485,13050.2363947,0.172418431091,0.57504901333,0.699862245343,0.435169600215
early,muon,production_refresh_32,5,3,0.000423423591034,0.000414416741709,0.000425239998764,0.01,0,4403.84891165,2657.90106845,0.199411262838,0.73340440546,0.824818742134,0.532551774622
early,muon,production_refresh_32,6,3,0.000359343820549,0.0003651403697,0.000377804457182,0.01,0,1536.97029267,959.336946984,0.274668793335,0.763123254296,0.846839080227,0.549460132268
early,muon,production_refresh_32,7,3,0.000365761625171,0.000364841098131,0.000373586945791,0.01,0,1232.5383986,716.735256266,0.294672604102,0.76981969544,0.849706152806,0.555238731687
early,muon,production_refresh_32,8,3,0.000355267649228,0.000356637205365,0.000365482012415,0.01,0,1790.26243718,1038.86343988,0.29876502739,0.774149523162,0.85035795636,0.557362626493
early,muon,production_refresh_32,9,3,0.000365983714921,0.000360632647614,0.00036799186463,0.01,0,1120.95655249,571.727761996,0.315877959467,0.789821461657,0.859227772501,0.568202854706
early,muon,production_refresh_32,10,3,0.000374941745016,0.000374146138348,0.000383614686602,0.01,0,2053.6593115,1413.16815566,0.436455315012,0.792759925754,0.863252367116,0.573683966669
early,muon,production_refresh_32,11,3,0.000374914867406,0.000381567710542,0.00039735271741,0.01,0,1615.33639337,855.156574749,0.28818931057,0.803053296321,0.872834148438,0.584868850656
early,muon,production_refresh_32,12,3,0.000398855801879,0.000394904765302,0.000415549091093,0.01,0,1821.66899091,1005.88285787,0.30064320378,0.807580040694,0.879794207051,0.595292310985
early,muon,production_refresh_32,13,3,0.000439245604947,0.000433820430794,0.000441186069299,0.01,0,2212.89896549,1365.86906589,0.392795583796,0.80222026215,0.880789707429,0.60103001266
early,muon,production_refresh_32,14,3,0.000459230161829,0.000463435149319,0.000485133620403,0.01,0,2148.69669788,1303.25189282,0.330631573268,0.797106829304,0.881802324413,0.608659559466
early,muon,production_refresh_32,15,3,0.00140072942679,0.00139139261347,0.00152361536504,0.01,0,16147.457846,15152.6931867,0.781799843697,0.664530017522,0.804360461675,0.536775946495
early,muon,production_refresh_32,16,3,0.0011835953593,0.00118124374231,0.0012496383607,0.01,0,16199.1731894,15001.0652614,0.656905014212,0.628641668621,0.798803612567,0.529344907361
early,muon,production_refresh_32,17,3,0.00264825252472,0.00269229744495,0.00286643275837,0.01,0,24768.3722374,23889.2531874,0.635866115022,0.468657415699,0.685762119087,0.401260690244
early,newton_full,delayed_refresh_64,0,3,0.00260552420836,0.00257849803586,0.00268298721059,0.01,0,10511.2030132,9972.76382254,0.682690552579,0.509797713802,0.849851751635,0.492870409493
early,newton_full,delayed_refresh_64,1,3,0.00105391127993,0.00101301124445,0.00111147661547,0.01,0,2504.24535232,1769.09866873,0.43683704158,0.60479581288,0.8289826366,0.514542591975
early,newton_full,delayed_refresh_64,2,3,0.000737259062844,0.000733496151707,0.000774337941274,0.01,0,3069.49594552,2417.90810447,0.407609589459,0.641074471344,0.821109589896,0.511158878725
early,newton_full,delayed_refresh_64,3,3,0.000793913427915,0.000797274778445,0.000900682780459,0.01,0,5895.0477507,4490.85207478,0.275512688166,0.643483302591,0.804158542859,0.49746302548
early,newton_full,delayed_refresh_64,4,3,0.00058971677963,0.00059892827049,0.000652055142675,0.01,0,3555.52858241,2467.35360762,0.286872206763,0.691638003827,0.835042831145,0.527812555459
