suite,method,val/loss__last__count,val/loss__last__mean,val/loss__last__std,val/loss__min__count,val/loss__min__mean,val/loss__min__std,val/loss__noninitial_mean__count,val/loss__noninitial_mean__mean,val/loss__noninitial_mean__std,val/loss__tail3_mean__count,val/loss__tail3_mean__mean,val/loss__tail3_mean__std,val/loss__tail10_mean__count,val/loss__tail10_mean__mean,val/loss__tail10_mean__std,time_elapsed__last__count,time_elapsed__last__mean,time_elapsed__last__std,cuda/full_run_max_memory_allocated_mib__last__count,cuda/full_run_max_memory_allocated_mib__last__mean,cuda/full_run_max_memory_allocated_mib__last__std,matrix/k_state_bytes__last__count,matrix/k_state_bytes__last__mean,matrix/k_state_bytes__last__std,k_state_reduction_vs_block4_fraction__count,k_state_reduction_vs_block4_fraction__mean,k_state_reduction_vs_block4_fraction__std,peak_memory_reduction_vs_block4_fraction__count,peak_memory_reduction_vs_block4_fraction__mean,peak_memory_reduction_vs_block4_fraction__std
owt12l_100m,diag_cproj_k,3,4.100724220275879,0.019513815054050178,3,4.100659370422363,0.019402252808766614,3,4.4665573835372925,0.007206776943047061,3,4.117352432674831,0.008140808967302024,3,4.177276261647543,0.006584111448468278,3,850.9431478182474,9.356325681306338,3,9743.59423828125,0.716008139580008,3,255098880.0,0.0,3,0.5709325396825398,0.0,3,0.03224774651885213,0.00018423204506604301
owt12l_100m,muon_blog,3,4.071493943532308,0.012531806373134984,3,4.07014004389445,0.01023084198820713,3,4.444503605365753,0.011380816713667637,3,4.088426801893447,0.0070244691166490535,3,4.149924596150716,0.002915495762639454,3,803.1230747699738,4.9696531310565435,3,8903.87451171875,0.0,3,0.0,0.0,3,1.0,0.0,3,0.11565029943435501,0.0001747996900669083
owt12l_100m,no_cproj_k,3,4.109021186828613,0.01825332828449969,3,4.1085052490234375,0.017373763448771423,3,4.473102755016751,0.0069691818883105315,3,4.124593363867866,0.007670145156048401,3,4.184218438466391,0.007528629606514812,3,858.5136364301046,18.059267349228076,3,9740.96435546875,3.554436777516079,3,254803968.0,0.0,3,0.5714285714285714,0.0,3,0.03250899295323554,0.00018191704550275898
owt12l_100m,paper_block4,3,4.105402151743571,0.020677272716368215,3,4.104175726572673,0.01861313613168293,3,4.4676400952868995,0.006324639757486491,3,4.121327347225613,0.008934497003804635,3,4.179821300506592,0.008316390923520111,3,910.5816524823507,19.86966455914156,3,10068.273600260416,1.989859403726776,3,594542592.0,0.0,3,0.0,0.0,3,0.0,0.0
owt18l_3k,diag_cproj_k,3,5.0856475830078125,0.029917669476346165,3,5.0856475830078125,0.029917669476346165,3,5.475475406646729,0.010752535630445264,3,5.225006527370876,0.016827884537227073,3,6.3915608459048805,0.01630191940226852,3,248.58416604995728,8.67645535793524,3,7092.544270833333,1.2312079575745505,3,382648320.0,0.0,3,0.5709325396825398,0.0,3,0.06481612299826615,0.0006300144061172092
owt18l_3k,muon_blog,3,5.1014939943949384,0.032298306763564724,3,5.1014939943949384,0.032298306763564724,3,5.478754202524821,0.010815436601709442,3,5.236004034678142,0.017695597572958376,3,6.39429317580329,0.016109179396587323,3,213.9562152226766,6.900293064322068,3,6251.38134765625,0.0,3,0.0,0.0,3,1.0,0.0,3,0.1757272605111578,0.000485690885167041
owt18l_3k,no_cproj_k,3,5.095411777496338,0.02437383873936069,3,5.095411777496338,0.02437383873936069,3,5.484840456644694,0.012810082988128054,3,5.236066553327772,0.017459360210261395,3,6.399365054236519,0.017340226413221596,3,239.88258457183838,11.83111207962701,3,7080.005859375,1.0072212554927937,3,382205952.0,0.0,3,0.5714285714285714,0.0,3,0.06646943952914686,0.00043514564888744243
owt18l_3k,paper_block4,3,5.09432586034139,0.03251441776038657,3,5.09432586034139,0.03251441776038657,3,5.479020754496257,0.014539505002416984,3,5.230402575598823,0.021124870988183966,3,6.394515302446153,0.017661491322353024,3,264.11770542462665,28.577524218492435,3,7584.119303385417,4.469372108034146,3,891813888.0,0.0,3,0.0,0.0,3,0.0,0.0
owt24l_12k,diag_cproj_k,3,5.59516445795695,0.04160702549130115,3,5.462291558583577,0.035073456265813,3,5.827984243199445,0.00429766937304411,3,5.580337153540717,0.04283588068894573,3,5.6099851449330655,0.022260433909819046,3,1357.9099186261494,64.55907142083925,3,6204.53515625,0.09133861680539002,3,906756096.0,0.0,3,0.5710565476190477,0.0,3,0.15651551191040305,2.2891006149221088e-05
owt24l_12k,muon_blog,3,6.064825216929118,0.012355382992627057,3,5.851281642913818,0.05957784707773169,3,6.088692893152651,0.00806630651708578,3,6.024267514546712,0.023068775672511418,3,5.994336843490601,0.011713532560852183,3,1222.6031737327576,68.23158533451499,3,5147.57421875,0.0,3,0.0,0.0,3,1.0,0.0,3,0.3002055923717815,8.68952149678873e-06
