suite,seed,method,run_name,cuda/full_run_max_memory_allocated_mib__count,cuda/full_run_max_memory_allocated_mib__first,cuda/full_run_max_memory_allocated_mib__last,cuda/full_run_max_memory_allocated_mib__min,cuda/full_run_max_memory_allocated_mib__max,cuda/full_run_max_memory_allocated_mib__last_wandb_step,cuda/memory_allocated_mib__count,cuda/memory_allocated_mib__first,cuda/memory_allocated_mib__last,cuda/memory_allocated_mib__min,cuda/memory_allocated_mib__max,cuda/memory_allocated_mib__last_wandb_step,lr/adamw__count,lr/adamw__first,lr/adamw__last,lr/adamw__min,lr/adamw__max,lr/adamw__last_wandb_step,lr/matrix__count,lr/matrix__first,lr/matrix__last,lr/matrix__min,lr/matrix__max,lr/matrix__last_wandb_step,matrix/cproj_k_state_bytes__count,matrix/cproj_k_state_bytes__first,matrix/cproj_k_state_bytes__last,matrix/cproj_k_state_bytes__min,matrix/cproj_k_state_bytes__max,matrix/cproj_k_state_bytes__last_wandb_step,matrix/k_state_bytes__count,matrix/k_state_bytes__first,matrix/k_state_bytes__last,matrix/k_state_bytes__min,matrix/k_state_bytes__max,matrix/k_state_bytes__last_wandb_step,matrix/k_state_released_fraction__count,matrix/k_state_released_fraction__first,matrix/k_state_released_fraction__last,matrix/k_state_released_fraction__min,matrix/k_state_released_fraction__max,matrix/k_state_released_fraction__last_wandb_step,matrix/non_cproj_k_state_bytes__count,matrix/non_cproj_k_state_bytes__first,matrix/non_cproj_k_state_bytes__last,matrix/non_cproj_k_state_bytes__min,matrix/non_cproj_k_state_bytes__max,matrix/non_cproj_k_state_bytes__last_wandb_step,time_elapsed__count,time_elapsed__first,time_elapsed__last,time_elapsed__min,time_elapsed__max,time_elapsed__last_wandb_step,train/loss_step__count,train/loss_step__first,train/loss_step__last,train/loss_step__min,train/loss_step__max,train/loss_step__last_wandb_step,val/loss__count,val/loss__first,val/loss__last,val/loss__min,val/loss__max,val/loss__last_wandb_step,val/loss__tail10_mean,val/loss__tail10_std,val/loss__noninitial_mean,val/loss__tail3_mean,k_state_reduction_vs_block4_fraction,peak_memory_reduction_vs_block4_fraction
owt12l_100m,2024,diag_cproj_k,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2024,611,8819.36572265625,9743.00244140625,8819.36572265625,9743.00244140625,12200,611,3492.24169921875,3498.23876953125,3492.24169921875,3504.47900390625,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,294912.0,294912.0,294912.0,294912.0,12200.0,611,255098880.0,255098880.0,255098880.0,255098880.0,12200,611.0,0.5709325396825397,0.5709325396825397,0.5709325396825397,0.5709325396825397,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.8074936866760252,856.7544112205505,1.8074936866760252,856.7544112205505,12200,611,10.96746063232422,3.960762023925781,3.697733402252197,10.96746063232422,12200,25,10.95478630065918,4.091794967651367,4.091794967651367,10.95478630065918,12000,4.175316286087036,0.06737340203532985,4.459320743878682,4.109922885894775,0.5709325396825398,0.03240967350340329
owt12l_100m,2024,muon_blog,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2024,611,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875,12200,611,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,,,,,,,611,0.0,0.0,0.0,0.0,12200,,,,,,,,,,,,,611,2.1554195880889893,806.2915210723877,2.1554195880889893,806.2915210723877,12200,611,10.96746063232422,3.907674551010132,3.644198894500733,10.96746063232422,12200,25,10.95478630065918,4.062185287475586,4.062185287475586,10.95478630065918,12000,4.147709655761719,0.07043612020602728,4.4379042983055115,4.081240971883138,1.0,0.11574456665791555
owt12l_100m,2024,no_cproj_k,mainconf_reference_lr001_owt12l_100m_no_cproj_k_seed2024,611,8820.61572265625,9741.63720703125,8820.61572265625,9741.63720703125,12200,611,2915.97314453125,2920.99853515625,2915.22314453125,2924.97314453125,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,0.0,0.0,0.0,0.0,12200.0,611,254803968.0,254803968.0,254803968.0,254803968.0,12200,611.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.714233160018921,851.1666712760925,1.714233160018921,851.1666712760925,12200,611,10.96746063232422,3.956475973129273,3.703880786895752,10.96746063232422,12200,25,10.95478630065918,4.101787567138672,4.101787567138672,10.95478630065918,12000,4.181136512756348,0.06580672771809855,4.466152648131053,4.11803404490153,0.5714285714285714,0.032545256716339455
owt12l_100m,2024,paper_block4,mainconf_reference_lr001_owt12l_100m_paper_block4_seed2024,611,8821.74072265625,10069.3466796875,8821.74072265625,10069.3466796875,12200,611,3823.71044921875,3828.96044921875,3823.71044921875,3832.94775390625,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,339738624.0,339738624.0,339738624.0,339738624.0,12200.0,611,594542592.0,594542592.0,594542592.0,594542592.0,12200,611.0,0.0,0.0,0.0,0.0,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.7849528789520264,925.9739601612092,1.7849528789520264,925.9739601612092,12200,611,10.96746063232422,3.9602227210998535,3.70630407333374,10.96746063232422,12200,25,10.95478630065918,4.098400592803955,4.098400592803955,10.95478630065918,12000,4.176258277893067,0.06601848557074773,4.460830310980479,4.114247639973958,0.0,0.0
owt12l_100m,2025,diag_cproj_k,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2025,611,8820.11572265625,9743.39013671875,8820.11572265625,9743.39013671875,12200,611,3492.74169921875,3501.25146484375,3492.74169921875,3503.87646484375,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,294912.0,294912.0,294912.0,294912.0,12200.0,611,255098880.0,255098880.0,255098880.0,255098880.0,12200,611.0,0.5709325396825397,0.5709325396825397,0.5709325396825397,0.5709325396825397,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.874077320098877,840.1500105857849,1.874077320098877,840.1500105857849,12200,611,10.9659423828125,4.172983169555664,3.7548980712890634,10.9659423828125,12200,25,10.968951225280762,4.123105049133301,4.122910499572754,10.968951225280762,12000,4.184617805480957,0.052332335885284305,4.466617484887441,4.126054604848226,0.5709325396825398,0.03204730003538181
owt12l_100m,2025,muon_blog,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2025,611,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875,12200,611,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,,,,,,,611,0.0,0.0,0.0,0.0,12200,,,,,,,,,,,,,611,1.7020652294158936,805.6822998523712,1.7020652294158936,805.6822998523712,12200,611,10.9659423828125,4.103116035461426,3.68465256690979,10.9659423828125,12200,25,10.968951225280762,4.085742950439453,4.081681251525879,10.968951225280762,12000,4.148836469650268,0.054153230094172784,4.437961518764496,4.088761488596599,1.0,0.11544860127434609
owt12l_100m,2025,no_cproj_k,mainconf_reference_lr001_owt12l_100m_no_cproj_k_seed2025,611,8818.86572265625,9737.12158203125,8818.86572265625,9737.12158203125,12200,611,2915.09814453125,2922.08544921875,2914.21044921875,2922.61083984375,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,0.0,0.0,0.0,0.0,12200.0,611,254803968.0,254803968.0,254803968.0,254803968.0,12200,611.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.6988847255706787,845.2858257293701,1.6988847255706787,845.2858257293701,12200,611,10.9659423828125,4.182052612304688,3.752576351165772,10.9659423828125,12200,25,10.968951225280762,4.129782676696777,4.12823486328125,10.968951225280762,12000,4.192799043655396,0.0531469964549313,4.473064760367076,4.133026917775472,0.5714285714285714,0.03267004677440177
owt12l_100m,2025,paper_block4,mainconf_reference_lr001_owt12l_100m_paper_block4_seed2025,611,8819.36572265625,10065.9775390625,8819.36572265625,10065.9775390625,12200,611,3816.71044921875,3823.83544921875,3816.71044921875,3827.82275390625,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,339738624.0,339738624.0,339738624.0,339738624.0,12200.0,611,594542592.0,594542592.0,594542592.0,594542592.0,12200,611.0,0.0,0.0,0.0,0.0,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.709160327911377,888.1508042812347,1.709160327911377,888.1508042812347,12200,611,10.9659423828125,4.170383930206299,3.747854232788086,10.9659423828125,12200,25,10.968951225280762,4.128671169281006,4.124991893768311,10.968951225280762,12000,4.189325571060181,0.05154984000969067,4.468759993712108,4.131365935007731,0.0,0.0
owt12l_100m,2026,diag_cproj_k,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2026,611,8820.99072265625,9744.39013671875,8820.99072265625,9744.39013671875,12200,611,3495.49169921875,3500.74169921875,3495.49169921875,3505.97900390625,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,611.0,294912.0,294912.0,294912.0,294912.0,12200.0,611,255098880.0,255098880.0,255098880.0,255098880.0,12200,611.0,0.5709325396825397,0.5709325396825397,0.5709325396825397,0.5709325396825397,12200.0,611.0,254803968.0,254803968.0,254803968.0,254803968.0,12200.0,611,1.9765949249267576,855.925021648407,1.9765949249267576,855.925021648407,12200,611,10.933692932128906,4.242812156677246,3.638987302780152,10.933692932128906,12200,25,10.942121505737305,4.087272644042969,4.087272644042969,10.942121505737305,12000,4.171894693374634,0.07794363166666819,4.473733921845754,4.116079807281494,0.5709325396825398,0.03228626601777129
owt12l_100m,2026,muon_blog,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2026,611,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875,12200,611,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125,12200,25,0.0,0.0001006551770792,0.0,0.0009975785943348,12000,25,0.01,0.01,0.01,0.01,12000,,,,,,,611,0.0,0.0,0.0,0.0,12200,,,,,,,,,,,,,611,1.907193660736084,797.3954033851624,1.907193660736084,797.3954033851624,12200,611,10.933692932128906,4.201401710510254,3.612195730209351,10.933692932128906,12200,25,10.942121505737305,4.066553592681885,4.066553592681885,10.942121505737305,12000,4.153227663040161,0.08057852362313689,4.457644999027252,4.0952779452006025,1.0,0.11575773037080339
