seed,contrast,final_val_loss_delta,tail5_val_loss_delta,normalized_val_auc_delta
2024,dense_alpha0_minus_efficient_diag,0.0009000000000001229,0.0008599999999998609,0.0002991935483871444
2025,dense_alpha0_minus_efficient_diag,0.00019999999999997797,0.00025999999999992696,0.00039516129032213243
2026,dense_alpha0_minus_efficient_diag,-0.00020000000000042206,-0.00023999999999979593,-0.0006838709677419175
