family,contrast,metric,candidate,comparator,eligible_seeds,n_seeds,mean,sample_sd,ci95_low_t_df3,ci95_high_t_df3,negative_seeds,positive_seeds,zero_seeds,practical_margin,classification,lower_is_better
primary,selective_none_vs_muon,final_val_loss,selective_none,muon,4,4,-0.0030477046966552734,0.0027272670242663648,-0.0073873951291053225,0.0012919857357947756,3,1,0,0.002,direction_candidate_better_but_practically_unresolved,True
primary,selective_none_vs_muon,normalized_auc,selective_none,muon,4,4,-0.008311064985297767,0.0023571884308127714,-0.012061877791547224,-0.00456025217904831,4,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,tail5_mean,selective_none,muon,4,4,-0.0030734062194823775,0.002756118688341381,-0.007459006087800845,0.0013121936488360905,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,best_val_loss,selective_none,muon,4,4,-0.0030477046966552734,0.0027272670242663648,-0.0073873951291053225,0.0012919857357947756,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,steps_to_target,selective_none,muon,4,4,-13.604012626537667,11.453091508667896,-31.828437004459023,4.620411751383688,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,tokens_to_target,selective_none,muon,4,4,-5349315.428956628,4503538.830672356,-12515450.685145352,1816819.8272320973,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,final_val_loss,selective_none,original_newton_muon,4,4,-7.432699203491211e-05,0.001170457494581943,-0.001936786056597202,0.0017881320725273778,2,2,0,0.002,quality_equivalent_within_margin,True
primary,selective_none_vs_original,normalized_auc,selective_none,original_newton_muon,4,4,0.006518196479409322,0.0008472794538653684,0.005169985795660767,0.007866407163157877,0,4,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,tail5_mean,selective_none,original_newton_muon,4,4,0.0004631519317627175,0.0011688156618943617,-0.0013966946106143284,0.0023229984741397636,2,2,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,best_val_loss,selective_none,original_newton_muon,4,4,-7.432699203491211e-05,0.001170457494581943,-0.001936786056597202,0.0017881320725273778,2,2,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,steps_to_target,selective_none,original_newton_muon,4,4,3.018226527032084,4.797284265459764,-4.615323265973293,10.651776320037461,1,3,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,tokens_to_target,selective_none,original_newton_muon,4,4,1186814.962053448,1886368.9297270451,-1814818.953352984,4188448.87745988,1,3,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,final_val_loss,selective_diag,muon,4,4,-0.002808511257171631,0.003409745342867654,-0.008234176991356324,0.0026171544770130627,3,1,0,0.002,ci_spans_both_practical_boundaries,True
primary,selective_diag_vs_muon,normalized_auc,selective_diag,muon,4,4,-0.013176399697948038,0.0023252782006238774,-0.016876436207114785,-0.009476363188781289,4,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,tail5_mean,selective_diag,muon,4,4,-0.0032967686653136985,0.00336132538320202,-0.008645387438628437,0.0020518501080010404,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,best_val_loss,selective_diag,muon,4,4,-0.002808511257171631,0.003409745342867654,-0.008234176991356324,0.0026171544770130627,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,steps_to_target,selective_diag,muon,4,4,-15.26324774488711,14.187534479992552,-37.8387810883598,7.312285598585582,3,1,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,tokens_to_target,selective_diag,muon,4,4,-6001753.225253493,5578765.558084738,-14878814.14444043,2875307.693933444,3,1,0,,secondary_metric_no_practical_margin,True
