family,contrast,metric,seed,candidate,comparator,candidate_value,comparator_value,delta_candidate_minus_comparator,eligible
primary,selective_none_vs_muon,final_val_loss,2024,selective_none,muon,3.27337646484375,3.276400089263916,-0.0030236244201660156,True
primary,selective_none_vs_muon,final_val_loss,2025,selective_none,muon,3.2756595611572266,3.282120943069458,-0.006461381912231445,True
primary,selective_none_vs_muon,final_val_loss,2026,selective_none,muon,3.273252487182617,3.2761731147766113,-0.0029206275939941406,True
primary,selective_none_vs_muon,final_val_loss,2027,selective_none,muon,3.27660870552063,3.2763938903808594,0.0002148151397705078,True
primary,selective_none_vs_muon,normalized_auc,2024,selective_none,muon,3.767818929171492,3.7755337295982336,-0.007714800426741775,True
primary,selective_none_vs_muon,normalized_auc,2025,selective_none,muon,3.7710774873210267,3.782289221223477,-0.011211733902450227,True
primary,selective_none_vs_muon,normalized_auc,2026,selective_none,muon,3.7638081800972816,3.7725863731012934,-0.008778193004011836,True
primary,selective_none_vs_muon,normalized_auc,2027,selective_none,muon,3.769622173984494,3.775161706592481,-0.00553953260798723,True
primary,selective_none_vs_muon,tail5_mean,2024,selective_none,muon,3.292686605453491,3.295685577392578,-0.0029989719390868252,True
primary,selective_none_vs_muon,tail5_mean,2025,selective_none,muon,3.294918727874756,3.3014525890350344,-0.00653386116027832,True
primary,selective_none_vs_muon,tail5_mean,2026,selective_none,muon,3.2924030780792237,3.2953765392303467,-0.002973461151122958,True
primary,selective_none_vs_muon,tail5_mean,2027,selective_none,muon,3.2959361553192137,3.295723485946655,0.00021266937255859375,True
primary,selective_none_vs_muon,best_val_loss,2024,selective_none,muon,3.27337646484375,3.276400089263916,-0.0030236244201660156,True
primary,selective_none_vs_muon,best_val_loss,2025,selective_none,muon,3.2756595611572266,3.282120943069458,-0.006461381912231445,True
primary,selective_none_vs_muon,best_val_loss,2026,selective_none,muon,3.273252487182617,3.2761731147766113,-0.0029206275939941406,True
primary,selective_none_vs_muon,best_val_loss,2027,selective_none,muon,3.27660870552063,3.2763938903808594,0.0002148151397705078,True
primary,selective_none_vs_muon,steps_to_target,2024,selective_none,muon,1561.7560335892724,1575.1538312901225,-13.397797700850106,True
primary,selective_none_vs_muon,steps_to_target,2025,selective_none,muon,1571.6765980498383,1599.600827794803,-27.924229744964805,True
primary,selective_none_vs_muon,steps_to_target,2026,selective_none,muon,1560.2433215320252,1573.4538998043727,-13.210578272347448,True
primary,selective_none_vs_muon,steps_to_target,2027,selective_none,muon,1575.9964405360142,1575.8798853240025,0.11655521201168995,True
primary,selective_none_vs_muon,tokens_to_target,2024,selective_none,muon,614107460.5038394,619375688.9245768,-5268228.420737386,True
primary,selective_none_vs_muon,tokens_to_target,2025,selective_none,muon,618008385.1787652,628988639.1021613,-10980253.92339611,True
primary,selective_none_vs_muon,tokens_to_target,2026,selective_none,muon,613512637.9195368,618707248.6654762,-5194610.745939374,True
primary,selective_none_vs_muon,tokens_to_target,2027,selective_none,muon,619707016.3618094,619661184.987563,45831.37424635887,True
primary,selective_none_vs_original,final_val_loss,2024,selective_none,original_newton_muon,3.27337646484375,3.2746872901916504,-0.0013108253479003906,True
primary,selective_none_vs_original,final_val_loss,2025,selective_none,original_newton_muon,3.2756595611572266,3.2750561237335205,0.0006034374237060547,True
primary,selective_none_vs_original,final_val_loss,2026,selective_none,original_newton_muon,3.273252487182617,3.274038791656494,-0.0007863044738769531,True
primary,selective_none_vs_original,final_val_loss,2027,selective_none,original_newton_muon,3.27660870552063,3.2754123210906982,0.0011963844299316406,True
primary,selective_none_vs_original,normalized_auc,2024,selective_none,original_newton_muon,3.767818929171492,3.7622825301150655,0.005536399056426333,True
primary,selective_none_vs_original,normalized_auc,2025,selective_none,original_newton_muon,3.7710774873210267,3.764363702067935,0.006713785253091853,True
primary,selective_none_vs_original,normalized_auc,2026,selective_none,original_newton_muon,3.7638081800972816,3.7575458801601487,0.006262299937132898,True
primary,selective_none_vs_original,normalized_auc,2027,selective_none,original_newton_muon,3.769622173984494,3.7620618723135077,0.0075603016709862025,True
primary,selective_none_vs_original,tail5_mean,2024,selective_none,original_newton_muon,3.292686605453491,3.293531370162964,-0.0008447647094729227,True
primary,selective_none_vs_original,tail5_mean,2025,selective_none,original_newton_muon,3.294918727874756,3.293730068206787,0.0011886596679691053,True
primary,selective_none_vs_original,tail5_mean,2026,selective_none,original_newton_muon,3.2924030780792237,3.2925684452056885,-0.00016536712646475493,True
primary,selective_none_vs_original,tail5_mean,2027,selective_none,original_newton_muon,3.2959361553192137,3.2942620754241942,0.0016740798950194424,True
primary,selective_none_vs_original,best_val_loss,2024,selective_none,original_newton_muon,3.27337646484375,3.2746872901916504,-0.0013108253479003906,True
primary,selective_none_vs_original,best_val_loss,2025,selective_none,original_newton_muon,3.2756595611572266,3.2750561237335205,0.0006034374237060547,True
primary,selective_none_vs_original,best_val_loss,2026,selective_none,original_newton_muon,3.273252487182617,3.274038791656494,-0.0007863044738769531,True
primary,selective_none_vs_original,best_val_loss,2027,selective_none,original_newton_muon,3.27660870552063,3.2754123210906982,0.0011963844299316406,True
primary,selective_none_vs_original,steps_to_target,2024,selective_none,original_newton_muon,1561.7560335892724,1564.4175062290117,-2.6614726397392587,True
primary,selective_none_vs_original,steps_to_target,2025,selective_none,original_newton_muon,1571.6765980498383,1565.7688408990753,5.907757150763018,True
primary,selective_none_vs_original,steps_to_target,2026,selective_none,original_newton_muon,1560.2433215320252,1559.3329322906231,0.910389241402072,True
primary,selective_none_vs_original,steps_to_target,2027,selective_none,original_newton_muon,1575.9964405360142,1568.0802081803117,7.916232355702505,True
primary,selective_none_vs_original,tokens_to_target,2024,selective_none,original_newton_muon,614107460.5038394,615153994.1293471,-1046533.6255077124,True
primary,selective_none_vs_original,tokens_to_target,2025,selective_none,original_newton_muon,618008385.1787652,615685360.5429708,2323024.635794401,True
primary,selective_none_vs_original,tokens_to_target,2026,selective_none,original_newton_muon,613512637.9195368,613154658.3035897,357979.61594712734,True
primary,selective_none_vs_original,tokens_to_target,2027,selective_none,original_newton_muon,619707016.3618094,616594227.1398294,3112789.2219799757,True
primary,selective_diag_vs_muon,final_val_loss,2024,selective_diag,muon,3.273820638656616,3.276400089263916,-0.0025794506072998047,True
primary,selective_diag_vs_muon,final_val_loss,2025,selective_diag,muon,3.2753446102142334,3.282120943069458,-0.006776332855224609,True
primary,selective_diag_vs_muon,final_val_loss,2026,selective_diag,muon,3.2727749347686768,3.2761731147766113,-0.0033981800079345703,True
primary,selective_diag_vs_muon,final_val_loss,2027,selective_diag,muon,3.277913808822632,3.2763938903808594,0.001519918441772461,True
primary,selective_diag_vs_muon,normalized_auc,2024,selective_diag,muon,3.7634191959656795,3.7755337295982336,-0.012114533632554103,True
primary,selective_diag_vs_muon,normalized_auc,2025,selective_diag,muon,3.766174219350899,3.782289221223477,-0.01611500187257775,True
primary,selective_diag_vs_muon,normalized_auc,2026,selective_diag,muon,3.7588159014693403,3.7725863731012934,-0.013770471631953107,True
primary,selective_diag_vs_muon,normalized_auc,2027,selective_diag,muon,3.764456114937774,3.775161706592481,-0.010705591654707192,True
primary,selective_diag_vs_muon,tail5_mean,2024,selective_diag,muon,3.2927287101745604,3.295685577392578,-0.002956867218017578,True
primary,selective_diag_vs_muon,tail5_mean,2025,selective_diag,muon,3.2941745281219483,3.3014525890350344,-0.007278060913086026,True
primary,selective_diag_vs_muon,tail5_mean,2026,selective_diag,muon,3.291523551940918,3.2953765392303467,-0.003852987289428622,True
primary,selective_diag_vs_muon,tail5_mean,2027,selective_diag,muon,3.2966243267059325,3.295723485946655,0.0009008407592774326,True
primary,selective_diag_vs_muon,best_val_loss,2024,selective_diag,muon,3.273820638656616,3.276400089263916,-0.0025794506072998047,True
primary,selective_diag_vs_muon,best_val_loss,2025,selective_diag,muon,3.2753446102142334,3.282120943069458,-0.006776332855224609,True
primary,selective_diag_vs_muon,best_val_loss,2026,selective_diag,muon,3.2727749347686768,3.2761731147766113,-0.0033981800079345703,True
primary,selective_diag_vs_muon,best_val_loss,2027,selective_diag,muon,3.277913808822632,3.2763938903808594,0.001519918441772461,True
primary,selective_diag_vs_muon,steps_to_target,2024,selective_diag,muon,1561.1901139031397,1575.1538312901225,-13.963717386982808,True
primary,selective_diag_vs_muon,steps_to_target,2025,selective_diag,muon,1567.718717093718,1599.600827794803,-31.88211070108514,True
primary,selective_diag_vs_muon,steps_to_target,2026,selective_diag,muon,1555.6365520815348,1573.4538998043727,-17.817347722837894,True
primary,selective_diag_vs_muon,steps_to_target,2027,selective_diag,muon,1578.49007015536,1575.8798853240025,2.610184831357401,True
primary,selective_diag_vs_muon,tokens_to_target,2024,selective_diag,muon,613884931.828537,619375688.9245768,-5490757.096039772,True
primary,selective_diag_vs_muon,tokens_to_target,2025,selective_diag,muon,616452083.0607234,628988639.1021613,-12536556.041437864,True
primary,selective_diag_vs_muon,tokens_to_target,2026,selective_diag,muon,611701182.4632928,618707248.6654762,-7006066.202183366,True
primary,selective_diag_vs_muon,tokens_to_target,2027,selective_diag,muon,620687551.42621,619661184.987563,1026366.4386470318,True
primary,selective_diag_vs_original,final_val_loss,2024,selective_diag,original_newton_muon,3.273820638656616,3.2746872901916504,-0.0008666515350341797,True
primary,selective_diag_vs_original,final_val_loss,2025,selective_diag,original_newton_muon,3.2753446102142334,3.2750561237335205,0.0002884864807128906,True
primary,selective_diag_vs_original,final_val_loss,2026,selective_diag,original_newton_muon,3.2727749347686768,3.274038791656494,-0.0012638568878173828,True
primary,selective_diag_vs_original,final_val_loss,2027,selective_diag,original_newton_muon,3.277913808822632,3.2754123210906982,0.0025014877319335938,True
primary,selective_diag_vs_original,normalized_auc,2024,selective_diag,original_newton_muon,3.7634191959656795,3.7622825301150655,0.0011366658506140048,True
primary,selective_diag_vs_original,normalized_auc,2025,selective_diag,original_newton_muon,3.766174219350899,3.764363702067935,0.0018105172829643301,True
primary,selective_diag_vs_original,normalized_auc,2026,selective_diag,original_newton_muon,3.7588159014693403,3.7575458801601487,0.0012700213091916268,True
primary,selective_diag_vs_original,normalized_auc,2027,selective_diag,original_newton_muon,3.764456114937774,3.7620618723135077,0.0023942426242662407,True
primary,selective_diag_vs_original,tail5_mean,2024,selective_diag,original_newton_muon,3.2927287101745604,3.293531370162964,-0.0008026599884036756,True
primary,selective_diag_vs_original,tail5_mean,2025,selective_diag,original_newton_muon,3.2941745281219483,3.293730068206787,0.00044445991516139927,True
primary,selective_diag_vs_original,tail5_mean,2026,selective_diag,original_newton_muon,3.291523551940918,3.2925684452056885,-0.001044893264770419,True
primary,selective_diag_vs_original,tail5_mean,2027,selective_diag,original_newton_muon,3.2966243267059325,3.2942620754241942,0.0023622512817382812,True
primary,selective_diag_vs_original,best_val_loss,2024,selective_diag,original_newton_muon,3.273820638656616,3.2746872901916504,-0.0008666515350341797,True
primary,selective_diag_vs_original,best_val_loss,2025,selective_diag,original_newton_muon,3.2753446102142334,3.2750561237335205,0.0002884864807128906,True
primary,selective_diag_vs_original,best_val_loss,2026,selective_diag,original_newton_muon,3.2727749347686768,3.274038791656494,-0.0012638568878173828,True
primary,selective_diag_vs_original,best_val_loss,2027,selective_diag,original_newton_muon,3.277913808822632,3.2754123210906982,0.0025014877319335938,True
primary,selective_diag_vs_original,steps_to_target,2024,selective_diag,original_newton_muon,1561.1901139031397,1564.4175062290117,-3.2273923258719606,True
primary,selective_diag_vs_original,steps_to_target,2025,selective_diag,original_newton_muon,1567.718717093718,1565.7688408990753,1.949876194642684,True
primary,selective_diag_vs_original,steps_to_target,2026,selective_diag,original_newton_muon,1555.6365520815348,1559.3329322906231,-3.6963802090883746,True
primary,selective_diag_vs_original,steps_to_target,2027,selective_diag,original_newton_muon,1578.49007015536,1568.0802081803117,10.409861975048216,True
primary,selective_diag_vs_original,tokens_to_target,2024,selective_diag,original_newton_muon,613884931.828537,615153994.1293471,-1269062.3008100986,True
primary,selective_diag_vs_original,tokens_to_target,2025,selective_diag,original_newton_muon,616452083.0607234,615685360.5429708,766722.5177526474,True
primary,selective_diag_vs_original,tokens_to_target,2026,selective_diag,original_newton_muon,611701182.4632928,613154658.3035897,-1453475.8402968645,True
primary,selective_diag_vs_original,tokens_to_target,2027,selective_diag,original_newton_muon,620687551.42621,616594227.1398294,4093324.2863806486,True
benchmark_anchor,original_vs_muon,final_val_loss,2024,original_newton_muon,muon,3.2746872901916504,3.276400089263916,-0.001712799072265625,True
benchmark_anchor,original_vs_muon,final_val_loss,2025,original_newton_muon,muon,3.2750561237335205,3.282120943069458,-0.0070648193359375,True
benchmark_anchor,original_vs_muon,final_val_loss,2026,original_newton_muon,muon,3.274038791656494,3.2761731147766113,-0.0021343231201171875,True
benchmark_anchor,original_vs_muon,final_val_loss,2027,original_newton_muon,muon,3.2754123210906982,3.2763938903808594,-0.0009815692901611328,True
benchmark_anchor,original_vs_muon,normalized_auc,2024,original_newton_muon,muon,3.7622825301150655,3.7755337295982336,-0.013251199483168108,True
benchmark_anchor,original_vs_muon,normalized_auc,2025,original_newton_muon,muon,3.764363702067935,3.782289221223477,-0.01792551915554208,True
benchmark_anchor,original_vs_muon,normalized_auc,2026,original_newton_muon,muon,3.7575458801601487,3.7725863731012934,-0.015040492941144734,True
benchmark_anchor,original_vs_muon,normalized_auc,2027,original_newton_muon,muon,3.7620618723135077,3.775161706592481,-0.013099834278973432,True
benchmark_anchor,original_vs_muon,tail5_mean,2024,original_newton_muon,muon,3.293531370162964,3.295685577392578,-0.0021542072296139025,True
benchmark_anchor,original_vs_muon,tail5_mean,2025,original_newton_muon,muon,3.293730068206787,3.3014525890350344,-0.007722520828247426,True
benchmark_anchor,original_vs_muon,tail5_mean,2026,original_newton_muon,muon,3.2925684452056885,3.2953765392303467,-0.002808094024658203,True
benchmark_anchor,original_vs_muon,tail5_mean,2027,original_newton_muon,muon,3.2942620754241942,3.295723485946655,-0.0014614105224608487,True
benchmark_anchor,original_vs_muon,best_val_loss,2024,original_newton_muon,muon,3.2746872901916504,3.276400089263916,-0.001712799072265625,True
benchmark_anchor,original_vs_muon,best_val_loss,2025,original_newton_muon,muon,3.2750561237335205,3.282120943069458,-0.0070648193359375,True
benchmark_anchor,original_vs_muon,best_val_loss,2026,original_newton_muon,muon,3.274038791656494,3.2761731147766113,-0.0021343231201171875,True
benchmark_anchor,original_vs_muon,best_val_loss,2027,original_newton_muon,muon,3.2754123210906982,3.2763938903808594,-0.0009815692901611328,True
benchmark_anchor,original_vs_muon,steps_to_target,2024,original_newton_muon,muon,1564.4175062290117,1575.1538312901225,-10.736325061110847,True
benchmark_anchor,original_vs_muon,steps_to_target,2025,original_newton_muon,muon,1565.7688408990753,1599.600827794803,-33.83198689572782,True
benchmark_anchor,original_vs_muon,steps_to_target,2026,original_newton_muon,muon,1559.3329322906231,1573.4538998043727,-14.12096751374952,True
benchmark_anchor,original_vs_muon,steps_to_target,2027,original_newton_muon,muon,1568.0802081803117,1575.8798853240025,-7.799677143690815,True
benchmark_anchor,original_vs_muon,tokens_to_target,2024,original_newton_muon,muon,615153994.1293471,619375688.9245768,-4221694.795229673,True
benchmark_anchor,original_vs_muon,tokens_to_target,2025,original_newton_muon,muon,615685360.5429708,628988639.1021613,-13303278.559190512,True
benchmark_anchor,original_vs_muon,tokens_to_target,2026,original_newton_muon,muon,613154658.3035897,618707248.6654762,-5552590.361886501,True
benchmark_anchor,original_vs_muon,tokens_to_target,2027,original_newton_muon,muon,616594227.1398294,619661184.987563,-3066957.847733617,True
secondary_selective,diag_vs_none,final_val_loss,2024,selective_diag,selective_none,3.273820638656616,3.27337646484375,0.00044417381286621094,True
secondary_selective,diag_vs_none,final_val_loss,2025,selective_diag,selective_none,3.2753446102142334,3.2756595611572266,-0.00031495094299316406,True
