cell,stage,method,step,remote_path,bytes,sha256,local_file_present
early_muon,early,muon,1000,PRIVATE_PATH_REDACTED,8522343395,7561ee5571db825190fa3cc34af8bd9d72f213a69c925322cea6328b688a58d1,false
early_newton_full,early,newton_full,1000,PRIVATE_PATH_REDACTED,17783856619,8d532806cc4a0613b3ad6c5e74096a70be352af941b9c72e6c37997cf1beecd7,false
late_muon,late,muon,6200,PRIVATE_PATH_REDACTED,8522343395,7d48b9846aefe8e03e04305da0bd10e8fc3b889643328e585e70a484e1ad78ec,false
late_newton_full,late,newton_full,6200,PRIVATE_PATH_REDACTED,17783856619,83c9bc4316996deb67ae92b9e2c1c60521f9ed5c56f9690d3e09de399915e7d5,false
