comparator,n,mean_delta_global_minus_comparator,sample_sd,ci95_low,ci95_high,global_diag_better_seed_count,global_diag_worse_seed_count
diag,3,0.008533333333333134,0.0007023769168570037,0.006788532346240108,0.01027813432042616,0,3
block4,3,0.007433333333333181,0.0006806859285554927,0.0057424157482871,0.009124250918379262,0,3
none,3,0.002966666666666562,0.0002081665999468037,0.0024495521653924153,0.0034837811679407087,0,3
muon,3,-0.007500000000000136,0.00029999999999996696,-0.00824524131355318,-0.006754758686447092,3,0
