method,n,mean_final_val_loss,sample_sd_final_val_loss,mean_tail5_val_loss,mean_k_state_mib
global_diag,3,3.269633333333333,0.0004618802153516498,3.2779533333333335,0.4921875
diag,3,3.2611,0.001113552872566081,3.2693,162.28125
block4,3,3.2622,0.0011357816691601056,3.27048,378.0
none,3,3.2666666666666666,0.0006658328118480661,3.2749933333333336,162.0
muon,3,3.2771333333333335,0.0002516611478424483,3.2857399999999997,0.0
