seed,mode,method_label,core_cproj_structure_comparison,last_val_step,val_points,final_val_loss,best_val_loss,best_val_step,val_loss_at_10000,val_loss_late_mean_9000_11500,final_minus_best_val,final_train_eval_loss,best_train_eval_loss,best_train_eval_step,last_train_loss_step,last_train_loss,time_elapsed_sec_at_last_train_log,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction,cproj_k_state_mib,cproj_full_k_state_mib,cproj_k_state_released_mib,cproj_k_state_released_fraction,non_cproj_k_state_mib,k_state_factors,cproj_mode_id,source
2024,full,Full dense c_proj K,True,11500,,5.576028823852539,5.436427116394043,10000,5.436427116394043,5.544276555379232,0.1396017074584961,5.504014492034912,5.4192728996276855,10000.0,11980.0,5.621482849121094,2637.9366812706,8965.69775390625,10811.890625,5472.0,5472.0,0.0,0.0,4608.0,4608.0,0.0,0.0,864.0,,1.0,historical_matched_24L_multiseed
2024,block4,Block4 c_proj K,True,11500,24.0,5.561184406280518,5.4326910972595215,10000,5.4326910972595215,5.533571004867554,0.1284933090209961,5.491602897644043,5.416291236877441,10000.0,11980.0,5.5818376541137695,1209.03169631958,5509.69775390625,7355.732421875,2016.0,5472.0,3456.0,0.631578947368421,1152.0,4608.0,3456.0,0.75,864.0,168.0,2.0,new_wandb_exports_20260715
2024,diag,Diagonal c_proj K,True,11500,24.0,5.503872871398926,5.37155818939209,10000,5.37155818939209,5.479547182718913,0.13231468200683594,5.420747756958008,5.3601508140563965,10000.0,11980.0,5.515969276428223,1144.575014591217,4358.44775390625,6204.482421875,864.75,5472.0,4607.25,0.8419682017543859,0.75,4608.0,4607.25,0.9998372395833334,864.0,96.0,3.0,new_wandb_exports_20260715
2024,none,No c_proj K (release84),True,11500,,5.517842769622803,5.381771087646484,10000,5.381771087646484,5.491862614949544,0.1360716819763183,5.440147399902344,5.374436378479004,10000.0,11980.0,5.532821178436279,2287.3361394405365,4165.69775390625,6203.732421875,864.0,5472.0,4608.0,0.8421052631578947,0.0,4608.0,4608.0,1.0,864.0,,0.0,historical_matched_24L_multiseed
2024,cproj_only,c_proj-only Newton (release16),False,11500,,5.91539812088013,5.70015716552734,10000,5.70015716552734,5.82519443829854,0.215240955352783,5.86471462249756,,,,6.04912042617798,,7861.69775390625,9755.732421875,4608.0,5472.0,864.0,0.157894736842105,4608.0,4608.0,0.0,0.0,0.0,,,historical_bridge_multiseed
2024,muon,Muon,False,11500,,5.758753776550293,5.593830585479736,10000,5.593830585479736,5.710182269414266,0.1649231910705566,5.718124866485596,5.584287643432617,10000.0,11980.0,5.802555561065674,2146.401732444763,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,historical_matched_24L_multiseed
2025,full,Full dense c_proj K,True,11500,,5.49876880645752,5.430534362792969,11000,5.469789981842041,5.513372818628947,0.0682344436645507,5.643599510192871,5.381195068359375,8000.0,11980.0,5.10093879699707,1386.3218307495115,8965.69775390625,10811.732421875,5472.0,5472.0,0.0,0.0,4608.0,4608.0,0.0,0.0,864.0,,1.0,historical_matched_24L_multiseed
2025,block4,Block4 c_proj K,True,11500,24.0,5.48660135269165,5.429205894470215,9000,5.465993881225586,5.506956974665324,0.05739545822143555,5.631730556488037,5.376152038574219,8000.0,11980.0,5.027899742126465,1232.1460959911346,5509.69775390625,7355.890625,2016.0,5472.0,3456.0,0.631578947368421,1152.0,4608.0,3456.0,0.75,864.0,168.0,2.0,new_wandb_exports_20260715
2025,diag,Diagonal c_proj K,True,11500,24.0,5.422451972961426,5.38535213470459,9000,5.4113593101501465,5.455205361048381,0.03709983825683594,5.574538707733154,5.322588920593262,10500.0,11980.0,4.997597694396973,1149.6771531105042,4358.44775390625,6204.482421875,864.75,5472.0,4607.25,0.8419682017543859,0.75,4608.0,4607.25,0.9998372395833334,864.0,96.0,3.0,new_wandb_exports_20260715
2025,none,No c_proj K (release84),True,11500,,5.432806968688965,5.382360935211182,11000,5.413901329040527,5.460697730382283,0.0504460334777832,5.586459159851074,5.33786678314209,10500.0,11980.0,4.987332344055176,1163.239738702774,4165.69775390625,6203.732421875,864.0,5472.0,4608.0,0.8421052631578947,0.0,4608.0,4608.0,1.0,864.0,,0.0,historical_matched_24L_multiseed
