seed,mode,run_name,initial_val_loss,final_val_step,final_val_loss,best_val_loss,best_val_step,tail5_val_loss_mean,late6_val_loss_mean,normalized_val_auc,final_train_step,final_train_loss_step,time_elapsed_s_descriptive_only,peak_memory_mib,final_allocated_mib,k_state_mib,cproj_k_state_mib,non_cproj_k_state_mib,k_state_released_fraction,max_matrix_lr,max_adamw_lr,quality_eligible,memory_eligible,timing_eligible,source
2024,block4,mainconf_wikitext103_24L_dual_alpha_seed2026_block4_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.885009288787842,4.885009288787842,11500,4.935614204406738,4.927871386210124,5.382898423982703,11980,5.076766014099121,1130.617243528366,7355.732421875,5509.69775390625,2016.0,1152.0,864.0,0.631578947368421,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,block_alpha0,mainconf_wikitext103_24L_dual_alpha_seed2026_block_alpha0_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.831345558166504,4.831345558166504,11500,4.887851333618164,4.8821736971537275,5.3675744429878565,11980,4.998200416564941,1137.5033469200134,7355.732421875,5509.69775390625,2016.0,1152.0,864.0,0.631578947368421,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,block_alpha0p25,mainconf_wikitext103_24L_dual_alpha_seed2026_block_alpha0p25_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.8508734703063965,4.8508734703063965,11500,4.906017875671386,4.900160153706868,5.372871201971303,11980,5.0004987716674805,1142.511236190796,7355.890625,5509.69775390625,2016.0,1152.0,864.0,0.631578947368421,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,block_alpha0p5,mainconf_wikitext103_24L_dual_alpha_seed2026_block_alpha0p5_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.858006477355957,4.858006477355957,11500,4.91165714263916,4.906092246373494,5.378272429756496,11980,5.067775249481201,1144.6975347995758,7355.890625,5509.69775390625,2016.0,1152.0,864.0,0.631578947368421,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,block_alpha0p75,mainconf_wikitext103_24L_dual_alpha_seed2026_block_alpha0p75_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.8694586753845215,4.8694586753845215,11500,4.924907398223877,4.918417135874431,5.3849386857903525,11980,5.104144096374512,1130.655505180359,7355.732421875,5509.69775390625,2016.0,1152.0,864.0,0.631578947368421,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,dense_alpha0,mainconf_wikitext103_24L_dual_alpha_seed2026_dense_alpha0_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.837240219116211,4.837240219116211,11500,4.889612007141113,4.883906920750936,5.368318308954653,11980,4.96945333480835,1186.3204555511475,10811.890625,8965.69775390625,5472.0,4608.0,864.0,0.0,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,dense_alpha0p25,mainconf_wikitext103_24L_dual_alpha_seed2026_dense_alpha0p25_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.866365909576416,4.866365909576416,11500,4.915383434295654,4.909744501113892,5.374351698419322,11980,5.048129081726074,1170.865378856659,10811.732421875,8965.69775390625,5472.0,4608.0,864.0,0.0,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,dense_alpha0p5,mainconf_wikitext103_24L_dual_alpha_seed2026_dense_alpha0p5_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.865215301513672,4.865215301513672,11500,4.914947891235352,4.908387263615926,5.375190237294072,11980,5.005457878112793,1179.932490825653,10811.890625,8965.69775390625,5472.0,4608.0,864.0,0.0,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,dense_alpha0p75,mainconf_wikitext103_24L_dual_alpha_seed2026_dense_alpha0p75_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.85837459564209,4.85837459564209,11500,4.914423847198487,4.908427079518636,5.377058816992718,11980,5.048147678375244,1167.4598336219788,10811.890625,8965.69775390625,5472.0,4608.0,864.0,0.0,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
2024,diag,mainconf_wikitext103_24L_dual_alpha_seed2026_diag_L24_D1024_lr0.01_seed2024,11.014638900756836,11500,4.830033302307129,4.830033302307129,11500,4.892829418182373,4.885550022125244,5.368473115174667,11980,4.987354278564453,1073.1946923732758,6204.482421875,4358.44775390625,864.75,0.75,864.0,0.8419682017543859,0.01,0.0009584089388519308,True,True,False,W&B export bundle 2026-07-24
