seed,rule,selected_layer_count,diag_val_step4500,none_val_step4500,diag_minus_none_step4500,diag_minus_none_late3,diag_minus_none_auc,diag_minus_none_best,diag_minus_full_step4500,none_minus_full_step4500,diag_minus_none_peak_memory_mib,diag_k_state_bytes,none_k_state_bytes,diag_release_fraction,none_release_fraction,interaction_vs_all
2024,all,12,3.892592906951904,3.9055233001708975,-0.012930393218993697,-0.018077373504638672,-0.01167607307434082,-0.012930393218993697,4.768371581986841e-05,0.012978076934813565,-2.3564453125,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2025,all,12,3.889567852020264,3.9003360271453857,-0.010768175125121626,-0.01106150945027684,-0.005179233021206819,-0.010768175125121626,-0.0013604164123530715,0.009407758712768555,-3.6220703125,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2026,all,12,3.8527798652648926,3.875126600265503,-0.02234673500061035,-0.023791392644246567,-0.01340766747792621,-0.02234673500061035,-0.010732889175415483,0.011613845825194868,-2.619140625,255098880.0,254803968.0,0.841922514619883,0.8421052631578947,0.0
2024,center,8,3.885045289993286,3.9069652557373047,-0.021919965744018555,-0.024463653564453125,-0.012965374522738493,-0.021919965744018555,-0.0074999332427978516,0.014420032501220703,4.8251953125,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.008989572525024858
2025,center,8,3.883946180343628,3.892046689987183,-0.008100509643555132,-0.009236176808675278,-0.0053782992892790205,-0.008100509643555132,-0.006982088088989258,0.0011184215545658738,0.8251953125,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.0026676654815664946
2026,center,8,3.851551771163941,3.855947494506836,-0.004395723342895064,-0.004159768422444365,-0.0031906101438732293,-0.004395723342895064,-0.011960983276367188,-0.007565259933472124,6.8251953125,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.017951011657715288
2024,early,8,3.881341218948364,3.905724287033081,-0.02438306808471724,-0.023246129353841294,-0.01236579153272821,-0.02438306808471724,-0.01120400428772017,0.01317906379699707,-9.228515625,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.011452674865723544
2025,early,8,3.878795623779297,3.897690296173096,-0.018894672393799272,-0.017886241277059067,-0.011822753482395143,-0.018894672393799272,-0.012132644653320312,0.00676202774047896,0.7099609375,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.008126497268677646
2026,early,8,3.847533702850342,3.858741283416748,-0.01120758056640625,-0.008698066075643052,-0.0040418571896028155,-0.01120758056640625,-0.015979051589966264,-0.004771471023560014,-2.59716796875,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.011139154434204102
2024,edge,8,3.893153667449951,3.916514873504639,-0.023361206054687944,-0.02200396855672171,-0.00935692257351306,-0.023361206054687944,0.0006084442138671875,0.02396965026855513,-5.15966796875,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.010430812835694248
2025,edge,8,3.886916399002075,3.9110703468322754,-0.024153947830200195,-0.019575198491414536,-0.011063483026292786,-0.024153947830200195,-0.004011869430541992,0.020142078399658203,3.802734375,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.013385772705078569
2026,edge,8,3.859042406082153,3.872607469558716,-0.013565063476562944,-0.012597401936848662,-0.007157908545599945,-0.013565063476562944,-0.004470348358155185,0.009094715118407759,-4.697265625,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.008781671524047407
2024,late,8,3.894144773483277,3.912610292434693,-0.018465518951416016,-0.01760236422220851,-0.009482595655653014,-0.018465518951416016,0.001599550247192827,0.020065069198608843,2.68115234375,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,-0.005535125732422319
2025,late,8,3.894755601882935,3.902709484100342,-0.007953882217406782,-0.00823354721069336,-0.004218088255988128,-0.007953882217406782,0.003827333450317827,0.01178121566772461,2.328125,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.0028142929077148438
2026,late,8,3.862793684005737,3.862293958663941,0.0004997253417959868,0.0003791650136313329,0.0017415947384309405,0.0004997253417959868,-0.0007190704345712007,-0.0012187957763671875,-4.537109375,707985408.0,707788800.0,0.5612816764132553,0.5614035087719298,0.02284646034240634
