seed,diag_low_minus_muon_high_final_val_loss,diag_low_minus_muon_high_tail3_val_loss_mean,diag_low_minus_muon_high_tail5_val_loss_mean,diag_low_minus_muon_high_normalized_val_auc,winner_final_loss
2024,-0.01639999999999997,-0.016600000000000392,-0.016999999999999904,-0.014240322580644005,diag_low
2025,-0.014899999999999913,-0.01523333333333321,-0.01564000000000032,-0.013454032258065407,diag_low
2026,-0.014100000000000001,-0.014433333333332854,-0.01480000000000059,-0.012674999999999326,diag_low
