metric,contrast,n_paired_seeds,mean_delta,sample_std,min_delta,max_delta,wins_diag,wins_muon,two_sided_exact_sign_p,t95_low,t95_high
final_val_loss,diag_low_minus_muon_high,3,-0.015133333333333296,0.0011676186592091248,-0.01639999999999997,-0.014100000000000001,3,0,0.25,-0.01803385887772712,-0.01223280778893947
tail3_val_loss_mean,diag_low_minus_muon_high,3,-0.015422222222222151,0.0010956141521408574,-0.016600000000000392,-0.014433333333332854,3,0,0.25,-0.018143878655184974,-0.012700565789259328
tail5_val_loss_mean,diag_low_minus_muon_high,3,-0.015813333333333606,0.0011101951780351804,-0.016999999999999904,-0.01480000000000059,3,0,0.25,-0.018571211042597888,-0.013055455624069325
normalized_val_auc,diag_low_minus_muon_high,3,-0.013456451612902912,0.0007826640948244667,-0.014240322580644005,-0.012674999999999326,3,0,0.25,-0.015400697006562424,-0.0115122062192434
