checkpoint_label,off_block_energy_fraction_maximum,off_block_energy_fraction_mean,off_block_energy_fraction_median,off_block_energy_fraction_minimum,off_block_energy_fraction_n,off_block_energy_fraction_p95,partition_kind
early,0.7257654535243062,0.6836903213588216,0.7000565472782851,0.627410717599135,6,0.7235288134197263,identity
early,0.7257654535243062,0.6836903213588216,0.7000565472782851,0.627410717599135,6,0.7235288134197263,within_block_control
early,0.7251484121806365,0.6811175967658641,0.7048645842030778,0.585460598474867,24,0.7238282755762186,global_balanced_partition
late,0.7067346654598156,0.6638400937220194,0.6775371288862931,0.566870649273219,6,0.7056044757939255,identity
late,0.7067346654598157,0.6638400937220194,0.677537128886293,0.5668706492732188,6,0.7056044757939256,within_block_control
late,0.7170700455347813,0.6721143510289612,0.6785261802348679,0.5836229508451133,24,0.7123228123003863,global_balanced_partition
