best_relative_loss_delta_maximum,best_relative_loss_delta_minimum,best_relative_loss_delta_range,build_split,checkpoint_label,direction,eval_split,partition_candidates,repeat
-6.431862913948488e-06,-0.0006236359754088866,0.0006172041124949381,A,early,A_to_B,B,6,0
0.0,-0.0002322475009174293,0.0002322475009174293,B,early,B_to_A,A,6,0
0.0,-0.000541042673641799,0.000541042673641799,A,late,A_to_B,B,6,0
-0.0004045866765158086,-0.0008390748121749811,0.0004344881356591725,B,late,B_to_A,A,6,0
