method,display_name,adaptation_label,family,run_name,seed,seed_role,init_sha256,checkpoint_bytes,checkpoint_sha256,initial_val_loss,final_val_loss,best_val_loss,tail5_val_loss_mean,normalized_val_auc,peak_memory_mib,optimizer_state_mib,timing_eligible
moonlight,Moonlight Muon,,extended_frozen,mainconf_r1_extended_formal_moonlight_r1scale_seed2025_20260722T064752+0000,2025,confirmatory_seed,,0,,10.9869,3.275,3.275,3.2866799999999996,3.6514475806451623,37703.0,618.4746131896973,False
normuon,NorMuon,,extended_frozen,mainconf_r1_extended_formal_normuon_r1scale_seed2025_20260722T064752+0000,2025,confirmatory_seed,,0,,10.9869,3.335,3.335,3.3433,3.728457258064517,37703.0,618.7910194396973,False
adamw,AdamW,,extended_frozen,mainconf_r1_extended_formal_adamw_low_seed2025_20260722T064752+0000,2025,confirmatory_seed,,0,,10.9869,3.4015,3.4015,3.4112400000000003,3.868917741935484,38026.0,942.474796295166,False
malt,MALT-R1 adaptation,MALT-R1 adaptation,experiment49,mainconf_r1_malt_formal_malt_lr0125_seed2025_20260809T092740+0000,2025,confirmatory_seed,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,1143429749,7719728d77cfa74ede52b0f077cea4681d801659a07bc19d6da9a710013336f4,10.9869,3.2736,3.2736,3.2988200000000005,3.695945967741935,37708.0,619.1074256896973,False
malter_eq17,MALTER-Eq17-R1 adaptation,MALTER-Eq17-R1 adaptation,experiment49,mainconf_r1_malter_eq17_formal_malter_eq17_lr015_seed2025_20260809T155935+0000,2025,confirmatory_seed,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,1143450605,01311ee7c186d15eb7cfb5d91566fda525f93c323d2142e07e4e01b3e1f65d79,10.9869,3.6475,3.6475,3.6846400000000004,4.0775999999999994,37708.0,619.1077003479004,False
diag,Newton-Muon diag,,core_frozen,mainconf_official_r1_diag_seed2026_20260718T081938+0000,2026,tuning_seed,,0,,10.979,3.2621,3.2621,3.27028,3.616925,38304.0,780.7558631896973,False
none,Newton-Muon none,,core_frozen,mainconf_official_r1_none_seed2026_20260718T081938+0000,2026,tuning_seed,,0,,10.979,3.2671,3.2671,3.2754800000000004,3.625599193548388,38304.0,780.4746131896973,False
mousse,Mousse-R1,,experiment45,mainconf_r1_mousse_formal_mousse_lr100_seed2026_20260731T073826+0000,2026,tuning_seed,,0,,10.979,3.268,3.268,3.2786999999999997,3.633066129032259,39985.0,2887.1074256896973,False
muon,Muon,,core_frozen,mainconf_official_r1_muon_seed2026_20260718T081938+0000,2026,tuning_seed,,0,,10.979,3.2771,3.2771,3.28572,3.633407258064516,37703.0,618.4746131896973,False
block4,Newton-Muon block4,,core_frozen,mainconf_official_r1_block4_seed2026_20260718T081938+0000,2026,tuning_seed,,0,,10.979,3.2627,3.2627,3.27102,3.617042741935485,39168.0,996.4746131896972,False
moonlight,Moonlight Muon,,extended_frozen,mainconf_r1_extended_formal_moonlight_r1scale_seed2026_20260721T092332+0000,2026,tuning_seed,,0,,10.979,3.2745,3.2745,3.28628,3.6523830645161293,37703.0,618.4746131896973,False
normuon,NorMuon,,extended_frozen,mainconf_r1_extended_formal_normuon_r1scale_seed2026_20260721T092332+0000,2026,tuning_seed,,0,,10.979,3.335,3.335,3.3432000000000004,3.726946774193549,37703.0,618.7910194396973,False
adamw,AdamW,,extended_frozen,mainconf_r1_extended_formal_adamw_low_seed2026_20260721T092332+0000,2026,tuning_seed,,0,,10.979,3.3953,3.3953,3.4048799999999995,3.8367330645161295,38026.0,942.474796295166,False
malt,MALT-R1 adaptation,MALT-R1 adaptation,experiment49,mainconf_r1_malt_formal_malt_lr0125_seed2026_20260809T124346+0000,2026,tuning_seed,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,1143429749,dfcddba83cc84b51924860e3f39072b11b1c0a9eeb13ecfe0930d6e33e313eb1,10.979,3.2718,3.2718,3.2972799999999998,3.6956854838709665,37709.0,619.1074256896973,False
malter_eq17,MALTER-Eq17-R1 adaptation,MALTER-Eq17-R1 adaptation,experiment49,mainconf_r1_malter_eq17_formal_malter_eq17_lr015_seed2026_20260809T160012+0000,2026,tuning_seed,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,1143450605,2c0d3619e42d9456af04c5e0a11f655148b89a6cf3a75f601c23627796b5a12c,10.979,3.6477,3.6477,3.68468,4.079737903225807,37708.0,619.1077003479004,False
