budget_id,comparator,n,mean_delta_moonlight_minus_comparator,sample_sd,ci95_low,ci95_high,moonlight_better_seed_count,moonlight_worse_seed_count
tokens_3p2506b,down_diag,3,-0.0035392440000000156,0.001425425451473665,-0.007080197119427653,1.709119427622651e-06,3,0
tokens_3p2506b,down_none,3,-0.0017510253333334151,0.0006298205955476604,-0.0033155864264292497,-0.0001864642402375806,3,0
tokens_3p2506b,muon,3,0.0025952660000000036,0.001066466249072477,-5.398302772948891e-05,0.005244515027729496,0,3
tokens_3p2506b,newton_full,3,-0.0036702950000000456,0.0006726110072032862,-0.005341153368394939,-0.001999436631605152,3,0
tokens_6p9694b,down_diag,3,0.001860936666666646,0.0007479380023908554,2.9556688064392815e-06,0.003718917664526853,0,3
tokens_6p9694b,down_none,3,0.0027589800000000033,0.0005698994858751424,0.0013432711951771959,0.004174688804822811,0,3
tokens_6p9694b,muon,3,0.006763537333333236,0.0006783596062019166,0.005078398653375578,0.008448676013290895,0,3
tokens_6p9694b,newton_full,3,0.0015485286666665488,0.0002465970122636265,0.0009359477288744778,0.00216110960445862,0,3
tokens_approximately_10b,down_diag,3,0.006502310666666844,0.001118936162381358,0.0037227191485495873,0.009281902184784101,0,3
tokens_approximately_10b,down_none,3,0.0068288643333334065,0.0006005766085440611,0.005336949331197881,0.00832077933546893,0,3
tokens_approximately_10b,muon,3,0.010550022000000178,0.00014103891407669076,0.01019966191470478,0.010900382085295576,0,3
tokens_approximately_10b,newton_full,3,0.005910317000000109,0.00026364061224507266,0.005255397412748548,0.00656523658725167,0,3
