scale,budget_id,target_step,seed,method,final_val_loss,tail5_val_loss,normalized_val_auc,optimizer_state_bytes,peak_allocated_bytes,moonlight_momentum_state_bytes,moonlight_matrix_optimizer_state_bytes,checkpoint_path,checkpoint_sha256,checkpoint_bytes
1b,tokens_3p2506b,6200,2024,moonlight,2.971940994,2.982125473,3.3744023076532264,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,8aa66ea502a3c33b332eb05a0552ac64bd0d11c01a83c195a329873b46388918,8522344035
1b,tokens_6p9694b,13293,2024,moonlight,2.865428686,2.873185587,3.182554249363952,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,b533fd5d61dca0d211149e7b1eba8c439f41b4d087350be181cedd3bcb94ea17,8522344035
1b,tokens_approximately_10b,19073,2024,moonlight,2.824791431,2.8312486648,3.1116869481142992,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,7f2e37e11abec48b845cf53b34dcf84a747e29ab5d3e4664b77849b54e777a95,8522344035
1b,tokens_3p2506b,6200,2025,moonlight,2.972780228,2.9829622270000002,3.3764090653629024,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,a2fccdd9c1b96452aaac246010278fbb8925227fc542ac3ae32f573101b98a65,8522344035
1b,tokens_6p9694b,13293,2025,moonlight,2.865774155,2.8735422612,3.1841422793990444,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,8c69d589bbd51b367d224bfbd82d0a831198a3a2c144214bf423cfa9fc376c5f,8522344035
1b,tokens_approximately_10b,19073,2025,moonlight,2.824293137,2.8307028772,3.1127145421489026,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,40f41405d29d5bf3694e271f0d21474d650cbdcdd30a334ef271463d906c5cbd,8522344035
1b,tokens_3p2506b,6200,2026,moonlight,2.972733021,2.9828858852,3.3757658505241923,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,eb4be46b089fe3222db26ada63d2ce58db5d857956f84718efa89aebe5b1275e,8522344035
1b,tokens_6p9694b,13293,2026,moonlight,2.865483522,2.873167467,3.183310747865078,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,e8a2c7f0a06b7947670766a2485e94e2afd20bbad5a3f6a42ca349494fea4d73,8522344035
1b,tokens_approximately_10b,19073,2026,moonlight,2.82476902,2.8311645505999996,3.1120990168740086,4466770072,28282974208,3642753024,3642753024,PRIVATE_PATH_REDACTED,445bbbc0773062b89c7976fd45ed3ad464af03ea9e483d5695ead082861d3b78,8522344035
