schema_version,origin,data_replica,event_id,completed_step,layer_count,statistical_unit,relative_k_fro_change_layer_median,relative_k_fro_change_layer_mean,relative_k_fro_change_layer_p90,relative_k_fro_change_layer_max,relative_a_fro_change_layer_median,relative_a_fro_change_layer_mean,relative_a_fro_change_layer_p90,relative_a_fro_change_layer_max,relative_runtime_inverse_fro_change_layer_median,relative_runtime_inverse_fro_change_layer_mean,relative_runtime_inverse_fro_change_layer_p90,relative_runtime_inverse_fro_change_layer_max,matched_g_preconditioned_relative_change_layer_median,matched_g_preconditioned_relative_change_layer_mean,matched_g_preconditioned_relative_change_layer_p90,matched_g_preconditioned_relative_change_layer_max,runtime_ns5_update_relative_change_layer_median,runtime_ns5_update_relative_change_layer_mean,runtime_ns5_update_relative_change_layer_p90,runtime_ns5_update_relative_change_layer_max,condition_proxy_before_layer_median,condition_proxy_before_layer_mean,condition_proxy_before_layer_p90,condition_proxy_before_layer_max,condition_proxy_after_layer_median,condition_proxy_after_layer_mean,condition_proxy_after_layer_p90,condition_proxy_after_layer_max,runtime_resolvent_relative_residual_layer_median,runtime_resolvent_relative_residual_layer_mean,runtime_resolvent_relative_residual_layer_p90,runtime_resolvent_relative_residual_layer_max,matched_g_preconditioned_pooled_fro_ratio,matched_g_preconditioned_pooled_cosine,runtime_ns5_update_pooled_fro_ratio,runtime_ns5_update_pooled_cosine
mdp04_refresh_unit_event_summary_v1,early_muon,0,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.41341217534540686,0.44089186141017256,0.6500246299471258,1.1417973648532405,0.42222895915520375,0.44646257293659286,0.6500512950196604,1.1412009481705683,0.7473349355761927,0.7099761573168599,0.8024701724013895,0.8075800406944555,0.8422288395563426,0.8225627199778263,0.880832332367909,0.8818023244131831,0.5523494319775651,0.5417357916466705,0.5970136214872557,0.6086595594661925,1784.8370469227523,5927.544166930184,17578.26640809692,25147.708287645226,1248.676685793156,5032.43149934753,15987.142592354317,24183.098075771264,0.00042222660458506077,0.0007496397609777152,0.0015239498039820848,0.002562207051759549,0.8344666033018071,0.8030491181897458,0.5440568453408313,0.8517447764381977
mdp04_refresh_unit_event_summary_v1,early_muon,0,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.4098467275664579,0.4583730956092208,0.6687308666135854,1.1364655062828999,0.42344129138414355,0.4635734491482723,0.66966275425875,1.1358643610372328,0.7484455269879626,0.7090468736326896,0.8046496700414888,0.810011394430491,0.8454379604580291,0.8291710743370211,0.8832160003513225,0.8885492431554989,0.5325293008878057,0.5231312255224413,0.579150295928227,0.5937845380206902,1784.8228138946183,5927.531746718151,17578.275833049254,25147.58716075589,1329.8181264454615,5006.949615852409,15480.95050857017,23706.28381281374,0.00043412548819063066,0.0007659387206577916,0.0017571960774265785,0.0021305263092361577,0.8396703063264437,0.793795220247841,0.525665864757524,0.8616135923604404
mdp04_refresh_unit_event_summary_v1,early_muon,1,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.28133487674848456,0.3786924513517622,0.7212881682032473,0.9107253595314736,0.2887660952192598,0.3832029001734889,0.7212973877277287,0.9107445422945604,0.7610186476508337,0.721118964960048,0.8075316215864417,0.8125522341815242,0.8548056369626675,0.8398676995501397,0.8850635669336553,0.8883430336816227,0.5627486090036948,0.5542584222553875,0.6029603646581311,0.6136685804120761,3021.745280592929,6450.678752580155,16239.880440072968,24768.372237444513,1478.175620905436,5115.282705877635,14799.435863388848,23879.197292951852,0.0004409649779788163,0.0008108783193567086,0.0016578734436634977,0.002648252524716439,0.8385455772093945,0.7948684971457541,0.555813774070088,0.8452174754383456
mdp04_refresh_unit_event_summary_v1,early_muon,1,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.3135670394479505,0.3838596840571144,0.568326833689545,0.856008488960219,0.3165970664262194,0.38817439408447263,0.5709179817501377,0.8560349750203222,0.764746605091045,0.720100592007877,0.8080655935301142,0.8122980097948268,0.8609281564566653,0.8447566575179044,0.8870805254506802,0.8916742795377763,0.5459516240449789,0.5365412011845012,0.5862248992867244,0.5985520119824301,3021.7498643313256,6450.681151074426,16239.906016295085,24768.328015739335,1495.2555967436676,5086.410072825851,14298.61265599231,23352.360369333328,0.0004859191237572455,0.0008114011882891663,0.0018161708637409045,0.0024601390459052692,0.8447514310858943,0.7879362807107374,0.5383267702999911,0.8548536175289911
mdp04_refresh_unit_event_summary_v1,early_muon,2,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.2982031432841037,0.3578615140853122,0.642171487367236,0.7817923143123454,0.30826058162348,0.3624582160019072,0.6421777847791871,0.7817998436971738,0.7465713043336032,0.6944621325840359,0.7760260102198971,0.7795526413076048,0.843062409213869,0.8214743310101325,0.8662568891054118,0.8705156393081817,0.5396585262281077,0.5308980293477433,0.5787440463859143,0.5919341561390322,2101.178004690192,6265.081193598956,16677.92846399281,24631.34579498667,1334.5604793584425,5226.648220545295,15046.553638974769,23889.25318736734,0.00042709253215388466,0.0007505156590152177,0.0014463878476708154,0.002866432758373826,0.8266722998635143,0.8108192950947216,0.532578131338149,0.8578759493688394
mdp04_refresh_unit_event_summary_v1,early_muon,2,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.31881735515514736,0.3559207339750497,0.5167121212200408,0.6472628068579801,0.32637095554296636,0.3604384957975921,0.5176826692084003,0.6472881656740989,0.7530010708443355,0.6960454294347539,0.7791333579852695,0.7845253901336525,0.859382854628679,0.8347556541527292,0.8764737889205334,0.8785663620401666,0.540295442632726,0.5277306021781438,0.5736466147396635,0.5855595041916561,2101.1706871804454,6265.074040275966,16677.919082929115,24631.29454930793,1349.891543900708,5145.882773902329,14568.608046759473,23209.555802569586,0.00043885650535709694,0.0007356828349933303,0.001575817168580366,0.0022520268009687695,0.8437950746953781,0.7929538578385474,0.5295131378479947,0.8593575945199817
mdp04_refresh_unit_event_summary_v1,early_newton_full,0,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.44491090141943795,0.4933700705713366,0.715318285428862,1.1478704302382272,0.4503750698809737,0.49590762502285834,0.7153107967513811,1.1477792315978028,0.7207616093984365,0.7033153718662329,0.7624942314992517,0.7661821736512687,0.854247004804999,0.8495554363089893,0.8721466197298587,0.880532343038052,0.5637570494479807,0.5628588626900369,0.6026281229102641,0.6051477582146976,3177.3099178938933,4329.968985832091,8784.119477643213,15551.266893843407,2194.8985669181184,3415.6685962379925,8521.58903565782,13645.356083632778,0.0005605842442508981,0.0007748563096058515,0.0013207029745224788,0.0026956489799173913,0.8283768293440869,0.7884951090919201,0.5640986050286092,0.8405311768047269
mdp04_refresh_unit_event_summary_v1,early_newton_full,0,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.4606418503553438,0.5092188663221451,0.7132377155218612,1.1333783745490964,0.46638826232240527,0.5118688966588143,0.7134626778746745,1.1332871672340121,0.7298541499561905,0.7106732106876232,0.7688546409755157,0.773173028537683,0.8566243613801903,0.8528709657552609,0.8756027846036812,0.8838914649178135,0.5470971060961063,0.5451345524751763,0.5855021793009592,0.5878292175511438,3177.3136989676605,4329.971471315944,8784.176252686815,15551.176796066737,2213.5695642152077,3424.27205199856,8463.031855076475,13711.321569041473,0.0005598164933601573,0.0007472917518600509,0.0010927619528967143,0.0026055242083582782,0.8299825880729199,0.7900793061347137,0.5463392233110465,0.8504597702492207
mdp04_refresh_unit_event_summary_v1,early_newton_full,1,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.3427589772479428,0.3947076122283473,0.6167622033394045,0.6689046911070169,0.34788380935042096,0.3971495316481899,0.6169592592662405,0.6689449619677638,0.7468930396066578,0.7177254971573137,0.786026927675232,0.7882879065701917,0.8806759235298416,0.87659227686061,0.8972430363519256,0.9044529432383446,0.5848289520404554,0.5812331627186196,0.620318457738983,0.6264681424050623,3575.4866342499026,5465.973353899607,11052.2748007964,17582.565222875848,2153.69106602371,3709.3701675601205,8852.112329746416,14509.711023950164,0.0005908423544732638,0.0008103066610326624,0.0012122126045608266,0.002810654242611576,0.8598081527581755,0.7298894667369024,0.5821681066962688,0.8300318151246782
mdp04_refresh_unit_event_summary_v1,early_newton_full,1,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.3774618318578585,0.4223298650572745,0.6390655004111099,0.6896958278469032,0.38231554639963694,0.42477402138575443,0.6392598050384062,0.689758422760464,0.753493730097617,0.7256922402220826,0.7928164614146961,0.7942173046705727,0.8762477471870216,0.8711242478016833,0.8947382580612813,0.9023524375893276,0.5624133514267418,0.5586007405177867,0.5963270929905359,0.6034557838324379,3575.482008432411,5465.955349227195,11051.996998103816,17582.556423599646,2154.241514522969,3735.003185216323,8858.455409189166,14581.60021199954,0.0006136124383449685,0.0008035940797235355,0.0011717913753992435,0.0026829872105882456,0.8486899428776878,0.7624841525571081,0.5595194644852448,0.8431433956397487
