origin,data_replica,production_refresh_32_accepted_loss_contrast,production_refresh_32_accepted_loss_step,production_refresh_32_accepted_normalized_loss_delta,production_refresh_32_oriented_loss_harm,production_refresh_32_accepted_auc_delta,production_refresh_32_oriented_auc_harm,delayed_refresh_64_accepted_loss_contrast,delayed_refresh_64_accepted_loss_step,delayed_refresh_64_accepted_normalized_loss_delta,delayed_refresh_64_oriented_loss_harm,delayed_refresh_64_accepted_auc_delta,delayed_refresh_64_oriented_auc_harm
early_muon,0,frozen_down_refresh_vs_production,48,-0.005093099107005727,0.005093099107005727,-0.0028501803969790407,0.0028501803969790407,delayed_down_refresh_vs_frozen_down_refresh,80,0.0024152149114788912,0.0024152149114788912,0.0010535206295058108,0.0010535206295058108
early_muon,1,frozen_down_refresh_vs_production,48,-0.00575793573879968,0.00575793573879968,-0.003348747457787793,0.003348747457787793,delayed_down_refresh_vs_frozen_down_refresh,80,0.0026227714327071716,0.0026227714327071716,0.0010788753653173666,0.0010788753653173666
early_muon,2,frozen_down_refresh_vs_production,48,-0.005097106099273385,0.005097106099273385,-0.002872138114606848,0.002872138114606848,delayed_down_refresh_vs_frozen_down_refresh,80,0.0024853208549698858,0.0024853208549698858,0.0010129213172002105,0.0010129213172002105
early_newton_full,0,frozen_down_refresh_vs_production,48,-0.0064843321622087835,0.0064843321622087835,-0.0034738997497977264,0.0034738997497977264,delayed_down_refresh_vs_frozen_down_refresh,80,0.0028322136183402957,0.0028322136183402957,0.0011881040712188318,0.0011881040712188318
early_newton_full,1,frozen_down_refresh_vs_production,48,-0.007677828687155053,0.007677828687155053,-0.004279745316151606,0.004279745316151606,delayed_down_refresh_vs_frozen_down_refresh,80,0.00329882626059419,0.00329882626059419,0.0013844259528033032,0.0013844259528033032
early_newton_full,2,frozen_down_refresh_vs_production,48,-0.006478952707448471,0.006478952707448471,-0.0034965009047807083,0.0034965009047807083,delayed_down_refresh_vs_frozen_down_refresh,80,0.003056059612690065,0.003056059612690065,0.001292841798732569,0.001292841798732569
late_muon,0,frozen_down_refresh_vs_production,48,-0.0033254808902254407,0.0033254808902254407,-0.002336596867023699,0.002336596867023699,delayed_down_refresh_vs_frozen_down_refresh,80,0.0016878270541216267,0.0016878270541216267,0.0008053002184742475,0.0008053002184742475
late_muon,1,frozen_down_refresh_vs_production,48,-0.003653841149495518,0.003653841149495518,-0.0026162621057790325,0.0026162621057790325,delayed_down_refresh_vs_frozen_down_refresh,80,0.00177444681279737,0.00177444681279737,0.0008436559650319975,0.0008436559650319975
late_muon,2,frozen_down_refresh_vs_production,48,-0.0033054732330366488,0.0033054732330366488,-0.0022984552672493663,0.0022984552672493663,delayed_down_refresh_vs_frozen_down_refresh,80,0.0018229461542829117,0.0018229461542829117,0.0008689407409381289,0.0008689407409381289
late_newton_full,0,frozen_down_refresh_vs_production,48,-0.0038814614010227455,0.0038814614010227455,-0.0023997389155110405,0.0023997389155110405,delayed_down_refresh_vs_frozen_down_refresh,80,0.002097397396516376,0.002097397396516376,0.0009656345441262371,0.0009656345441262371
late_newton_full,1,frozen_down_refresh_vs_production,48,-0.00494619947922148,0.00494619947922148,-0.0031550367713590877,0.0031550367713590877,delayed_down_refresh_vs_frozen_down_refresh,80,0.0024140581612797085,0.0024140581612797085,0.0011472927240252506,0.0011472927240252506
late_newton_full,2,frozen_down_refresh_vs_production,48,-0.0038508232415541688,0.0038508232415541688,-0.0023486011331865786,0.0023486011331865786,delayed_down_refresh_vs_frozen_down_refresh,80,0.0022301012757399707,0.0022301012757399707,0.0010118172348039245,0.0010118172348039245
