run_name,budget_id,method,seed,receipt_uploaded,lr/backup_expected_points,lr/backup_observed_points,lr/backup_matched_points,lr/backup_missing_points,lr/backup_unexpected_points,lr/backup_mismatched_points,lr/backup_endpoint_observed,lr/backup_endpoint_expected,lr/backup_endpoint_match,lr/matrix_expected_points,lr/matrix_observed_points,lr/matrix_matched_points,lr/matrix_missing_points,lr/matrix_unexpected_points,lr/matrix_mismatched_points,lr/matrix_endpoint_observed,lr/matrix_endpoint_expected,lr/matrix_endpoint_match,tokens/per_parameter_expected_points,tokens/per_parameter_observed_points,tokens/per_parameter_matched_points,tokens/per_parameter_missing_points,tokens/per_parameter_unexpected_points,tokens/per_parameter_mismatched_points,tokens/per_parameter_endpoint_observed,tokens/per_parameter_endpoint_expected,tokens/per_parameter_endpoint_match,tokens/seen_expected_points,tokens/seen_observed_points,tokens/seen_matched_points,tokens/seen_missing_points,tokens/seen_unexpected_points,tokens/seen_mismatched_points,tokens/seen_endpoint_observed,tokens/seen_endpoint_expected,tokens/seen_endpoint_match,train/loss_step_expected_points,train/loss_step_observed_points,train/loss_step_matched_points,train/loss_step_missing_points,train/loss_step_unexpected_points,train/loss_step_mismatched_points,train/loss_step_endpoint_observed,train/loss_step_endpoint_expected,train/loss_step_endpoint_match,val/loss_expected_points,val/loss_observed_points,val/loss_matched_points,val/loss_missing_points,val/loss_unexpected_points,val/loss_mismatched_points,val/loss_endpoint_observed,val/loss_endpoint_expected,val/loss_endpoint_match,all_endpoint_metrics_match,all_trajectory_points_match
ex48_tokens_3p2506b_newton_full_seed2026,tokens_3p2506b,newton_full,2026,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.887422323,2.887422323,true,63,63,63,0,0,0,2.976490021,2.976490021,true,true,true
ex48_tokens_6p9694b_down_diag_seed2024,tokens_6p9694b,down_diag,2024,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.764769316,2.764769316,true,135,135,135,0,0,0,2.864422798,2.864422798,true,true,true
ex48_tokens_6p9694b_down_diag_seed2025,tokens_6p9694b,down_diag,2025,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.768157005,2.768157005,true,135,135,135,0,0,0,2.863380432,2.863380432,true,true,true
ex48_tokens_6p9694b_down_diag_seed2026,tokens_6p9694b,down_diag,2026,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.76017952,2.76017952,true,135,135,135,0,0,0,2.863300323,2.863300323,true,true,true
ex48_tokens_6p9694b_down_none_seed2024,tokens_6p9694b,down_none,2024,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.766659498,2.766659498,true,135,135,135,0,0,0,2.863306522,2.863306522,true,true,true
ex48_tokens_6p9694b_down_none_seed2025,tokens_6p9694b,down_none,2025,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.763570786,2.763570786,true,135,135,135,0,0,0,2.862840414,2.862840414,true,true,true
ex48_tokens_6p9694b_down_none_seed2026,tokens_6p9694b,down_none,2026,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.761367559,2.761367559,true,135,135,135,0,0,0,2.862262487,2.862262487,true,true,true
ex48_tokens_6p9694b_muon_seed2024,tokens_6p9694b,muon,2024,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.756226301,2.756226301,true,135,135,135,0,0,0,2.859438658,2.859438658,true,true,true
ex48_tokens_6p9694b_muon_seed2025,tokens_6p9694b,muon,2025,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.759931564,2.759931564,true,135,135,135,0,0,0,2.858516932,2.858516932,true,true,true
ex48_tokens_6p9694b_muon_seed2026,tokens_6p9694b,muon,2026,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.756486416,2.756486416,true,135,135,135,0,0,0,2.858440161,2.858440161,true,true,true
