method,n,optimizer_state_bytes_mean,k_state_bytes_mean,activation_stat_bytes_mean,peak_allocated_bytes_mean,step_avg_ms_mean,checkpoint_bytes_mean,all_timing_comparable
down_none,3,6278709400.000000,1811939328.000000,905969880.000000,31064349696.000000,7413.831125,11240334500.333334,true
down_diag,3,6279501976.000000,1812731904.000000,906366240.000000,31065547776.000000,7498.463489,11241549919.000000,true
newton_full,3,10641047704.000000,6174277632.000000,3087139104.000000,37798837760.000000,7727.911681,17783869931.000000,true
muon,3,4466770072.000000,0.000000,0.000000,28282974208.000000,7308.977154,8522343971.000000,true
