budget_id,target_step,tokens_seen,tokens_per_parameter,method,seed,final_val_loss,tail5_val_loss,normalized_val_auc,final_train_loss,resume_count_total,wrap_count,checkpoint_path,checkpoint_bytes,checkpoint_sha256
tokens_3p2506b,6200,3250585600,3.206684903610,newton_full,2025,2.975738764,2.983781719,3.370332762,2.879551411,0,0,PRIVATE_PATH_REDACTED,17783869931,dc22b662f0632d5632d535150799d030eb3042897825fdae96bff6063dc6168c
tokens_6p9694b,13293,6969360384,6.875235874787,newton_full,2025,2.863984823,2.869293308,3.165444294,2.774601936,0,0,PRIVATE_PATH_REDACTED,17783869931,661db8935df5a7085a176bb4c01d64cea679edfca7dad5e52e6297397ac2d3e2
tokens_approximately_10b,19073,9999745024,9.864693736539,newton_full,2025,2.818570375,2.822451592,3.086653593,2.942296267,0,0,PRIVATE_PATH_REDACTED,17783869931,2fe3a3facfa070c141ece3a16807a8191b744455c8f4d6674fb213fe59052be8
tokens_3p2506b,6200,3250585600,3.206684903610,newton_full,2026,2.976490021,2.984556007,3.372916448,2.887422323,0,0,PRIVATE_PATH_REDACTED,17783869931,93f53c1128425f7798fce2a870ef75347f13deeb2f5837c7ea9383750867a99d
tokens_6p9694b,13293,6969360384,6.875235874787,newton_full,2026,2.863923788,2.869206476,3.166834519,2.773110628,0,0,PRIVATE_PATH_REDACTED,17783869931,bb745874cc2119634c6c45ae6963d2cf35e3c9f8e1c9699649f23e35038f10ce
tokens_approximately_10b,19073,9999745024,9.864693736539,newton_full,2026,2.818972588,2.822863769,3.087609428,2.946664095,0,0,PRIVATE_PATH_REDACTED,17783869931,71a3a74ca2efd6bd25db4bd448bb6c5fbf91bbbd5175b366fa241416ac1b045a
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2024,2.970576763,2.978710556,3.373218856,2.875514507,0,0,PRIVATE_PATH_REDACTED,8522343971,9f349f89134fa21cee5acddd1ec7db8062c714c35b5278b3fe21f36b33b8946c
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2024,2.859438658,2.864641857,3.163491626,2.756226301,0,0,PRIVATE_PATH_REDACTED,8522343971,7a30ccd9e8b1d029b7decf95881f3237649915f6b8245d6420967e726721f305
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2024,2.814094067,2.817890978,3.083357689,2.935526848,0,0,PRIVATE_PATH_REDACTED,8522343971,0dfb1527845b05bf755b7285c8703ac120b5961bd37546840a761bfa1f1edb49
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2025,2.969541788,2.977659035,3.370836591,2.870415211,0,0,PRIVATE_PATH_REDACTED,8522343971,c7b009074d0baad9c39d2901476da6aa202ae6eea05b5bc7868de86561f0614c
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2025,2.858516932,2.863676310,3.161771458,2.759931564,0,0,PRIVATE_PATH_REDACTED,8522343971,e13b91f198a632fffafa072dd66f30ecd1cfeee927a6977ab161c86fc34ee188
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2025,2.813876867,2.817639017,3.082055533,2.936231613,0,0,PRIVATE_PATH_REDACTED,8522343971,9feadfed7aaaa89033436421bc1778c7930599cb801bec592124f064c6783081
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2026,2.969549894,2.977642679,3.371263806,2.894008875,0,0,PRIVATE_PATH_REDACTED,8522343971,a1d96703842f4bd99162d002c05ae56a6c35f97b46e146d51e7c513bd332d52c
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2026,2.858440161,2.863625145,3.162090300,2.756486416,0,0,PRIVATE_PATH_REDACTED,8522343971,ae58cc4d15607ac87a9fe893d996e531bc038df561203b8e31985080fcc9c33b
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2026,2.814232588,2.817982578,3.082434270,2.939392090,0,0,PRIVATE_PATH_REDACTED,8522343971,ad1da31e5f9f6c615c572e6d217f41029fda78b6febd76e798fdb630e155e22f
