seed,method,last_val_step,final_val_loss,best_val_loss,best_val_step,val_loss_at_10000,late_val_mean_10000_11500,final_minus_best_val,final_train_eval_loss,last_train_loss,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction
2024,non_cproj_all,11500,5.35871076583862,5.16154003143311,8500,5.30204391479492,5.32637000083923,0.197170734405518,5.419358253479,5.63882970809937,7861.69775390625,9755.890625,4608,5472,864,0.157894736842105
2025,non_cproj_all,11500,5.38147068023682,5.11365461349487,8000,5.3366527557373,5.31012833118439,0.267816066741943,5.36150121688843,5.32900333404541,7861.69775390625,9755.732421875,4608,5472,864,0.157894736842105
2026,non_cproj_all,11500,5.43173217773438,5.12436723709106,7500,5.30856084823608,5.35533559322357,0.307364940643311,5.36317920684814,5.74934387207031,7861.69775390625,9755.732421875,4608,5472,864,0.157894736842105
