priority,contrast,left_role,right_role,median_time_delta_s,median_time_delta_pct,median_tokens_per_s_delta,median_tokens_per_s_delta_pct,peak_memory_delta_mib,k_state_delta_mib,paired_mean_delta_s,paired_stdev_delta_s,paired_ci95_low_s,paired_ci95_high_s
primary,selective_diag_vs_muon,selective_diag,muon,11.148000000000138,1.850401019811998,-8094.907556177175,-1.8167832441347564,601.0,162.28125,11.234749999999991,0.8240701325332496,9.923470525829341,12.546029474170641
primary,selective_none_vs_muon,selective_none,muon,10.640499999999975,1.7661636213948118,-7732.79167058348,-1.7355116460570752,601.0,162.0,10.834749999999985,0.3082416530364978,10.344268745123438,11.325231254876533
primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,-1.1044999999999163,-0.17967632233719666,786.0259499322856,0.1799997392488928,-864.0,-215.71875,-1.0364999999999895,0.828443721685448,-2.354738830489141,0.2817388304891617
primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,-1.61200000000008,-0.26223470494123324,1148.1418355259812,0.26292418339777246,-864.0,-216.0,-1.4364999999999952,0.2880433995077784,-1.8948413262215793,-0.9781586737784111
baseline,original_newton_muon_vs_muon,original_newton_muon,muon,12.252500000000055,2.0337314760715985,-8880.93350610946,-1.993195237154044,1465.0,378.0,12.27124999999998,0.08612539308080158,12.134205280511646,12.408294719488316
secondary,selective_diag_vs_selective_none,selective_diag,selective_none,0.5075000000001637,0.08277544855732621,-362.11588559369557,-0.08270698747745442,0.0,0.28125,0.4000000000000057,0.9878026118613256,-1.1718143860937067,1.971814386093718
