method,alpha,seeds,n_seeds,final_val_loss_mean,final_val_loss_sd,tail5_val_loss_mean_mean,tail5_val_loss_mean_sd,normalized_val_auc_mean,normalized_val_auc_sd,peak_memory_mib_mean,peak_memory_mib_sd,k_state_mib_mean,k_state_mib_sd,optimizer_state_mib_mean,optimizer_state_mib_sd
fullalpha0,0.0,"2024,2025,2026",3,3.261233333333333,0.0010969655114605056,3.2694799999999997,0.0011240996397119292,3.615186021505377,0.0019439124831855954,40788.0,0.0,1026.0,0.0,1644.4746131896973,0.0
fullalpha0p25,0.25,"2024,2025,2026",3,3.2601,0.001558845726811946,3.26838,0.001559358842601493,3.6128559139784957,0.0023731991547773323,40788.0,0.0,1026.0,0.0,1644.4746131896973,0.0
fullalpha0p50,0.5,"2024,2025,2026",3,3.259733333333333,0.001078579312490825,3.26808,0.001135781669160262,3.6127147849462364,0.0017924156490129934,40788.0,0.0,1026.0,0.0,1644.4746131896973,0.0
fullalpha0p75,0.75,"2024,2025,2026",3,3.2606,0.0011269427669583995,3.268893333333333,0.001139532067707201,3.613712634408602,0.0019278182090578275,40788.0,0.0,1026.0,0.0,1644.4746131896973,0.0
fullalpha1,1.0,"2024,2025,2026",3,3.262166666666667,0.0011930353445448036,3.2704600000000004,0.001182032148462872,3.61597311827957,0.002106358728953459,40788.0,0.0,1026.0,0.0,1644.4746131896973,0.0
