seed,dense_alpha0_run,efficient_diag_run,dense_minus_diag_final,dense_minus_diag_tail5,dense_minus_diag_auc,absolute_final_delta_within_0p001,absolute_tail5_delta_within_0p001
2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_seed2024_20260727T110129+0000,mainconf_official_r1_diag_seed2024_20260720T023049+0000,0.000300000000000189,0.00023999999999979593,-7.983870967631645e-05,True,True
2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_seed2025_20260728T040112+0000,mainconf_official_r1_diag_seed2025_20260720T152121+0000,9.999999999976694e-05,0.00019999999999953388,0.00026532258064460024,True,True
2026,mainconf_r1_dense_full_alpha_fullalpha0_seed2026_20260723T023331+0000,mainconf_official_r1_diag_seed2026_20260718T081938+0000,0.0,9.999999999976694e-05,-0.00010483870967625819,True,True
