seed,final_curvature_c,tail5_curvature_c,auc_curvature_c,alpha0p50_minus_alpha0_final,alpha0p50_minus_alpha1_final,alpha1_minus_alpha0_final,alpha1_minus_alpha0_tail5,alpha1_minus_alpha0_auc,alpha0p50_beats_alpha0_final,alpha0p50_beats_alpha1_final,alpha0p50_beats_both_endpoints_final,best_alpha_final_descriptive,spearman_alpha_vs_final_loss_descriptive
2024,-0.0016500000000001513,-0.0015599999999995617,-0.0027205645161298975,-0.001100000000000101,-0.002200000000000202,0.001100000000000101,0.001200000000000312,0.0015685483870959693,True,True,True,0.5,0.3
2025,-0.0018999999999995687,-0.0018799999999998818,-0.0026443548387100613,-0.0014999999999996128,-0.0022999999999999687,0.000800000000000356,0.0008800000000008801,0.0005064516129036356,True,True,True,0.25,0.39999999999999997
2026,-0.002349999999999852,-0.0022299999999999542,-0.0032294354838717787,-0.0019000000000000128,-0.0027999999999996916,0.0008999999999996788,0.000860000000000305,0.0002862903225788749,True,True,True,0.5,0.3
