target_val_loss,method,reached,first_discrete_step,first_discrete_time_s,interpolated_step,interpolated_time_s
4.0,muon,True,600,665.488,518.1299885974917,569.2424332953252
4.0,newton_muon_block4,True,600,677.708,509.05077262693203,568.9963885209719
3.5,muon,True,2700,3128.561,2695.1612903225778,3122.874645161287
3.5,newton_muon_block4,True,2500,2947.288,2434.6666666666674,2869.0219333333343
3.3,muon,True,5800,6761.932,5754.929577464793,6708.95307042254
3.3,newton_muon_block4,True,5600,6647.296,5556.338028169015,6594.786802816903
3.277,muon,True,6200,7231.026,6200.0,7231.026
3.277,newton_muon_block4,True,5900,7004.455,5893.442622950821,6996.666409836066
