seed,method,last_val_step,final_val_loss,best_val_loss,best_val_step,val_loss_at_10000,val_loss_late_mean_9000_11500,final_minus_best_val,final_train_eval_loss,last_train_loss,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction
2024,non_cproj_all,11500,5.91539812088013,5.70015716552734,10000,5.70015716552734,5.82519443829854,0.215240955352783,5.86471462249756,6.04912042617798,7861.69775390625,9755.732421875,4608,5472,864,0.157894736842105
2025,non_cproj_all,11500,5.89759492874146,5.69905042648315,9000,5.77546310424805,5.83845766385396,0.198544502258301,6.05597591400146,5.49433040618896,7861.69775390625,9755.732421875,4608,5472,864,0.157894736842105
2026,non_cproj_all,11500,5.88038110733032,5.57964944839478,7000,5.74617528915405,5.80180970827738,0.300731658935547,5.82608079910278,6.271071434021,7861.69775390625,9755.732421875,4608,5472,864,0.157894736842105
