budget_id,target_step,tokens_seen,tokens_per_parameter,method,seed,final_val_loss,tail5_val_loss,normalized_val_auc,final_train_loss,k_state_bytes,checkpoint_path,checkpoint_bytes,checkpoint_sha256,source
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2024,2.974418879,2.982581568,3.371017754,2.885790348,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2024,2.863306522,2.868611193,3.165257288,2.766659498,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2024,2.818157911,2.822020674,3.086142086,2.944998980,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2025,2.974188566,2.982305622,3.368768663,2.885077953,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2025,2.862840414,2.868192482,3.163969939,2.763570786,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2025,2.817942858,2.821851874,3.085313135,2.943773270,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2026,2.974099874,2.982251644,3.370456290,2.886159897,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2026,2.862262487,2.867572308,3.164522145,2.761367559,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2026,2.817266226,2.821136999,3.085417030,2.942157269,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2024,2.977047443,2.985126162,3.371123075,2.885899544,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2024,2.864422798,2.869720125,3.165859887,2.764769316,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2024,2.819347858,2.823244047,3.086860051,2.940485001,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2025,2.975100279,2.983197498,3.368030515,2.884941101,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2025,2.863380432,2.868701077,3.163732011,2.768157005,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2025,2.817902803,2.821782016,3.085046921,2.942585230,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2026,2.975924253,2.984057712,3.371501594,2.882334232,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2026,2.863300323,2.868578911,3.165517410,2.760179520,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2026,2.817095995,2.820944405,3.086106301,2.949372292,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,newton_full,2024,2.976236343,2.984320736,3.371436696,2.888659477,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,newton_full,2024,2.864132166,2.869393873,3.166130055,2.768119335,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,newton_full,2024,2.818579674,2.822463560,3.087044451,2.948985100,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,newton_full,2025,2.975738764,2.983781719,3.370332762,2.879551411,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,newton_full,2025,2.863984823,2.869293308,3.165444294,2.774601936,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,newton_full,2025,2.818570375,2.822451592,3.086653593,2.942296267,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,newton_full,2026,2.976490021,2.984556007,3.372916448,2.887422323,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,newton_full,2026,2.863923788,2.869206476,3.166834519,2.773110628,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,newton_full,2026,2.818972588,2.822863769,3.087609428,2.946664095,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2024,2.970576763,2.978710556,3.373218856,2.875514507,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2024,2.859438658,2.864641857,3.163491626,2.756226301,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2024,2.814094067,2.817890978,3.083357689,2.935526848,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2025,2.969541788,2.977659035,3.370836591,2.870415211,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2025,2.858516932,2.863676310,3.161771458,2.759931564,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2025,2.813876867,2.817639017,3.082055533,2.936231613,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,muon,2026,2.969549894,2.977642679,3.371263806,2.894008875,,,,,ex48_frozen_control
tokens_6p9694b,13293,6969360384,6.875235874787,muon,2026,2.858440161,2.863625145,3.162090300,2.756486416,,,,,ex48_frozen_control
tokens_approximately_10b,19073,9999745024,9.864693736539,muon,2026,2.814232588,2.817982578,3.082434270,2.939392090,,,,,ex48_frozen_control
tokens_3p2506b,6200,3250585600,3.206684903610,global_diag,2024,2.971416473,2.979394388,3.362172123,2.876875162,1677312,PRIVATE_PATH_REDACTED,8524966211,cfd18ca6dec838c6705bc3555cca3ba0163c3681f7a9cc8f52fd47d4264d4f59,ex56_formal
tokens_6p9694b,13293,6969360384,6.875235874787,global_diag,2024,2.860212088,2.865365315,3.158361681,2.754291058,1677312,PRIVATE_PATH_REDACTED,8524966211,24264f48c7f3a1560ea7221a3e24ae0154ddf9c7f1bbf254cb333c4a14c0e69d,ex56_formal
tokens_approximately_10b,19073,9999745024,9.864693736539,global_diag,2024,2.815274954,2.818996000,3.079949055,2.938208580,1677312,PRIVATE_PATH_REDACTED,8524966211,dd8a087227656431a13b0d76958ee2f61a7953f32917f7a225bf741f64f7456b,ex56_formal
tokens_3p2506b,6200,3250585600,3.206684903610,global_diag,2025,2.970824957,2.978773403,3.360404324,2.889192581,1677312,PRIVATE_PATH_REDACTED,8524966211,19a163ed66def599d4fa91370cdf1513a50a650d085939edab8a75a7417d888f,ex56_formal
tokens_6p9694b,13293,6969360384,6.875235874787,global_diag,2025,2.859872341,2.864991665,3.157236612,2.756899834,1677312,PRIVATE_PATH_REDACTED,8524966211,05d1acfaaa1c00678c0d514d5702f4218c33f64575184edbd61567ad566d19e9,ex56_formal
tokens_approximately_10b,19073,9999745024,9.864693736539,global_diag,2025,2.814716101,2.818431473,3.079047550,2.929563999,1677312,PRIVATE_PATH_REDACTED,8524966211,71f5c36e4ef0c588719f8b0211f327cec9582729e7c6633eb303fe0744fdacbd,ex56_formal
